key,method,mt_distance
candidateB_factorial_grad_levelset_expanded2688_s0_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.447721481323242
candidateB_factorial_grad_levelset_expanded2688_s100_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.060978889465332
candidateB_factorial_grad_levelset_expanded2688_s101_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.816180229187012
candidateB_factorial_grad_levelset_expanded2688_s102_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.818483829498291
candidateB_factorial_grad_levelset_expanded2688_s103_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.349696159362793
candidateB_factorial_grad_levelset_expanded2688_s104_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.378627300262451
candidateB_factorial_grad_levelset_expanded2688_s105_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.634559154510498
candidateB_factorial_grad_levelset_expanded2688_s106_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.868618488311768
candidateB_factorial_grad_levelset_expanded2688_s107_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.904460430145264
candidateB_factorial_grad_levelset_expanded2688_s108_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.012566566467285
candidateB_factorial_grad_levelset_expanded2688_s109_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.681097984313965
candidateB_factorial_grad_levelset_expanded2688_s10_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.041162014007568
candidateB_factorial_grad_levelset_expanded2688_s110_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.900572776794434
candidateB_factorial_grad_levelset_expanded2688_s111_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.011635780334473
candidateB_factorial_grad_levelset_expanded2688_s112_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.948906898498535
candidateB_factorial_grad_levelset_expanded2688_s113_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.227995872497559
candidateB_factorial_grad_levelset_expanded2688_s114_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.27491569519043
candidateB_factorial_grad_levelset_expanded2688_s115_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.643024921417236
candidateB_factorial_grad_levelset_expanded2688_s116_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.631749629974365
candidateB_factorial_grad_levelset_expanded2688_s117_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.054229259490967
candidateB_factorial_grad_levelset_expanded2688_s118_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,7.563061714172363
candidateB_factorial_grad_levelset_expanded2688_s119_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.20941162109375
candidateB_factorial_grad_levelset_expanded2688_s11_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.794475078582764
candidateB_factorial_grad_levelset_expanded2688_s120_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.851161479949951
candidateB_factorial_grad_levelset_expanded2688_s121_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.239626407623291
candidateB_factorial_grad_levelset_expanded2688_s122_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.718595027923584
candidateB_factorial_grad_levelset_expanded2688_s123_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.190188407897949
candidateB_factorial_grad_levelset_expanded2688_s124_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.603234767913818
candidateB_factorial_grad_levelset_expanded2688_s125_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.628668308258057
candidateB_factorial_grad_levelset_expanded2688_s126_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.410757541656494
candidateB_factorial_grad_levelset_expanded2688_s127_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.3934736251831055
candidateB_factorial_grad_levelset_expanded2688_s128_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.135242462158203
candidateB_factorial_grad_levelset_expanded2688_s129_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.689613342285156
candidateB_factorial_grad_levelset_expanded2688_s12_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.299301624298096
candidateB_factorial_grad_levelset_expanded2688_s130_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,5.312963008880615
candidateB_factorial_grad_levelset_expanded2688_s131_speed_p160_x0_y0,candidateB_factorial_grad_levelset_expanded2688,6.507052898406982
