key,method,pd_distance
candidateB_factorial_speed_expanded2688_s0_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,28.532433575472528
candidateB_factorial_speed_expanded2688_s100_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,33.7428770378768
candidateB_factorial_speed_expanded2688_s101_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,33.03174086969067
candidateB_factorial_speed_expanded2688_s102_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.95337643633302
candidateB_factorial_speed_expanded2688_s103_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,32.572996800916854
candidateB_factorial_speed_expanded2688_s104_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.883397217756123
candidateB_factorial_speed_expanded2688_s105_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.840336699510335
candidateB_factorial_speed_expanded2688_s106_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.807567836411714
candidateB_factorial_speed_expanded2688_s107_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.393845735420562
candidateB_factorial_speed_expanded2688_s108_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.451741365512564
candidateB_factorial_speed_expanded2688_s109_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.337279879945925
candidateB_factorial_speed_expanded2688_s10_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,30.939134048498993
candidateB_factorial_speed_expanded2688_s110_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.762945006288593
candidateB_factorial_speed_expanded2688_s111_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,30.435515881801702
candidateB_factorial_speed_expanded2688_s112_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,29.958539436292867
candidateB_factorial_speed_expanded2688_s113_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,28.606182081264816
candidateB_factorial_speed_expanded2688_s114_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,27.505576275684728
candidateB_factorial_speed_expanded2688_s115_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,27.776683313498495
candidateB_factorial_speed_expanded2688_s116_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,28.77648049966197
candidateB_factorial_speed_expanded2688_s117_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,30.167383997471443
candidateB_factorial_speed_expanded2688_s118_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,32.01181697490276
candidateB_factorial_speed_expanded2688_s119_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.87429036189385
candidateB_factorial_speed_expanded2688_s11_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,30.82699660656158
candidateB_factorial_speed_expanded2688_s120_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.199216278449065
candidateB_factorial_speed_expanded2688_s121_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.88233550718333
candidateB_factorial_speed_expanded2688_s122_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.318994048896705
candidateB_factorial_speed_expanded2688_s123_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.024402279015032
candidateB_factorial_speed_expanded2688_s124_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,30.79365680267891
candidateB_factorial_speed_expanded2688_s125_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,30.29548562271118
candidateB_factorial_speed_expanded2688_s126_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,29.73705989032399
candidateB_factorial_speed_expanded2688_s127_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.570612647940965
candidateB_factorial_speed_expanded2688_s128_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,30.773020952519886
candidateB_factorial_speed_expanded2688_s129_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.69278509312308
candidateB_factorial_speed_expanded2688_s12_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.136123162893025
candidateB_factorial_speed_expanded2688_s130_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.720292287686505
candidateB_factorial_speed_expanded2688_s131_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,34.12171258378963
candidateB_factorial_speed_expanded2688_s132_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,35.735686368716166
candidateB_factorial_speed_expanded2688_s133_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,36.04271236661273
candidateB_factorial_speed_expanded2688_s134_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,33.25112043299701
candidateB_factorial_speed_expanded2688_s135_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,30.74366457383869
candidateB_factorial_speed_expanded2688_s136_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,28.695048226616372
candidateB_factorial_speed_expanded2688_s137_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,27.524739082248455
candidateB_factorial_speed_expanded2688_s138_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,26.608023563452953
candidateB_factorial_speed_expanded2688_s139_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,25.740505001543635
candidateB_factorial_speed_expanded2688_s13_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,30.1699720292687
candidateB_factorial_speed_expanded2688_s140_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,27.472895133547958
candidateB_factorial_speed_expanded2688_s141_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,31.82706853384705
candidateB_factorial_speed_expanded2688_s142_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,35.5298559612252
candidateB_factorial_speed_expanded2688_s143_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,34.10139560631482
candidateB_factorial_speed_expanded2688_s144_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,33.81965139465651
candidateB_factorial_speed_expanded2688_s145_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,33.26710473974511
candidateB_factorial_speed_expanded2688_s146_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,32.519502175643126
candidateB_factorial_speed_expanded2688_s147_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,30.626908319387685
candidateB_factorial_speed_expanded2688_s148_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,29.352385103279502
candidateB_factorial_speed_expanded2688_s149_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,28.536935335063436
candidateB_factorial_speed_expanded2688_s14_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,29.447925186534015
candidateB_factorial_speed_expanded2688_s150_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,27.015112932457736
candidateB_factorial_speed_expanded2688_s151_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,26.122102490583007
candidateB_factorial_speed_expanded2688_s152_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,25.921210934893118
candidateB_factorial_speed_expanded2688_s153_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,25.370272859931998
candidateB_factorial_speed_expanded2688_s154_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,24.69041988499934
candidateB_factorial_speed_expanded2688_s155_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,25.091303798550527
candidateB_factorial_speed_expanded2688_s156_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,26.088992029733127
candidateB_factorial_speed_expanded2688_s157_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,27.381493059402317
candidateB_factorial_speed_expanded2688_s158_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,29.730334824256175
candidateB_factorial_speed_expanded2688_s159_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,26.7962324837199
candidateB_factorial_speed_expanded2688_s15_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,27.234094880976414
candidateB_factorial_speed_expanded2688_s160_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,24.644973592369602
candidateB_factorial_speed_expanded2688_s161_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,23.491988271214986
candidateB_factorial_speed_expanded2688_s162_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,23.385009751591237
candidateB_factorial_speed_expanded2688_s163_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,24.31537084676272
candidateB_factorial_speed_expanded2688_s164_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,26.09863716459571
candidateB_factorial_speed_expanded2688_s165_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,27.77886019002828
candidateB_factorial_speed_expanded2688_s166_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,28.852828100031882
candidateB_factorial_speed_expanded2688_s167_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,28.779129704551355
candidateB_factorial_speed_expanded2688_s16_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,24.593992837999707
candidateB_factorial_speed_expanded2688_s17_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,22.2932687535119
candidateB_factorial_speed_expanded2688_s18_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,21.754015834224795
candidateB_factorial_speed_expanded2688_s19_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,21.43279050137366
candidateB_factorial_speed_expanded2688_s1_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,29.14285766600948
candidateB_factorial_speed_expanded2688_s20_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,22.874516218850502
candidateB_factorial_speed_expanded2688_s21_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,28.175460548304105
candidateB_factorial_speed_expanded2688_s22_speed_p160_x0_y0,candidateB_factorial_speed_expanded2688,35.44045139471092
