sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_grad_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_grad_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_grad_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_grad_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,22.502332628231684,5.051645278930664,9.748218536376953,5.755746364593506,gan,candidateB_factorial_speed_grad_expanded2688,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,22.53515179636803,4.678010940551758,11.978342056274414,5.865525245666504,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,23.61006655158609,4.894824504852295,8.343221664428711,5.995044708251953,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,24.388136555617017,4.794641017913818,9.753995895385742,5.334155559539795,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,23.869594703386554,4.892229080200195,8.064751625061035,5.858669757843018,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,23.418475097450244,5.628478050231934,6.406379699707031,5.451013088226318,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
6,6,28.068979766562435,24.045087776300683,23.18807707302894,6.144000053405762,6.0106329917907715,5.955153942108154,gan,candidateB_factorial_speed_grad_expanded2688,gan,candidateB_factorial_speed_grad_expanded2688,1
7,7,29.26973016135952,22.553824952557566,23.360048369947997,5.672351837158203,7.113770008087158,6.1483612060546875,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,23.670582187673233,7.50956392288208,6.055016040802002,6.261799335479736,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,23.99117675289947,5.768454551696777,6.291722297668457,6.163786888122559,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,25.117936058828302,6.634506702423096,7.423793315887451,6.266947269439697,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
11,11,28.68732565326105,24.969867761946066,26.0900181285754,5.910721302032471,7.831723690032959,6.733902454376221,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,26.112484738184154,6.61636209487915,5.913707256317139,6.443254470825195,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,25.4018844726247,6.0738348960876465,7.402252674102783,6.92695951461792,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,23.599525900593616,5.448930263519287,5.877835750579834,5.684046268463135,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,21.44382523744806,5.097294807434082,5.86716890335083,5.841624736785889,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,19.473057809272895,5.464188098907471,5.255205154418945,6.125932216644287,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,18.04379041370739,5.2896833419799805,4.8487091064453125,5.499935626983643,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,17.91633163106384,6.258571624755859,5.554356575012207,5.696446895599365,gan,candidateB_factorial_speed_grad_expanded2688,gan,gan,1
19,19,21.064082150885508,19.086676411603058,19.10474039192449,6.927988529205322,5.44291353225708,5.637825012207031,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,22.325896461244124,6.254051208496094,5.689126491546631,6.494856834411621,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,27.353089954596665,8.127616882324219,10.817054748535156,9.441245079040527,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,32.324004251466704,8.081520080566406,8.346701622009277,6.857564926147461,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
23,23,34.476953302920876,29.144574221491347,31.64627208432292,6.907674789428711,8.497876167297363,7.96782922744751,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,31.931639432360896,7.21915864944458,12.067601203918457,7.3128981590271,gan,gan,cnn,cnn,0
25,25,36.58411526021696,30.123491475362258,32.6585160620715,11.371563911437988,10.501462936401367,6.715978145599365,gan,gan,gan,candidateB_factorial_speed_grad_expanded2688,1
26,26,35.02599363200026,30.779316467464,33.78245653630388,7.043282985687256,11.28821849822998,7.0380539894104,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
27,27,36.89696946573002,30.945378681968467,33.760454551341006,6.4783101081848145,19.968429565429688,6.899157524108887,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,33.48478623433775,7.210402011871338,14.947399139404297,7.882635116577148,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,34.07981982817133,6.963974952697754,12.864243507385254,6.893879413604736,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
30,30,39.94080457344863,30.82310921065586,32.84074082621964,8.127463340759277,14.847400665283203,7.176967620849609,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
31,31,39.104318483733294,31.3053599336416,32.9888220923296,6.818642616271973,16.23410415649414,7.151183128356934,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,32.42386338565066,7.461033821105957,19.229158401489258,7.742347717285156,gan,gan,cnn,cnn,0
33,33,38.39305861348763,30.400139282712473,32.207972156493696,6.76971960067749,20.00556755065918,7.031362056732178,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,31.726163281457424,6.323113918304443,19.445999145507812,6.617647647857666,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,30.476034549691242,6.2719197273254395,14.435929298400879,6.6847991943359375,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,30.371275449184218,6.097905158996582,9.26945686340332,6.0745415687561035,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
37,37,33.456602216246914,27.16364872656993,29.055254581348056,6.489102840423584,9.59257698059082,6.472709655761719,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
38,38,29.159912858159764,23.780350003542182,25.311120368149872,6.054014682769775,7.416414260864258,7.767411708831787,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,22.929074177686434,5.873856067657471,8.546488761901855,6.46355676651001,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,20.93555274324283,5.6310811042785645,8.988521575927734,6.894222736358643,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,18.943957120294886,5.389686584472656,8.901470184326172,6.596233367919922,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,16.958457110241024,5.757840156555176,7.383090972900391,6.022744178771973,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,16.254049521728646,5.7682366371154785,7.053122520446777,6.278316497802734,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,15.434266053899458,6.20600700378418,7.041088581085205,6.7908477783203125,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,15.852583153870958,6.566225528717041,6.773196697235107,6.210931301116943,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
46,46,20.678325640697178,16.27228595124608,15.159659573059528,6.243154048919678,6.650214672088623,6.5239949226379395,gan,candidateB_factorial_speed_grad_expanded2688,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,15.460472723506745,6.789880752563477,7.498397350311279,6.461646556854248,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
48,48,22.832495463547907,13.107025960847848,16.22448022376547,7.081502437591553,6.682991981506348,6.763691425323486,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,16.188811829438723,6.3195295333862305,7.889017105102539,6.48004674911499,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,15.934712515204232,6.3856120109558105,6.713321685791016,6.195654392242432,gan,gan,cnn,candidateB_factorial_speed_grad_expanded2688,0
51,51,21.75849079768097,16.03686368056312,15.958970306564675,5.902731418609619,7.996896266937256,6.071890354156494,gan,candidateB_factorial_speed_grad_expanded2688,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,16.35017317595947,5.69123649597168,7.0050048828125,6.213915824890137,gan,candidateB_factorial_speed_grad_expanded2688,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,17.056903811189965,5.261850833892822,7.919146537780762,6.547034740447998,gan,candidateB_factorial_speed_grad_expanded2688,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,17.649023684863366,5.500187397003174,9.581897735595703,6.43979024887085,gan,candidateB_factorial_speed_grad_expanded2688,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,18.571788183964337,5.2683796882629395,7.846588134765625,5.959167003631592,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,18.931512594551013,5.488292217254639,7.826909065246582,7.601385116577148,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,18.98119154230565,5.463809013366699,6.805661201477051,6.032965183258057,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,19.484386955352544,6.08959436416626,8.349846839904785,6.1067657470703125,gan,gan,cnn,cnn,0
