sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_levelset_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,28.28757395342171,5.051645278930664,9.748218536376953,4.688779354095459,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
1,1,24.612518312283534,22.38874396250744,28.776071116046314,4.678010940551758,11.978342056274414,4.755231857299805,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,29.627208518183114,4.894824504852295,8.343221664428711,5.207015514373779,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,29.59438306206655,4.794641017913818,9.753995895385742,4.860489845275879,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,30.076544732638197,4.892229080200195,8.064751625061035,5.318576335906982,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,30.630204449328378,5.628478050231934,6.406379699707031,5.408449172973633,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
6,6,28.068979766562435,24.045087776300683,31.192836721138594,6.144000053405762,6.0106329917907715,5.744063377380371,gan,gan,gan,candidateB_factorial_speed_levelset_expanded2688,1
7,7,29.26973016135952,22.553824952557566,31.060481185788408,5.672351837158203,7.113770008087158,5.641808986663818,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
8,8,29.63505050414828,23.282081530392528,31.13785791091866,7.50956392288208,6.055016040802002,6.445169925689697,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,30.141617972879494,5.768454551696777,6.291722297668457,5.633261203765869,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
10,10,29.696969860459554,24.710016041893063,30.78185571952301,6.634506702423096,7.423793315887451,5.913369655609131,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
11,11,28.68732565326105,24.969867761946066,30.688320221943844,5.910721302032471,7.831723690032959,6.049464702606201,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,30.981560576764583,6.61636209487915,5.913707256317139,6.367545127868652,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,29.99653142522643,6.0738348960876465,7.402252674102783,6.4892144203186035,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.36521162294643,5.448930263519287,5.877835750579834,5.315764427185059,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
15,15,26.322356943691645,19.148010639364745,27.078926920228987,5.097294807434082,5.86716890335083,5.295216083526611,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.525303427043937,5.464188098907471,5.255205154418945,6.131258010864258,gan,gan,gan,gan,1
