key,method,mt_distance
candidateB_factorial_speed_levelset_expanded2688_s0_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,4.688779354095459
candidateB_factorial_speed_levelset_expanded2688_s100_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.929558277130127
candidateB_factorial_speed_levelset_expanded2688_s101_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.334285736083984
candidateB_factorial_speed_levelset_expanded2688_s102_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.4253249168396
candidateB_factorial_speed_levelset_expanded2688_s103_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.771987438201904
candidateB_factorial_speed_levelset_expanded2688_s104_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.252601146697998
candidateB_factorial_speed_levelset_expanded2688_s105_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.04611349105835
candidateB_factorial_speed_levelset_expanded2688_s106_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.434118270874023
candidateB_factorial_speed_levelset_expanded2688_s107_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.9120354652404785
candidateB_factorial_speed_levelset_expanded2688_s108_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.319320201873779
candidateB_factorial_speed_levelset_expanded2688_s109_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.792625427246094
candidateB_factorial_speed_levelset_expanded2688_s10_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.913369655609131
candidateB_factorial_speed_levelset_expanded2688_s110_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.181241989135742
candidateB_factorial_speed_levelset_expanded2688_s111_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.1269121170043945
candidateB_factorial_speed_levelset_expanded2688_s112_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.195555686950684
candidateB_factorial_speed_levelset_expanded2688_s113_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.92955207824707
candidateB_factorial_speed_levelset_expanded2688_s114_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.687033176422119
candidateB_factorial_speed_levelset_expanded2688_s115_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.414295673370361
candidateB_factorial_speed_levelset_expanded2688_s116_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.440117359161377
candidateB_factorial_speed_levelset_expanded2688_s117_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.7580366134643555
candidateB_factorial_speed_levelset_expanded2688_s118_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.666720390319824
candidateB_factorial_speed_levelset_expanded2688_s119_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.028454780578613
candidateB_factorial_speed_levelset_expanded2688_s11_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.049464702606201
candidateB_factorial_speed_levelset_expanded2688_s120_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.323445796966553
candidateB_factorial_speed_levelset_expanded2688_s121_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.591558933258057
candidateB_factorial_speed_levelset_expanded2688_s122_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.743377208709717
candidateB_factorial_speed_levelset_expanded2688_s123_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.73992919921875
candidateB_factorial_speed_levelset_expanded2688_s124_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.710932731628418
candidateB_factorial_speed_levelset_expanded2688_s125_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.311132431030273
candidateB_factorial_speed_levelset_expanded2688_s126_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,4.997903347015381
candidateB_factorial_speed_levelset_expanded2688_s127_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.435548305511475
candidateB_factorial_speed_levelset_expanded2688_s128_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.12484073638916
candidateB_factorial_speed_levelset_expanded2688_s129_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.2050700187683105
candidateB_factorial_speed_levelset_expanded2688_s12_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.367545127868652
candidateB_factorial_speed_levelset_expanded2688_s130_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,5.189115047454834
candidateB_factorial_speed_levelset_expanded2688_s131_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.972464084625244
candidateB_factorial_speed_levelset_expanded2688_s132_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.829416751861572
candidateB_factorial_speed_levelset_expanded2688_s133_speed_p160_x0_y0,candidateB_factorial_speed_levelset_expanded2688,6.009424209594727
