key,method,mt_distance
candidateB_plus_E2_tf_lowlambda_expanded2688_s0_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,4.9201836585998535
candidateB_plus_E2_tf_lowlambda_expanded2688_s100_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.080821990966797
candidateB_plus_E2_tf_lowlambda_expanded2688_s101_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.004779815673828
candidateB_plus_E2_tf_lowlambda_expanded2688_s102_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,4.685111999511719
candidateB_plus_E2_tf_lowlambda_expanded2688_s103_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.2636799812316895
candidateB_plus_E2_tf_lowlambda_expanded2688_s104_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,4.873307228088379
candidateB_plus_E2_tf_lowlambda_expanded2688_s105_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.410587310791016
candidateB_plus_E2_tf_lowlambda_expanded2688_s106_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.378390312194824
candidateB_plus_E2_tf_lowlambda_expanded2688_s107_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.885885238647461
candidateB_plus_E2_tf_lowlambda_expanded2688_s108_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.639427661895752
candidateB_plus_E2_tf_lowlambda_expanded2688_s109_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.453109264373779
candidateB_plus_E2_tf_lowlambda_expanded2688_s10_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,6.099370002746582
candidateB_plus_E2_tf_lowlambda_expanded2688_s110_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.599852085113525
candidateB_plus_E2_tf_lowlambda_expanded2688_s111_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.597915172576904
candidateB_plus_E2_tf_lowlambda_expanded2688_s112_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.40471887588501
candidateB_plus_E2_tf_lowlambda_expanded2688_s113_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.432489395141602
candidateB_plus_E2_tf_lowlambda_expanded2688_s114_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,5.262712478637695
candidateB_plus_E2_tf_lowlambda_expanded2688_s115_speed_p160_x0_y0,candidateB_plus_E2_tf_lowlambda_expanded2688,4.85109806060791
