sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,23.915102003135654,5.051645278930664,9.748218536376953,5.022221565246582,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
1,1,24.612518312283534,22.38874396250744,23.396575819423735,4.678010940551758,11.978342056274414,6.220789432525635,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,24.44594379052168,4.894824504852295,8.343221664428711,5.2002482414245605,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,23.982906698442203,4.794641017913818,9.753995895385742,4.691689968109131,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
4,4,24.810879874900778,22.91065989660919,23.360408624285775,4.892229080200195,8.064751625061035,6.060602188110352,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,24.557159470662388,5.628478050231934,6.406379699707031,5.753722190856934,gan,gan,cnn,cnn,0
6,6,28.068979766562435,24.045087776300683,25.625418209247975,6.144000053405762,6.0106329917907715,5.333760738372803,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded672,1
7,7,29.26973016135952,22.553824952557566,26.775156940438915,5.672351837158203,7.113770008087158,5.896644592285156,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,27.245778218158968,7.50956392288208,6.055016040802002,6.666752815246582,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,26.611779742886057,5.768454551696777,6.291722297668457,5.38728141784668,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
10,10,29.696969860459554,24.710016041893063,26.746251767369333,6.634506702423096,7.423793315887451,5.8954267501831055,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
11,11,28.68732565326105,24.969867761946066,25.480905881252642,5.910721302032471,7.831723690032959,6.452685356140137,gan,gan,cnn,cnn,0
