sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB,pd_winner_before,pd_winner_after_candidateB,mt_winner_before,mt_winner_after_candidateB,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,26.179818446286276,5.051645278930664,9.748218536376953,4.814377307891846,gan,gan,cnn,candidateB,0
1,1,24.612518312283534,22.38874396250744,26.545503792681192,4.678010940551758,11.978342056274414,5.406003952026367,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,26.998948699418342,4.894824504852295,8.343221664428711,5.586921691894531,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,26.56029805826851,4.794641017913818,9.753995895385742,5.0153703689575195,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,26.075138648777013,4.892229080200195,8.064751625061035,4.812601566314697,gan,gan,cnn,candidateB,0
5,5,27.01852197077857,22.503507148952195,26.789535253872774,5.628478050231934,6.406379699707031,5.276339530944824,gan,gan,cnn,candidateB,0
6,6,28.068979766562435,24.045087776300683,27.56175551662498,6.144000053405762,6.0106329917907715,6.20045280456543,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,27.842845947549883,5.672351837158203,7.113770008087158,6.273870944976807,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,27.904150030588582,7.50956392288208,6.055016040802002,7.154460906982422,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,27.445186666539154,5.768454551696777,6.291722297668457,5.927921295166016,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,27.747333195313132,6.634506702423096,7.423793315887451,6.343712329864502,gan,gan,cnn,candidateB,0
11,11,28.68732565326105,24.969867761946066,27.188848991772392,5.910721302032471,7.831723690032959,6.732172966003418,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,27.90319191566299,6.61636209487915,5.913707256317139,6.093352317810059,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,27.492573670494778,6.0738348960876465,7.402252674102783,6.851194381713867,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,26.566413957521203,5.448930263519287,5.877835750579834,5.679977893829346,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,24.448364119334414,5.097294807434082,5.86716890335083,5.762754917144775,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,21.858542434973543,5.464188098907471,5.255205154418945,5.8596978187561035,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,19.53919402930008,5.2896833419799805,4.8487091064453125,5.67388916015625,gan,gan,gan,gan,1
