key,method,pd_distance
candidateB_s0_speed_p160_x0_y0,candidateB,26.179818446286276
candidateB_s100_speed_p160_x0_y0,candidateB,29.339174144854788
candidateB_s101_speed_p160_x0_y0,candidateB,28.662574155816632
candidateB_s102_speed_p160_x0_y0,candidateB,27.223163690178794
candidateB_s103_speed_p160_x0_y0,candidateB,27.763950322570476
candidateB_s104_speed_p160_x0_y0,candidateB,27.285357103470233
candidateB_s105_speed_p160_x0_y0,candidateB,27.186725980415446
candidateB_s106_speed_p160_x0_y0,candidateB,27.393555709999262
candidateB_s107_speed_p160_x0_y0,candidateB,26.71281103741849
candidateB_s108_speed_p160_x0_y0,candidateB,26.77776255177138
candidateB_s109_speed_p160_x0_y0,candidateB,26.355867297740858
candidateB_s10_speed_p160_x0_y0,candidateB,27.747333195313132
candidateB_s110_speed_p160_x0_y0,candidateB,26.94190249604811
candidateB_s111_speed_p160_x0_y0,candidateB,25.863183179815916
candidateB_s112_speed_p160_x0_y0,candidateB,25.391098082717527
candidateB_s113_speed_p160_x0_y0,candidateB,24.045706004890516
candidateB_s114_speed_p160_x0_y0,candidateB,22.46955277616873
candidateB_s115_speed_p160_x0_y0,candidateB,23.96387796707085
candidateB_s116_speed_p160_x0_y0,candidateB,24.161012808782722
candidateB_s117_speed_p160_x0_y0,candidateB,25.922014791746832
candidateB_s118_speed_p160_x0_y0,candidateB,27.04113886422974
candidateB_s119_speed_p160_x0_y0,candidateB,26.635873077947835
candidateB_s11_speed_p160_x0_y0,candidateB,27.188848991772392
candidateB_s120_speed_p160_x0_y0,candidateB,25.946991829738376
candidateB_s121_speed_p160_x0_y0,candidateB,26.85820626384451
candidateB_s122_speed_p160_x0_y0,candidateB,26.035670829844147
candidateB_s123_speed_p160_x0_y0,candidateB,26.224090474721155
candidateB_s124_speed_p160_x0_y0,candidateB,26.39262119076047
candidateB_s125_speed_p160_x0_y0,candidateB,26.165475589282842
candidateB_s126_speed_p160_x0_y0,candidateB,25.92533182983275
candidateB_s127_speed_p160_x0_y0,candidateB,27.6808032147066
candidateB_s128_speed_p160_x0_y0,candidateB,27.039220142541573
candidateB_s129_speed_p160_x0_y0,candidateB,28.265636327789235
candidateB_s12_speed_p160_x0_y0,candidateB,27.90319191566299
candidateB_s130_speed_p160_x0_y0,candidateB,28.536461941148932
candidateB_s131_speed_p160_x0_y0,candidateB,31.127287280798043
