key,method,pd_distance,mt_distance,error
candidateB_s0_speed_p160_x0_y0,candidateB,26.179818446286276,4.814377307891846,
candidateB_s100_speed_p160_x0_y0,candidateB,29.339174144854788,5.621122360229492,
candidateB_s101_speed_p160_x0_y0,candidateB,28.662574155816632,5.414937496185303,
candidateB_s102_speed_p160_x0_y0,candidateB,27.223163690178794,5.915370464324951,
candidateB_s103_speed_p160_x0_y0,candidateB,27.763950322570476,5.314781188964844,
candidateB_s104_speed_p160_x0_y0,candidateB,27.285357103470233,5.04921293258667,
candidateB_s105_speed_p160_x0_y0,candidateB,27.186725980415446,5.3015456199646,
candidateB_s106_speed_p160_x0_y0,candidateB,27.393555709999262,5.508633136749268,
candidateB_s107_speed_p160_x0_y0,candidateB,26.71281103741849,5.326969623565674,
candidateB_s108_speed_p160_x0_y0,candidateB,26.77776255177138,5.607050895690918,
candidateB_s109_speed_p160_x0_y0,candidateB,26.355867297740858,5.04433012008667,
candidateB_s10_speed_p160_x0_y0,candidateB,27.747333195313132,6.343712329864502,
candidateB_s110_speed_p160_x0_y0,candidateB,26.94190249604811,5.732553482055664,
candidateB_s111_speed_p160_x0_y0,candidateB,25.863183179815916,5.4816083908081055,
candidateB_s112_speed_p160_x0_y0,candidateB,25.391098082717527,5.677003860473633,
candidateB_s113_speed_p160_x0_y0,candidateB,24.045706004890516,5.37544584274292,
candidateB_s114_speed_p160_x0_y0,candidateB,22.46955277616873,5.410416126251221,
candidateB_s115_speed_p160_x0_y0,candidateB,23.96387796707085,4.994778633117676,
candidateB_s116_speed_p160_x0_y0,candidateB,24.161012808782722,5.470494747161865,
candidateB_s117_speed_p160_x0_y0,candidateB,25.922014791746832,5.986312389373779,
candidateB_s118_speed_p160_x0_y0,candidateB,27.04113886422974,6.682653427124023,
candidateB_s119_speed_p160_x0_y0,candidateB,26.635873077947835,5.404505252838135,
candidateB_s11_speed_p160_x0_y0,candidateB,27.188848991772392,6.732172966003418,
candidateB_s120_speed_p160_x0_y0,candidateB,25.946991829738376,5.054945468902588,
candidateB_s121_speed_p160_x0_y0,candidateB,26.85820626384451,5.098669052124023,
candidateB_s122_speed_p160_x0_y0,candidateB,26.035670829844147,5.8068766593933105,
candidateB_s123_speed_p160_x0_y0,candidateB,26.224090474721155,5.60638427734375,
candidateB_s124_speed_p160_x0_y0,candidateB,26.39262119076047,5.939869403839111,
candidateB_s125_speed_p160_x0_y0,candidateB,26.165475589282842,5.00363302230835,
candidateB_s126_speed_p160_x0_y0,candidateB,25.92533182983275,4.439967632293701,
candidateB_s127_speed_p160_x0_y0,candidateB,27.6808032147066,4.685281753540039,
candidateB_s128_speed_p160_x0_y0,candidateB,27.039220142541573,5.34368896484375,
candidateB_s129_speed_p160_x0_y0,candidateB,28.265636327789235,5.360037803649902,
candidateB_s12_speed_p160_x0_y0,candidateB,27.90319191566299,6.093352317810059,
candidateB_s130_speed_p160_x0_y0,candidateB,28.536461941148932,5.01004695892334,
candidateB_s131_speed_p160_x0_y0,candidateB,31.127287280798043,6.025422096252441,
candidateB_s132_speed_p160_x0_y0,candidateB,32.393995362580824,6.212296962738037,
candidateB_s133_speed_p160_x0_y0,candidateB,33.0885833667341,6.215855121612549,
candidateB_s134_speed_p160_x0_y0,candidateB,30.744688575196854,6.65745735168457,
candidateB_s135_speed_p160_x0_y0,candidateB,28.37834694044088,5.568185329437256,
candidateB_s136_speed_p160_x0_y0,candidateB,26.72365747049042,5.74232292175293,
candidateB_s137_speed_p160_x0_y0,candidateB,25.691343896871814,4.889462947845459,
candidateB_s138_speed_p160_x0_y0,candidateB,24.655507522510312,4.937742233276367,
candidateB_s139_speed_p160_x0_y0,candidateB,23.872540620289385,5.078011989593506,
candidateB_s13_speed_p160_x0_y0,candidateB,27.492573670494778,6.851194381713867,
candidateB_s140_speed_p160_x0_y0,candidateB,25.451683367431816,5.313171863555908,
