sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateC_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateC_expanded1344,pd_winner_before,pd_winner_after_candidateC_expanded1344,mt_winner_before,mt_winner_after_candidateC_expanded1344,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,22.418207847588402,5.051645278930664,9.748218536376953,5.700586318969727,gan,candidateC_expanded1344,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,22.58299121997217,4.678010940551758,11.978342056274414,5.375909805297852,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,24.15473398582404,4.894824504852295,8.343221664428711,5.6179046630859375,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,23.839761362891792,4.794641017913818,9.753995895385742,5.55229377746582,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,23.520633760797853,4.892229080200195,8.064751625061035,6.029956340789795,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,23.80830040341366,5.628478050231934,6.406379699707031,5.952883720397949,gan,gan,cnn,cnn,0
6,6,28.068979766562435,24.045087776300683,24.182965078537105,6.144000053405762,6.0106329917907715,5.797817230224609,gan,gan,gan,candidateC_expanded1344,1
7,7,29.26973016135952,22.553824952557566,23.915850917752508,5.672351837158203,7.113770008087158,5.958333492279053,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,24.637752350304062,7.50956392288208,6.055016040802002,6.48214864730835,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,24.20429749824721,5.768454551696777,6.291722297668457,6.197243690490723,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,24.171510730917383,6.634506702423096,7.423793315887451,6.303045272827148,gan,candidateC_expanded1344,cnn,candidateC_expanded1344,0
11,11,28.68732565326105,24.969867761946066,24.077971718645784,5.910721302032471,7.831723690032959,6.635824203491211,gan,candidateC_expanded1344,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,24.060337624267007,6.61636209487915,5.913707256317139,6.571881294250488,gan,candidateC_expanded1344,gan,gan,1
13,13,29.273674668484478,24.323688014436637,23.786627941680354,6.0738348960876465,7.402252674102783,6.867643356323242,gan,candidateC_expanded1344,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,23.410784301235005,5.448930263519287,5.877835750579834,5.749135971069336,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,22.220350317856056,5.097294807434082,5.86716890335083,5.466594219207764,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,20.079387629853475,5.464188098907471,5.255205154418945,5.862560272216797,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,17.36335499778434,5.2896833419799805,4.8487091064453125,5.055574417114258,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,16.98722250391146,6.258571624755859,5.554356575012207,4.798796653747559,gan,candidateC_expanded1344,gan,candidateC_expanded1344,1
19,19,21.064082150885508,19.086676411603058,16.522118086759175,6.927988529205322,5.44291353225708,5.820948123931885,gan,candidateC_expanded1344,gan,gan,1
20,20,21.97923655969375,18.266315468004898,17.5254190512346,6.254051208496094,5.689126491546631,6.327765941619873,gan,candidateC_expanded1344,gan,gan,1
21,21,27.30086406645334,21.732522780594586,21.47307378237126,8.127616882324219,10.817054748535156,9.093500137329102,gan,candidateC_expanded1344,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,27.68830140470919,8.081520080566406,8.346701622009277,6.857977390289307,gan,gan,cnn,candidateC_expanded1344,0
23,23,34.476953302920876,29.144574221491347,29.278191632324035,6.907674789428711,8.497876167297363,7.925095558166504,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,30.50894627924047,7.21915864944458,12.067601203918457,7.834207534790039,gan,gan,cnn,cnn,0
25,25,36.58411526021696,30.123491475362258,30.819910027754975,11.371563911437988,10.501462936401367,7.162358283996582,gan,gan,gan,candidateC_expanded1344,1
26,26,35.02599363200026,30.779316467464,30.98761563743518,7.043282985687256,11.28821849822998,8.248699188232422,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,32.268672509246514,6.4783101081848145,19.968429565429688,7.815352916717529,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,32.227395207060965,7.210402011871338,14.947399139404297,8.224403381347656,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,33.184861291071954,6.963974952697754,12.864243507385254,7.049653053283691,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,32.27765008281337,8.127463340759277,14.847400665283203,7.880753993988037,gan,gan,cnn,candidateC_expanded1344,0
31,31,39.104318483733294,31.3053599336416,33.066659831321566,6.818642616271973,16.23410415649414,7.064859390258789,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,31.668090357579366,7.461033821105957,19.229158401489258,7.862165927886963,gan,gan,cnn,cnn,0
33,33,38.39305861348763,30.400139282712473,30.761777077468135,6.76971960067749,20.00556755065918,7.328492164611816,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,30.285188877190226,6.323113918304443,19.445999145507812,6.845500946044922,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,30.353558386608263,6.2719197273254395,14.435929298400879,7.070034980773926,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,30.38883628662311,6.097905158996582,9.26945686340332,6.683920860290527,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,28.902463487242617,6.489102840423584,9.59257698059082,6.562217712402344,gan,gan,cnn,cnn,0
38,38,29.159912858159764,23.780350003542182,25.3600473578852,6.054014682769775,7.416414260864258,6.921751976013184,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,22.573518902294857,5.873856067657471,8.546488761901855,6.65493631362915,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,21.119966872658853,5.6310811042785645,8.988521575927734,6.446371078491211,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,19.288789806888644,5.389686584472656,8.901470184326172,6.339679718017578,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,16.866410653104737,5.757840156555176,7.383090972900391,6.032817363739014,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,16.07861377921016,5.7682366371154785,7.053122520446777,5.847011566162109,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,14.928755357681952,6.20600700378418,7.041088581085205,6.137096881866455,gan,gan,cnn,candidateC_expanded1344,0
45,45,20.528037851461004,13.609391097429418,15.294727394991135,6.566225528717041,6.773196697235107,6.3417067527771,gan,gan,cnn,candidateC_expanded1344,0
46,46,20.678325640697178,16.27228595124608,14.90067687801678,6.243154048919678,6.650214672088623,6.597708702087402,gan,candidateC_expanded1344,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,15.36878908324555,6.789880752563477,7.498397350311279,7.014018535614014,gan,gan,cnn,cnn,0
48,48,22.832495463547907,13.107025960847848,16.266498033833805,7.081502437591553,6.682991981506348,6.846828460693359,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,16.36417508191165,6.3195295333862305,7.889017105102539,7.062093734741211,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,16.067369010116003,6.3856120109558105,6.713321685791016,6.401299953460693,gan,gan,cnn,cnn,0
51,51,21.75849079768097,16.03686368056312,16.64834946783336,5.902731418609619,7.996896266937256,6.0650410652160645,gan,gan,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,17.31176158615695,5.69123649597168,7.0050048828125,6.701736927032471,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,17.60436833129066,5.261850833892822,7.919146537780762,6.653017997741699,gan,candidateC_expanded1344,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,18.599744683518086,5.500187397003174,9.581897735595703,6.325557231903076,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,19.344638422069476,5.2683796882629395,7.846588134765625,5.827786445617676,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,19.84998465810694,5.488292217254639,7.826909065246582,5.8330183029174805,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,20.309318711101433,5.463809013366699,6.805661201477051,5.817705154418945,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,21.07669083383647,6.08959436416626,8.349846839904785,6.280777931213379,gan,gan,cnn,cnn,0
59,59,25.864386079507888,18.65101850934172,21.47396068622399,5.546851634979248,7.89148473739624,6.062828540802002,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,21.723648413547448,5.321651458740234,8.357301712036133,7.045806407928467,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,22.080089697825837,5.346891403198242,8.12722110748291,6.002017974853516,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,23.481314319998692,6.720277786254883,6.650205135345459,6.647908687591553,gan,gan,gan,candidateC_expanded1344,1
63,63,28.524583670890912,18.199751597271156,24.306272176789175,7.660599708557129,7.5776286125183105,7.651425361633301,gan,gan,gan,gan,1
64,64,24.7100597287657,16.701032359601633,20.609218018003734,5.944510459899902,7.137726306915283,5.909665584564209,gan,gan,cnn,candidateC_expanded1344,0
65,65,22.148883751156426,16.23947552161985,18.74840122695968,5.820770263671875,5.576780319213867,5.948667526245117,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,17.26849308019605,5.701828956604004,6.4086198806762695,5.808671951293945,gan,gan,cnn,cnn,0
67,67,20.679919922717943,14.773695042869097,16.304154622953444,5.030301094055176,6.6433844566345215,4.855058670043945,gan,gan,cnn,candidateC_expanded1344,0
68,68,21.77134223692748,15.500930745161975,16.634890681632452,6.074338436126709,5.670867919921875,5.403640270233154,gan,gan,gan,candidateC_expanded1344,1
69,69,24.168055816700438,16.112222498232782,18.908912926877974,5.17050838470459,6.406604290008545,5.243794918060303,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,19.401367333548063,5.396136283874512,5.861793041229248,5.408352851867676,gan,candidateC_expanded1344,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,19.918603343444616,5.1588335037231445,7.186563014984131,6.282496929168701,gan,gan,cnn,cnn,0
