key,method,pd_distance
candidateC_expanded1344_s0_speed_p160_x0_y0,candidateC_expanded1344,22.418207847588402
candidateC_expanded1344_s100_speed_p160_x0_y0,candidateC_expanded1344,25.10225356081901
candidateC_expanded1344_s101_speed_p160_x0_y0,candidateC_expanded1344,24.561566051597595
candidateC_expanded1344_s102_speed_p160_x0_y0,candidateC_expanded1344,23.343132825341733
candidateC_expanded1344_s103_speed_p160_x0_y0,candidateC_expanded1344,23.674162240548764
candidateC_expanded1344_s104_speed_p160_x0_y0,candidateC_expanded1344,23.64709895021267
candidateC_expanded1344_s105_speed_p160_x0_y0,candidateC_expanded1344,24.09707833299216
candidateC_expanded1344_s106_speed_p160_x0_y0,candidateC_expanded1344,24.00654171709445
candidateC_expanded1344_s107_speed_p160_x0_y0,candidateC_expanded1344,23.262583337460192
candidateC_expanded1344_s108_speed_p160_x0_y0,candidateC_expanded1344,24.066500849712515
candidateC_expanded1344_s109_speed_p160_x0_y0,candidateC_expanded1344,23.758310741283406
candidateC_expanded1344_s10_speed_p160_x0_y0,candidateC_expanded1344,24.171510730917383
candidateC_expanded1344_s110_speed_p160_x0_y0,candidateC_expanded1344,24.21468833536031
candidateC_expanded1344_s111_speed_p160_x0_y0,candidateC_expanded1344,22.729184583162873
candidateC_expanded1344_s112_speed_p160_x0_y0,candidateC_expanded1344,22.273618958867278
candidateC_expanded1344_s113_speed_p160_x0_y0,candidateC_expanded1344,20.74116497940586
candidateC_expanded1344_s114_speed_p160_x0_y0,candidateC_expanded1344,19.442292494835346
candidateC_expanded1344_s115_speed_p160_x0_y0,candidateC_expanded1344,19.969083785831607
candidateC_expanded1344_s116_speed_p160_x0_y0,candidateC_expanded1344,20.48050250699552
candidateC_expanded1344_s117_speed_p160_x0_y0,candidateC_expanded1344,22.256122197369177
candidateC_expanded1344_s118_speed_p160_x0_y0,candidateC_expanded1344,23.751063007948876
candidateC_expanded1344_s119_speed_p160_x0_y0,candidateC_expanded1344,23.519582023070722
candidateC_expanded1344_s11_speed_p160_x0_y0,candidateC_expanded1344,24.077971718645784
candidateC_expanded1344_s120_speed_p160_x0_y0,candidateC_expanded1344,23.19212565583119
candidateC_expanded1344_s121_speed_p160_x0_y0,candidateC_expanded1344,23.433119202671193
candidateC_expanded1344_s122_speed_p160_x0_y0,candidateC_expanded1344,23.24381882915386
candidateC_expanded1344_s123_speed_p160_x0_y0,candidateC_expanded1344,23.101823577102234
candidateC_expanded1344_s124_speed_p160_x0_y0,candidateC_expanded1344,22.968986202535994
candidateC_expanded1344_s125_speed_p160_x0_y0,candidateC_expanded1344,22.40932229089839
candidateC_expanded1344_s126_speed_p160_x0_y0,candidateC_expanded1344,23.16063007878095
candidateC_expanded1344_s127_speed_p160_x0_y0,candidateC_expanded1344,24.660234831787747
candidateC_expanded1344_s128_speed_p160_x0_y0,candidateC_expanded1344,23.7439530473512
candidateC_expanded1344_s129_speed_p160_x0_y0,candidateC_expanded1344,24.927376076147034
candidateC_expanded1344_s12_speed_p160_x0_y0,candidateC_expanded1344,24.060337624267007
candidateC_expanded1344_s130_speed_p160_x0_y0,candidateC_expanded1344,25.372927665774117
candidateC_expanded1344_s131_speed_p160_x0_y0,candidateC_expanded1344,27.709400703117975
candidateC_expanded1344_s132_speed_p160_x0_y0,candidateC_expanded1344,28.963168750170432
candidateC_expanded1344_s133_speed_p160_x0_y0,candidateC_expanded1344,29.591001977213033
candidateC_expanded1344_s134_speed_p160_x0_y0,candidateC_expanded1344,27.02436502293305
candidateC_expanded1344_s135_speed_p160_x0_y0,candidateC_expanded1344,25.108231614689053
candidateC_expanded1344_s136_speed_p160_x0_y0,candidateC_expanded1344,23.41857916684334
candidateC_expanded1344_s137_speed_p160_x0_y0,candidateC_expanded1344,22.504055880728032
candidateC_expanded1344_s138_speed_p160_x0_y0,candidateC_expanded1344,22.030620063753673
candidateC_expanded1344_s139_speed_p160_x0_y0,candidateC_expanded1344,21.04840393073705
candidateC_expanded1344_s13_speed_p160_x0_y0,candidateC_expanded1344,23.786627941680354
candidateC_expanded1344_s140_speed_p160_x0_y0,candidateC_expanded1344,22.441205170124068
candidateC_expanded1344_s141_speed_p160_x0_y0,candidateC_expanded1344,25.74999128353519
candidateC_expanded1344_s142_speed_p160_x0_y0,candidateC_expanded1344,28.1792777722757
candidateC_expanded1344_s143_speed_p160_x0_y0,candidateC_expanded1344,27.199914102777964
candidateC_expanded1344_s144_speed_p160_x0_y0,candidateC_expanded1344,26.726642945898043
candidateC_expanded1344_s145_speed_p160_x0_y0,candidateC_expanded1344,25.67228811802396
candidateC_expanded1344_s146_speed_p160_x0_y0,candidateC_expanded1344,25.066755142947276
candidateC_expanded1344_s147_speed_p160_x0_y0,candidateC_expanded1344,23.74492396034764
candidateC_expanded1344_s148_speed_p160_x0_y0,candidateC_expanded1344,22.647199068502875
candidateC_expanded1344_s149_speed_p160_x0_y0,candidateC_expanded1344,21.703427447629036
candidateC_expanded1344_s14_speed_p160_x0_y0,candidateC_expanded1344,23.410784301235005
candidateC_expanded1344_s150_speed_p160_x0_y0,candidateC_expanded1344,20.53173499867865
candidateC_expanded1344_s151_speed_p160_x0_y0,candidateC_expanded1344,19.617634047286046
candidateC_expanded1344_s152_speed_p160_x0_y0,candidateC_expanded1344,19.48227434805778
candidateC_expanded1344_s153_speed_p160_x0_y0,candidateC_expanded1344,19.34654717619836
candidateC_expanded1344_s154_speed_p160_x0_y0,candidateC_expanded1344,19.56403494211142
candidateC_expanded1344_s155_speed_p160_x0_y0,candidateC_expanded1344,19.53263667369603
candidateC_expanded1344_s156_speed_p160_x0_y0,candidateC_expanded1344,19.682562749363505
candidateC_expanded1344_s157_speed_p160_x0_y0,candidateC_expanded1344,21.162597313068982
candidateC_expanded1344_s158_speed_p160_x0_y0,candidateC_expanded1344,23.266536769689004
candidateC_expanded1344_s159_speed_p160_x0_y0,candidateC_expanded1344,20.68711109530956
candidateC_expanded1344_s15_speed_p160_x0_y0,candidateC_expanded1344,22.220350317856056
candidateC_expanded1344_s160_speed_p160_x0_y0,candidateC_expanded1344,18.388416799211214
candidateC_expanded1344_s161_speed_p160_x0_y0,candidateC_expanded1344,18.323731666153858
candidateC_expanded1344_s162_speed_p160_x0_y0,candidateC_expanded1344,17.65697267415629
candidateC_expanded1344_s163_speed_p160_x0_y0,candidateC_expanded1344,19.026362477694924
candidateC_expanded1344_s164_speed_p160_x0_y0,candidateC_expanded1344,19.930294776926306
candidateC_expanded1344_s165_speed_p160_x0_y0,candidateC_expanded1344,21.23764966523382
candidateC_expanded1344_s166_speed_p160_x0_y0,candidateC_expanded1344,22.243647324072665
candidateC_expanded1344_s167_speed_p160_x0_y0,candidateC_expanded1344,22.13793388170786
candidateC_expanded1344_s16_speed_p160_x0_y0,candidateC_expanded1344,20.079387629853475
candidateC_expanded1344_s17_speed_p160_x0_y0,candidateC_expanded1344,17.36335499778434
candidateC_expanded1344_s18_speed_p160_x0_y0,candidateC_expanded1344,16.98722250391146
candidateC_expanded1344_s19_speed_p160_x0_y0,candidateC_expanded1344,16.522118086759175
candidateC_expanded1344_s1_speed_p160_x0_y0,candidateC_expanded1344,22.58299121997217
candidateC_expanded1344_s20_speed_p160_x0_y0,candidateC_expanded1344,17.5254190512346
candidateC_expanded1344_s21_speed_p160_x0_y0,candidateC_expanded1344,21.47307378237126
candidateC_expanded1344_s22_speed_p160_x0_y0,candidateC_expanded1344,27.68830140470919
candidateC_expanded1344_s23_speed_p160_x0_y0,candidateC_expanded1344,29.278191632324035
candidateC_expanded1344_s24_speed_p160_x0_y0,candidateC_expanded1344,30.50894627924047
candidateC_expanded1344_s25_speed_p160_x0_y0,candidateC_expanded1344,30.819910027754975
candidateC_expanded1344_s26_speed_p160_x0_y0,candidateC_expanded1344,30.98761563743518
candidateC_expanded1344_s27_speed_p160_x0_y0,candidateC_expanded1344,32.268672509246514
candidateC_expanded1344_s28_speed_p160_x0_y0,candidateC_expanded1344,32.227395207060965
candidateC_expanded1344_s29_speed_p160_x0_y0,candidateC_expanded1344,33.184861291071954
candidateC_expanded1344_s2_speed_p160_x0_y0,candidateC_expanded1344,24.15473398582404
candidateC_expanded1344_s30_speed_p160_x0_y0,candidateC_expanded1344,32.27765008281337
candidateC_expanded1344_s31_speed_p160_x0_y0,candidateC_expanded1344,33.066659831321566
candidateC_expanded1344_s32_speed_p160_x0_y0,candidateC_expanded1344,31.668090357579366
candidateC_expanded1344_s33_speed_p160_x0_y0,candidateC_expanded1344,30.761777077468135
candidateC_expanded1344_s34_speed_p160_x0_y0,candidateC_expanded1344,30.285188877190226
candidateC_expanded1344_s35_speed_p160_x0_y0,candidateC_expanded1344,30.353558386608263
candidateC_expanded1344_s36_speed_p160_x0_y0,candidateC_expanded1344,30.38883628662311
candidateC_expanded1344_s37_speed_p160_x0_y0,candidateC_expanded1344,28.902463487242617
candidateC_expanded1344_s38_speed_p160_x0_y0,candidateC_expanded1344,25.3600473578852
candidateC_expanded1344_s39_speed_p160_x0_y0,candidateC_expanded1344,22.573518902294857
candidateC_expanded1344_s3_speed_p160_x0_y0,candidateC_expanded1344,23.839761362891792
candidateC_expanded1344_s40_speed_p160_x0_y0,candidateC_expanded1344,21.119966872658853
candidateC_expanded1344_s41_speed_p160_x0_y0,candidateC_expanded1344,19.288789806888644
candidateC_expanded1344_s42_speed_p160_x0_y0,candidateC_expanded1344,16.866410653104737
candidateC_expanded1344_s43_speed_p160_x0_y0,candidateC_expanded1344,16.07861377921016
candidateC_expanded1344_s44_speed_p160_x0_y0,candidateC_expanded1344,14.928755357681952
candidateC_expanded1344_s45_speed_p160_x0_y0,candidateC_expanded1344,15.294727394991135
candidateC_expanded1344_s46_speed_p160_x0_y0,candidateC_expanded1344,14.90067687801678
candidateC_expanded1344_s47_speed_p160_x0_y0,candidateC_expanded1344,15.36878908324555
candidateC_expanded1344_s48_speed_p160_x0_y0,candidateC_expanded1344,16.266498033833805
candidateC_expanded1344_s49_speed_p160_x0_y0,candidateC_expanded1344,16.36417508191165
candidateC_expanded1344_s4_speed_p160_x0_y0,candidateC_expanded1344,23.520633760797853
candidateC_expanded1344_s50_speed_p160_x0_y0,candidateC_expanded1344,16.067369010116003
candidateC_expanded1344_s51_speed_p160_x0_y0,candidateC_expanded1344,16.64834946783336
candidateC_expanded1344_s52_speed_p160_x0_y0,candidateC_expanded1344,17.31176158615695
candidateC_expanded1344_s53_speed_p160_x0_y0,candidateC_expanded1344,17.60436833129066
candidateC_expanded1344_s54_speed_p160_x0_y0,candidateC_expanded1344,18.599744683518086
candidateC_expanded1344_s55_speed_p160_x0_y0,candidateC_expanded1344,19.344638422069476
candidateC_expanded1344_s56_speed_p160_x0_y0,candidateC_expanded1344,19.84998465810694
candidateC_expanded1344_s57_speed_p160_x0_y0,candidateC_expanded1344,20.309318711101433
candidateC_expanded1344_s58_speed_p160_x0_y0,candidateC_expanded1344,21.07669083383647
candidateC_expanded1344_s59_speed_p160_x0_y0,candidateC_expanded1344,21.47396068622399
candidateC_expanded1344_s5_speed_p160_x0_y0,candidateC_expanded1344,23.80830040341366
candidateC_expanded1344_s60_speed_p160_x0_y0,candidateC_expanded1344,21.723648413547448
candidateC_expanded1344_s61_speed_p160_x0_y0,candidateC_expanded1344,22.080089697825837
candidateC_expanded1344_s62_speed_p160_x0_y0,candidateC_expanded1344,23.481314319998692
candidateC_expanded1344_s63_speed_p160_x0_y0,candidateC_expanded1344,24.306272176789175
candidateC_expanded1344_s64_speed_p160_x0_y0,candidateC_expanded1344,20.609218018003734
candidateC_expanded1344_s65_speed_p160_x0_y0,candidateC_expanded1344,18.74840122695968
candidateC_expanded1344_s66_speed_p160_x0_y0,candidateC_expanded1344,17.26849308019605
candidateC_expanded1344_s67_speed_p160_x0_y0,candidateC_expanded1344,16.304154622953444
candidateC_expanded1344_s68_speed_p160_x0_y0,candidateC_expanded1344,16.634890681632452
candidateC_expanded1344_s69_speed_p160_x0_y0,candidateC_expanded1344,18.908912926877974
candidateC_expanded1344_s6_speed_p160_x0_y0,candidateC_expanded1344,24.182965078537105
candidateC_expanded1344_s70_speed_p160_x0_y0,candidateC_expanded1344,19.401367333548063
candidateC_expanded1344_s71_speed_p160_x0_y0,candidateC_expanded1344,19.918603343444616
candidateC_expanded1344_s72_speed_p160_x0_y0,candidateC_expanded1344,21.807587945194854
candidateC_expanded1344_s73_speed_p160_x0_y0,candidateC_expanded1344,22.8567419525576
