key,method,mt_distance
candidateC_s0_speed_p160_x0_y0,candidateC,4.931364059448242
candidateC_s100_speed_p160_x0_y0,candidateC,5.351336479187012
candidateC_s101_speed_p160_x0_y0,candidateC,5.353609085083008
candidateC_s102_speed_p160_x0_y0,candidateC,5.493511199951172
candidateC_s103_speed_p160_x0_y0,candidateC,5.228216171264648
candidateC_s104_speed_p160_x0_y0,candidateC,4.723474025726318
candidateC_s105_speed_p160_x0_y0,candidateC,5.227352142333984
candidateC_s106_speed_p160_x0_y0,candidateC,5.34552526473999
candidateC_s107_speed_p160_x0_y0,candidateC,5.256672382354736
candidateC_s108_speed_p160_x0_y0,candidateC,5.788100242614746
candidateC_s109_speed_p160_x0_y0,candidateC,4.830506324768066
candidateC_s10_speed_p160_x0_y0,candidateC,6.084347248077393
candidateC_s110_speed_p160_x0_y0,candidateC,5.687377452850342
candidateC_s111_speed_p160_x0_y0,candidateC,5.523964881896973
candidateC_s112_speed_p160_x0_y0,candidateC,5.5572943687438965
candidateC_s113_speed_p160_x0_y0,candidateC,5.20902681350708
candidateC_s114_speed_p160_x0_y0,candidateC,4.957070350646973
candidateC_s115_speed_p160_x0_y0,candidateC,4.705747604370117
candidateC_s116_speed_p160_x0_y0,candidateC,5.285132884979248
candidateC_s117_speed_p160_x0_y0,candidateC,5.962286472320557
candidateC_s118_speed_p160_x0_y0,candidateC,6.579855918884277
candidateC_s119_speed_p160_x0_y0,candidateC,5.170251846313477
candidateC_s11_speed_p160_x0_y0,candidateC,5.824226379394531
candidateC_s120_speed_p160_x0_y0,candidateC,4.876166820526123
candidateC_s121_speed_p160_x0_y0,candidateC,4.785161972045898
candidateC_s122_speed_p160_x0_y0,candidateC,5.558730125427246
candidateC_s123_speed_p160_x0_y0,candidateC,5.339475154876709
candidateC_s124_speed_p160_x0_y0,candidateC,6.221042156219482
candidateC_s125_speed_p160_x0_y0,candidateC,4.823807716369629
candidateC_s126_speed_p160_x0_y0,candidateC,4.462385654449463
candidateC_s127_speed_p160_x0_y0,candidateC,4.784478187561035
candidateC_s128_speed_p160_x0_y0,candidateC,5.412283420562744
candidateC_s129_speed_p160_x0_y0,candidateC,5.197137832641602
candidateC_s12_speed_p160_x0_y0,candidateC,6.103949069976807
candidateC_s130_speed_p160_x0_y0,candidateC,5.013097286224365
candidateC_s131_speed_p160_x0_y0,candidateC,5.9127702713012695
candidateC_s132_speed_p160_x0_y0,candidateC,6.086034297943115
candidateC_s133_speed_p160_x0_y0,candidateC,6.084880828857422
candidateC_s134_speed_p160_x0_y0,candidateC,6.252074241638184
candidateC_s135_speed_p160_x0_y0,candidateC,5.156597137451172
candidateC_s136_speed_p160_x0_y0,candidateC,5.266989231109619
candidateC_s137_speed_p160_x0_y0,candidateC,4.420660018920898
candidateC_s138_speed_p160_x0_y0,candidateC,4.602932453155518
candidateC_s139_speed_p160_x0_y0,candidateC,4.903143882751465
candidateC_s13_speed_p160_x0_y0,candidateC,6.603658676147461
candidateC_s140_speed_p160_x0_y0,candidateC,4.927356243133545
candidateC_s141_speed_p160_x0_y0,candidateC,5.7144856452941895
candidateC_s142_speed_p160_x0_y0,candidateC,5.939748764038086
candidateC_s143_speed_p160_x0_y0,candidateC,5.802425861358643
candidateC_s144_speed_p160_x0_y0,candidateC,5.4842071533203125
candidateC_s145_speed_p160_x0_y0,candidateC,5.727496147155762
candidateC_s146_speed_p160_x0_y0,candidateC,5.936835765838623
candidateC_s147_speed_p160_x0_y0,candidateC,6.096467018127441
candidateC_s148_speed_p160_x0_y0,candidateC,5.154739856719971
candidateC_s149_speed_p160_x0_y0,candidateC,6.004216194152832
candidateC_s14_speed_p160_x0_y0,candidateC,5.7032389640808105
candidateC_s150_speed_p160_x0_y0,candidateC,4.908535003662109
candidateC_s151_speed_p160_x0_y0,candidateC,6.305517196655273
candidateC_s152_speed_p160_x0_y0,candidateC,5.82513427734375
candidateC_s153_speed_p160_x0_y0,candidateC,6.431364059448242
candidateC_s154_speed_p160_x0_y0,candidateC,5.819255352020264
candidateC_s155_speed_p160_x0_y0,candidateC,6.864002704620361
candidateC_s156_speed_p160_x0_y0,candidateC,5.253257751464844
candidateC_s157_speed_p160_x0_y0,candidateC,4.934730052947998
candidateC_s158_speed_p160_x0_y0,candidateC,5.51592493057251
candidateC_s159_speed_p160_x0_y0,candidateC,5.644424915313721
candidateC_s15_speed_p160_x0_y0,candidateC,5.456413269042969
candidateC_s160_speed_p160_x0_y0,candidateC,5.886693000793457
candidateC_s161_speed_p160_x0_y0,candidateC,5.520635604858398
candidateC_s162_speed_p160_x0_y0,candidateC,5.185703754425049
candidateC_s163_speed_p160_x0_y0,candidateC,4.916142463684082
candidateC_s164_speed_p160_x0_y0,candidateC,5.303427696228027
candidateC_s165_speed_p160_x0_y0,candidateC,5.320810317993164
candidateC_s166_speed_p160_x0_y0,candidateC,5.773357391357422
candidateC_s167_speed_p160_x0_y0,candidateC,5.900020122528076
candidateC_s16_speed_p160_x0_y0,candidateC,5.333761215209961
candidateC_s17_speed_p160_x0_y0,candidateC,5.367110252380371
candidateC_s18_speed_p160_x0_y0,candidateC,5.222471237182617
candidateC_s19_speed_p160_x0_y0,candidateC,5.8875885009765625
candidateC_s1_speed_p160_x0_y0,candidateC,5.018795013427734
candidateC_s20_speed_p160_x0_y0,candidateC,5.485183238983154
candidateC_s21_speed_p160_x0_y0,candidateC,7.855679035186768
candidateC_s22_speed_p160_x0_y0,candidateC,7.512784957885742
candidateC_s23_speed_p160_x0_y0,candidateC,7.493945598602295
candidateC_s24_speed_p160_x0_y0,candidateC,6.508459091186523
candidateC_s25_speed_p160_x0_y0,candidateC,6.54166316986084
candidateC_s26_speed_p160_x0_y0,candidateC,7.657828330993652
candidateC_s27_speed_p160_x0_y0,candidateC,6.1433844566345215
candidateC_s28_speed_p160_x0_y0,candidateC,7.227209568023682
candidateC_s29_speed_p160_x0_y0,candidateC,6.6222333908081055
candidateC_s2_speed_p160_x0_y0,candidateC,5.211119174957275
candidateC_s30_speed_p160_x0_y0,candidateC,6.868593692779541
candidateC_s31_speed_p160_x0_y0,candidateC,6.782070636749268
candidateC_s32_speed_p160_x0_y0,candidateC,6.346405029296875
candidateC_s33_speed_p160_x0_y0,candidateC,6.4996724128723145
candidateC_s34_speed_p160_x0_y0,candidateC,6.280228137969971
candidateC_s35_speed_p160_x0_y0,candidateC,6.591317176818848
candidateC_s36_speed_p160_x0_y0,candidateC,6.159060001373291
candidateC_s37_speed_p160_x0_y0,candidateC,6.199912071228027
candidateC_s38_speed_p160_x0_y0,candidateC,6.276556968688965
candidateC_s39_speed_p160_x0_y0,candidateC,6.508345603942871
candidateC_s3_speed_p160_x0_y0,candidateC,4.79228401184082
candidateC_s40_speed_p160_x0_y0,candidateC,6.8453240394592285
candidateC_s41_speed_p160_x0_y0,candidateC,5.363081455230713
candidateC_s42_speed_p160_x0_y0,candidateC,5.84509801864624
candidateC_s43_speed_p160_x0_y0,candidateC,5.266791343688965
candidateC_s44_speed_p160_x0_y0,candidateC,5.861962795257568
candidateC_s45_speed_p160_x0_y0,candidateC,6.20452356338501
candidateC_s46_speed_p160_x0_y0,candidateC,6.528316020965576
candidateC_s47_speed_p160_x0_y0,candidateC,6.895597457885742
candidateC_s48_speed_p160_x0_y0,candidateC,7.020596981048584
candidateC_s49_speed_p160_x0_y0,candidateC,6.376103401184082
candidateC_s4_speed_p160_x0_y0,candidateC,4.926924228668213
candidateC_s50_speed_p160_x0_y0,candidateC,6.370486736297607
