key,method,pd_distance
candidateC_s0_speed_p160_x0_y0,candidateC,26.54087383853458
candidateC_s100_speed_p160_x0_y0,candidateC,30.140117044881777
candidateC_s101_speed_p160_x0_y0,candidateC,29.215426344473293
candidateC_s102_speed_p160_x0_y0,candidateC,28.04637811646051
candidateC_s103_speed_p160_x0_y0,candidateC,28.535559306448214
candidateC_s104_speed_p160_x0_y0,candidateC,28.21188984191069
candidateC_s105_speed_p160_x0_y0,candidateC,27.961413994788167
candidateC_s106_speed_p160_x0_y0,candidateC,28.262582271451123
candidateC_s107_speed_p160_x0_y0,candidateC,27.660054058254957
candidateC_s108_speed_p160_x0_y0,candidateC,27.79387658406261
candidateC_s109_speed_p160_x0_y0,candidateC,27.49713756963951
candidateC_s10_speed_p160_x0_y0,candidateC,28.89427721085234
candidateC_s110_speed_p160_x0_y0,candidateC,28.075405597796635
candidateC_s111_speed_p160_x0_y0,candidateC,26.94272969891433
candidateC_s112_speed_p160_x0_y0,candidateC,26.58580217731649
candidateC_s113_speed_p160_x0_y0,candidateC,25.161132559502477
candidateC_s114_speed_p160_x0_y0,candidateC,23.717295190653527
candidateC_s115_speed_p160_x0_y0,candidateC,24.908479322050436
candidateC_s116_speed_p160_x0_y0,candidateC,25.00823464549098
candidateC_s117_speed_p160_x0_y0,candidateC,26.58311627582381
candidateC_s118_speed_p160_x0_y0,candidateC,27.822672840135557
candidateC_s119_speed_p160_x0_y0,candidateC,27.35972553114532
candidateC_s11_speed_p160_x0_y0,candidateC,28.373258138737864
candidateC_s120_speed_p160_x0_y0,candidateC,26.704302274914717
candidateC_s121_speed_p160_x0_y0,candidateC,27.705731973422758
candidateC_s122_speed_p160_x0_y0,candidateC,26.876463678753364
candidateC_s123_speed_p160_x0_y0,candidateC,26.996843682947205
candidateC_s124_speed_p160_x0_y0,candidateC,27.15055172064657
candidateC_s125_speed_p160_x0_y0,candidateC,27.01075502180753
candidateC_s126_speed_p160_x0_y0,candidateC,26.89955841226989
candidateC_s127_speed_p160_x0_y0,candidateC,28.84003810987642
candidateC_s128_speed_p160_x0_y0,candidateC,28.073425458062
candidateC_s129_speed_p160_x0_y0,candidateC,29.36503144902886
candidateC_s12_speed_p160_x0_y0,candidateC,29.352720659391466
candidateC_s130_speed_p160_x0_y0,candidateC,29.80727842062163
candidateC_s131_speed_p160_x0_y0,candidateC,32.37131860237563
candidateC_s132_speed_p160_x0_y0,candidateC,33.52990405945274
candidateC_s133_speed_p160_x0_y0,candidateC,34.14344907844102
candidateC_s134_speed_p160_x0_y0,candidateC,31.529026406124807
candidateC_s135_speed_p160_x0_y0,candidateC,29.135856458855326
candidateC_s136_speed_p160_x0_y0,candidateC,27.44439164589457
candidateC_s137_speed_p160_x0_y0,candidateC,26.38485380741087
candidateC_s138_speed_p160_x0_y0,candidateC,25.500002066739047
candidateC_s139_speed_p160_x0_y0,candidateC,24.74349282325091
candidateC_s13_speed_p160_x0_y0,candidateC,28.716058453580494
candidateC_s140_speed_p160_x0_y0,candidateC,26.129965712889216
candidateC_s141_speed_p160_x0_y0,candidateC,30.233797436830592
candidateC_s142_speed_p160_x0_y0,candidateC,32.74959979109763
candidateC_s143_speed_p160_x0_y0,candidateC,31.984634273843795
candidateC_s144_speed_p160_x0_y0,candidateC,31.5846701052378
candidateC_s145_speed_p160_x0_y0,candidateC,30.502240101904604
candidateC_s146_speed_p160_x0_y0,candidateC,29.668574915851583
candidateC_s147_speed_p160_x0_y0,candidateC,27.760950754862193
candidateC_s148_speed_p160_x0_y0,candidateC,27.157690269139547
candidateC_s149_speed_p160_x0_y0,candidateC,26.346082413773136
candidateC_s14_speed_p160_x0_y0,candidateC,27.641626114954256
candidateC_s150_speed_p160_x0_y0,candidateC,24.86817146708443
candidateC_s151_speed_p160_x0_y0,candidateC,24.99491777081763
candidateC_s152_speed_p160_x0_y0,candidateC,24.975406189018166
candidateC_s153_speed_p160_x0_y0,candidateC,24.77814781615235
candidateC_s154_speed_p160_x0_y0,candidateC,24.58961480971409
candidateC_s155_speed_p160_x0_y0,candidateC,24.846270964315764
candidateC_s156_speed_p160_x0_y0,candidateC,25.177803825752505
candidateC_s157_speed_p160_x0_y0,candidateC,26.570679381901844
candidateC_s158_speed_p160_x0_y0,candidateC,28.562173756617835
candidateC_s159_speed_p160_x0_y0,candidateC,25.94327934961392
candidateC_s15_speed_p160_x0_y0,candidateC,25.57557895088821
candidateC_s160_speed_p160_x0_y0,candidateC,23.3741964485995
candidateC_s161_speed_p160_x0_y0,candidateC,21.730855099748606
candidateC_s162_speed_p160_x0_y0,candidateC,21.445746766164863
