key,method,pd_distance
candidateD_s0_speed_p160_x0_y0,candidateD,24.683676119567686
candidateD_s100_speed_p160_x0_y0,candidateD,31.388199852379863
candidateD_s101_speed_p160_x0_y0,candidateD,30.624288989654467
candidateD_s102_speed_p160_x0_y0,candidateD,29.461217508148987
candidateD_s103_speed_p160_x0_y0,candidateD,29.77834363494502
candidateD_s104_speed_p160_x0_y0,candidateD,29.40886784406181
candidateD_s105_speed_p160_x0_y0,candidateD,29.58547305093652
candidateD_s106_speed_p160_x0_y0,candidateD,30.250234638587145
candidateD_s107_speed_p160_x0_y0,candidateD,29.7817944925173
candidateD_s108_speed_p160_x0_y0,candidateD,29.127502658225698
candidateD_s109_speed_p160_x0_y0,candidateD,29.102238176616535
candidateD_s10_speed_p160_x0_y0,candidateD,30.47240511186248
candidateD_s110_speed_p160_x0_y0,candidateD,29.626208356245282
candidateD_s111_speed_p160_x0_y0,candidateD,28.302984026496482
candidateD_s112_speed_p160_x0_y0,candidateD,27.702485233834498
candidateD_s113_speed_p160_x0_y0,candidateD,26.22320476083456
candidateD_s114_speed_p160_x0_y0,candidateD,24.756100413311902
candidateD_s115_speed_p160_x0_y0,candidateD,25.482488206747124
candidateD_s116_speed_p160_x0_y0,candidateD,25.34002999372419
candidateD_s117_speed_p160_x0_y0,candidateD,27.3961422319389
candidateD_s118_speed_p160_x0_y0,candidateD,28.287528153366956
candidateD_s119_speed_p160_x0_y0,candidateD,27.493727287927513
candidateD_s11_speed_p160_x0_y0,candidateD,29.645172112987904
candidateD_s120_speed_p160_x0_y0,candidateD,28.38366964413251
candidateD_s121_speed_p160_x0_y0,candidateD,29.33316583946583
candidateD_s122_speed_p160_x0_y0,candidateD,28.205828282390396
candidateD_s123_speed_p160_x0_y0,candidateD,29.356296664259194
candidateD_s124_speed_p160_x0_y0,candidateD,28.554149912386013
candidateD_s125_speed_p160_x0_y0,candidateD,28.88561766864233
candidateD_s126_speed_p160_x0_y0,candidateD,28.49348550064688
candidateD_s127_speed_p160_x0_y0,candidateD,30.528324249738446
candidateD_s128_speed_p160_x0_y0,candidateD,29.203626115390442
candidateD_s129_speed_p160_x0_y0,candidateD,30.571620255134047
candidateD_s12_speed_p160_x0_y0,candidateD,31.126058913726784
candidateD_s130_speed_p160_x0_y0,candidateD,31.168854641061355
candidateD_s131_speed_p160_x0_y0,candidateD,33.93648499484935
candidateD_s132_speed_p160_x0_y0,candidateD,35.037342165795934
candidateD_s133_speed_p160_x0_y0,candidateD,35.50707705098488
candidateD_s134_speed_p160_x0_y0,candidateD,33.43201174243943
candidateD_s135_speed_p160_x0_y0,candidateD,31.04845450512067
candidateD_s136_speed_p160_x0_y0,candidateD,28.789865149450364
candidateD_s137_speed_p160_x0_y0,candidateD,27.737875375497296
candidateD_s138_speed_p160_x0_y0,candidateD,27.051359372858492
candidateD_s139_speed_p160_x0_y0,candidateD,26.36047089329485
candidateD_s13_speed_p160_x0_y0,candidateD,30.018923304864412
candidateD_s140_speed_p160_x0_y0,candidateD,27.8818182858136
candidateD_s141_speed_p160_x0_y0,candidateD,31.130429021564556
candidateD_s142_speed_p160_x0_y0,candidateD,32.992328958327576
candidateD_s143_speed_p160_x0_y0,candidateD,32.596004786907464
candidateD_s144_speed_p160_x0_y0,candidateD,33.16717651558405
candidateD_s145_speed_p160_x0_y0,candidateD,31.735252866881204
candidateD_s146_speed_p160_x0_y0,candidateD,30.69585214493906
candidateD_s147_speed_p160_x0_y0,candidateD,28.278052100411355
candidateD_s148_speed_p160_x0_y0,candidateD,27.704577483283792
candidateD_s149_speed_p160_x0_y0,candidateD,26.532998452651093
candidateD_s14_speed_p160_x0_y0,candidateD,29.054080433402845
candidateD_s150_speed_p160_x0_y0,candidateD,25.27305855735559
candidateD_s151_speed_p160_x0_y0,candidateD,25.152184264245495
candidateD_s152_speed_p160_x0_y0,candidateD,25.367746052698113
candidateD_s153_speed_p160_x0_y0,candidateD,25.673673313707884
candidateD_s154_speed_p160_x0_y0,candidateD,25.539388767117153
candidateD_s155_speed_p160_x0_y0,candidateD,26.248831428274258
candidateD_s156_speed_p160_x0_y0,candidateD,25.29659753528589
candidateD_s157_speed_p160_x0_y0,candidateD,25.892498480391875
candidateD_s158_speed_p160_x0_y0,candidateD,27.4553785564508
candidateD_s159_speed_p160_x0_y0,candidateD,24.64474085474954
candidateD_s15_speed_p160_x0_y0,candidateD,27.15264144617979
candidateD_s160_speed_p160_x0_y0,candidateD,21.59640904925632
candidateD_s161_speed_p160_x0_y0,candidateD,19.948195591147787
candidateD_s162_speed_p160_x0_y0,candidateD,18.274990380390033
candidateD_s163_speed_p160_x0_y0,candidateD,19.26415052356629
candidateD_s164_speed_p160_x0_y0,candidateD,21.863973909522105
candidateD_s165_speed_p160_x0_y0,candidateD,23.28420006349813
candidateD_s166_speed_p160_x0_y0,candidateD,24.331340857390746
candidateD_s167_speed_p160_x0_y0,candidateD,24.011005434332045
candidateD_s16_speed_p160_x0_y0,candidateD,24.336207554963806
candidateD_s17_speed_p160_x0_y0,candidateD,21.561953888748825
candidateD_s18_speed_p160_x0_y0,candidateD,21.194063610024017
candidateD_s19_speed_p160_x0_y0,candidateD,21.66998695928854
candidateD_s1_speed_p160_x0_y0,candidateD,25.013869556598475
candidateD_s20_speed_p160_x0_y0,candidateD,22.79511012798918
candidateD_s21_speed_p160_x0_y0,candidateD,28.033612888543633
candidateD_s22_speed_p160_x0_y0,candidateD,33.8995923102004
candidateD_s23_speed_p160_x0_y0,candidateD,36.128303269345096
candidateD_s24_speed_p160_x0_y0,candidateD,37.017541996581315
candidateD_s25_speed_p160_x0_y0,candidateD,38.06496219681081
candidateD_s26_speed_p160_x0_y0,candidateD,37.28768970968761
candidateD_s27_speed_p160_x0_y0,candidateD,38.546975988071054
candidateD_s28_speed_p160_x0_y0,candidateD,40.42102214958224
candidateD_s29_speed_p160_x0_y0,candidateD,40.67705102469784
candidateD_s2_speed_p160_x0_y0,candidateD,25.625421846009573
candidateD_s30_speed_p160_x0_y0,candidateD,41.34801210659558
candidateD_s31_speed_p160_x0_y0,candidateD,40.324656644795546
candidateD_s32_speed_p160_x0_y0,candidateD,39.65670968523376
