sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateDpd_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateDpd_expanded672,pd_winner_before,pd_winner_after_candidateDpd_expanded672,mt_winner_before,mt_winner_after_candidateDpd_expanded672,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,26.666529560233784,5.051645278930664,9.748218536376953,4.804713249206543,gan,gan,cnn,candidateDpd_expanded672,0
1,1,24.612518312283534,22.38874396250744,27.199775833907864,4.678010940551758,11.978342056274414,5.912221431732178,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,27.452083035047494,4.894824504852295,8.343221664428711,4.980316162109375,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,27.968919037346232,4.794641017913818,9.753995895385742,5.464405059814453,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,27.708096972154433,4.892229080200195,8.064751625061035,5.136021137237549,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,29.30090129760922,5.628478050231934,6.406379699707031,4.940623760223389,gan,gan,cnn,candidateDpd_expanded672,0
6,6,28.068979766562435,24.045087776300683,29.882078653392675,6.144000053405762,6.0106329917907715,7.656750202178955,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,30.802761801711558,5.672351837158203,7.113770008087158,5.756718635559082,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,30.8505226878246,7.50956392288208,6.055016040802002,7.913834571838379,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,29.91158559965135,5.768454551696777,6.291722297668457,5.991115570068359,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,30.858865427505354,6.634506702423096,7.423793315887451,7.05263090133667,gan,gan,cnn,cnn,0
11,11,28.68732565326105,24.969867761946066,30.100621457411876,5.910721302032471,7.831723690032959,6.434135913848877,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,31.489942343391363,6.61636209487915,5.913707256317139,7.009599685668945,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.48861839111176,6.0738348960876465,7.402252674102783,6.679831027984619,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.563098759906453,5.448930263519287,5.877835750579834,5.895854949951172,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,27.497804686690518,5.097294807434082,5.86716890335083,5.42793607711792,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.624581415359515,5.464188098907471,5.255205154418945,6.081127166748047,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,21.822812166218604,5.2896833419799805,4.8487091064453125,5.459958553314209,gan,gan,gan,gan,1
