key,method,pd_distance
candidateDpd_expanded672_s0_speed_p160_x0_y0,candidateDpd_expanded672,26.666529560233784
candidateDpd_expanded672_s100_speed_p160_x0_y0,candidateDpd_expanded672,32.29668445739447
candidateDpd_expanded672_s101_speed_p160_x0_y0,candidateDpd_expanded672,31.60198180816144
candidateDpd_expanded672_s102_speed_p160_x0_y0,candidateDpd_expanded672,30.37843096436391
candidateDpd_expanded672_s103_speed_p160_x0_y0,candidateDpd_expanded672,30.716774964720038
candidateDpd_expanded672_s104_speed_p160_x0_y0,candidateDpd_expanded672,30.17101225499294
candidateDpd_expanded672_s105_speed_p160_x0_y0,candidateDpd_expanded672,30.184332056133705
candidateDpd_expanded672_s106_speed_p160_x0_y0,candidateDpd_expanded672,30.8931416582941
candidateDpd_expanded672_s107_speed_p160_x0_y0,candidateDpd_expanded672,30.45720337678478
candidateDpd_expanded672_s108_speed_p160_x0_y0,candidateDpd_expanded672,29.641213553290534
candidateDpd_expanded672_s109_speed_p160_x0_y0,candidateDpd_expanded672,29.781528363636824
candidateDpd_expanded672_s10_speed_p160_x0_y0,candidateDpd_expanded672,30.858865427505354
candidateDpd_expanded672_s110_speed_p160_x0_y0,candidateDpd_expanded672,30.247635631655207
candidateDpd_expanded672_s111_speed_p160_x0_y0,candidateDpd_expanded672,28.96692467104607
candidateDpd_expanded672_s112_speed_p160_x0_y0,candidateDpd_expanded672,28.47912782336571
candidateDpd_expanded672_s113_speed_p160_x0_y0,candidateDpd_expanded672,27.11303651972489
candidateDpd_expanded672_s114_speed_p160_x0_y0,candidateDpd_expanded672,25.660177917946513
candidateDpd_expanded672_s115_speed_p160_x0_y0,candidateDpd_expanded672,26.500005561855748
candidateDpd_expanded672_s116_speed_p160_x0_y0,candidateDpd_expanded672,26.526291358222714
candidateDpd_expanded672_s117_speed_p160_x0_y0,candidateDpd_expanded672,28.717912633816727
candidateDpd_expanded672_s118_speed_p160_x0_y0,candidateDpd_expanded672,29.949877601348017
candidateDpd_expanded672_s119_speed_p160_x0_y0,candidateDpd_expanded672,29.093085701526142
candidateDpd_expanded672_s11_speed_p160_x0_y0,candidateDpd_expanded672,30.100621457411876
candidateDpd_expanded672_s120_speed_p160_x0_y0,candidateDpd_expanded672,29.52245535016481
candidateDpd_expanded672_s121_speed_p160_x0_y0,candidateDpd_expanded672,30.315612151172285
candidateDpd_expanded672_s122_speed_p160_x0_y0,candidateDpd_expanded672,29.171533262927067
