key,method,pd_distance,mt_distance,error
candidateDpd_expanded672_s0_speed_p160_x0_y0,candidateDpd_expanded672,26.666529560233784,4.804713249206543,
candidateDpd_expanded672_s100_speed_p160_x0_y0,candidateDpd_expanded672,32.29668445739447,6.419517517089844,
candidateDpd_expanded672_s101_speed_p160_x0_y0,candidateDpd_expanded672,31.60198180816144,5.800354480743408,
candidateDpd_expanded672_s102_speed_p160_x0_y0,candidateDpd_expanded672,30.37843096436391,5.216141223907471,
candidateDpd_expanded672_s103_speed_p160_x0_y0,candidateDpd_expanded672,30.716774964720038,5.400722980499268,
candidateDpd_expanded672_s104_speed_p160_x0_y0,candidateDpd_expanded672,30.17101225499294,5.006143569946289,
candidateDpd_expanded672_s105_speed_p160_x0_y0,candidateDpd_expanded672,30.184332056133705,5.289511203765869,
candidateDpd_expanded672_s106_speed_p160_x0_y0,candidateDpd_expanded672,30.8931416582941,6.010871887207031,
candidateDpd_expanded672_s107_speed_p160_x0_y0,candidateDpd_expanded672,30.45720337678478,5.616254806518555,
candidateDpd_expanded672_s108_speed_p160_x0_y0,candidateDpd_expanded672,29.641213553290534,5.794633865356445,
candidateDpd_expanded672_s109_speed_p160_x0_y0,candidateDpd_expanded672,29.781528363636824,5.397735595703125,
candidateDpd_expanded672_s10_speed_p160_x0_y0,candidateDpd_expanded672,30.858865427505354,7.05263090133667,
candidateDpd_expanded672_s110_speed_p160_x0_y0,candidateDpd_expanded672,30.247635631655207,6.0661091804504395,
candidateDpd_expanded672_s111_speed_p160_x0_y0,candidateDpd_expanded672,28.96692467104607,5.702212333679199,
candidateDpd_expanded672_s112_speed_p160_x0_y0,candidateDpd_expanded672,28.47912782336571,5.587779521942139,
candidateDpd_expanded672_s113_speed_p160_x0_y0,candidateDpd_expanded672,27.11303651972489,5.511675834655762,
candidateDpd_expanded672_s114_speed_p160_x0_y0,candidateDpd_expanded672,25.660177917946513,5.10959005355835,
candidateDpd_expanded672_s115_speed_p160_x0_y0,candidateDpd_expanded672,26.500005561855748,4.776047229766846,
candidateDpd_expanded672_s116_speed_p160_x0_y0,candidateDpd_expanded672,26.526291358222714,5.548544406890869,
candidateDpd_expanded672_s117_speed_p160_x0_y0,candidateDpd_expanded672,28.717912633816727,5.498927593231201,
candidateDpd_expanded672_s118_speed_p160_x0_y0,candidateDpd_expanded672,29.949877601348017,7.072665691375732,
candidateDpd_expanded672_s119_speed_p160_x0_y0,candidateDpd_expanded672,29.093085701526142,5.326563835144043,
candidateDpd_expanded672_s11_speed_p160_x0_y0,candidateDpd_expanded672,30.100621457411876,6.434135913848877,
candidateDpd_expanded672_s120_speed_p160_x0_y0,candidateDpd_expanded672,29.52245535016481,5.272160530090332,
candidateDpd_expanded672_s121_speed_p160_x0_y0,candidateDpd_expanded672,30.315612151172285,5.504561424255371,
