sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_fixed_lowlambda_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_fixed_lowlambda_expanded1344,pd_winner_before,pd_winner_after_candidateE2_fixed_lowlambda_expanded1344,mt_winner_before,mt_winner_after_candidateE2_fixed_lowlambda_expanded1344,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,25.265197994301687,5.051645278930664,9.748218536376953,4.76689338684082,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
1,1,24.612518312283534,22.38874396250744,25.44909444753661,4.678010940551758,11.978342056274414,5.205541133880615,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,25.842694513739886,4.894824504852295,8.343221664428711,5.127291202545166,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,25.840835344995057,4.794641017913818,9.753995895385742,4.823139190673828,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,25.403334027922842,4.892229080200195,8.064751625061035,4.716151237487793,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
5,5,27.01852197077857,22.503507148952195,27.4707040946042,5.628478050231934,6.406379699707031,5.999966144561768,gan,gan,cnn,cnn,0
6,6,28.068979766562435,24.045087776300683,28.006771148507504,6.144000053405762,6.0106329917907715,5.96396541595459,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
7,7,29.26973016135952,22.553824952557566,29.0668257832744,5.672351837158203,7.113770008087158,5.707096576690674,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,29.113989952646865,7.50956392288208,6.055016040802002,7.486715316772461,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,27.866822356274614,5.768454551696777,6.291722297668457,5.817264556884766,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,28.82551976747088,6.634506702423096,7.423793315887451,5.985971927642822,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
11,11,28.68732565326105,24.969867761946066,27.55900592242845,5.910721302032471,7.831723690032959,6.733059406280518,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,29.13441993633022,6.61636209487915,5.913707256317139,6.347291469573975,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,28.097445409925413,6.0738348960876465,7.402252674102783,6.1039581298828125,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,27.063258380721756,5.448930263519287,5.877835750579834,5.3529953956604,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
15,15,26.322356943691645,19.148010639364745,25.159109946313123,5.097294807434082,5.86716890335083,5.018177032470703,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
16,16,23.755960973590362,17.324485324726012,22.623824132131045,5.464188098907471,5.255205154418945,5.058727741241455,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
17,17,20.900376556174706,17.11808749868573,19.579927258579584,5.2896833419799805,4.8487091064453125,5.150191307067871,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,19.107961846315526,6.258571624755859,5.554356575012207,5.579245090484619,gan,gan,gan,gan,1
19,19,21.064082150885508,19.086676411603058,19.572445631534624,6.927988529205322,5.44291353225708,6.222896575927734,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,20.26959022729439,6.254051208496094,5.689126491546631,5.484291076660156,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
21,21,27.30086406645334,21.732522780594586,25.4531180094501,8.127616882324219,10.817054748535156,7.680613994598389,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
22,22,32.693467082501115,26.801086541907566,30.87039019836178,8.081520080566406,8.346701622009277,7.900885105133057,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
23,23,34.476953302920876,29.144574221491347,32.78693158655075,6.907674789428711,8.497876167297363,6.493549823760986,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
24,24,35.75728371567695,29.65320138308241,33.94852363991508,7.21915864944458,12.067601203918457,6.686635971069336,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
25,25,36.58411526021696,30.123491475362258,35.058163073535155,11.371563911437988,10.501462936401367,9.986129760742188,gan,gan,gan,candidateE2_fixed_lowlambda_expanded1344,1
26,26,35.02599363200026,30.779316467464,33.68275243548308,7.043282985687256,11.28821849822998,7.54516077041626,gan,gan,cnn,cnn,0
