key,method,pd_distance
candidateE2_fixed_lowlambda_expanded1344_s0_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,25.265197994301687
candidateE2_fixed_lowlambda_expanded1344_s100_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,30.805484953353385
candidateE2_fixed_lowlambda_expanded1344_s101_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,30.145216715679684
candidateE2_fixed_lowlambda_expanded1344_s102_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.987981514063854
candidateE2_fixed_lowlambda_expanded1344_s103_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,29.251710660950334
candidateE2_fixed_lowlambda_expanded1344_s104_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.91988419990338
candidateE2_fixed_lowlambda_expanded1344_s105_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,29.08557742276155
candidateE2_fixed_lowlambda_expanded1344_s106_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,29.66432982949424
candidateE2_fixed_lowlambda_expanded1344_s107_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,29.231786786298894
candidateE2_fixed_lowlambda_expanded1344_s108_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.548996832083795
candidateE2_fixed_lowlambda_expanded1344_s109_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.545600592096665
candidateE2_fixed_lowlambda_expanded1344_s10_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.82551976747088
candidateE2_fixed_lowlambda_expanded1344_s110_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,29.05149808755102
candidateE2_fixed_lowlambda_expanded1344_s111_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,27.902617931206464
candidateE2_fixed_lowlambda_expanded1344_s112_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,27.300021517876317
candidateE2_fixed_lowlambda_expanded1344_s113_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,25.831158376280214
candidateE2_fixed_lowlambda_expanded1344_s114_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,24.27604580664155
candidateE2_fixed_lowlambda_expanded1344_s115_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,25.103016504702587
candidateE2_fixed_lowlambda_expanded1344_s116_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,24.945456265525852
candidateE2_fixed_lowlambda_expanded1344_s117_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,26.97469953131072
candidateE2_fixed_lowlambda_expanded1344_s118_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,27.723504167246187
candidateE2_fixed_lowlambda_expanded1344_s119_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,26.981946146211968
candidateE2_fixed_lowlambda_expanded1344_s11_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,27.55900592242845
candidateE2_fixed_lowlambda_expanded1344_s120_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,27.759359738597446
candidateE2_fixed_lowlambda_expanded1344_s121_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.692119405113612
candidateE2_fixed_lowlambda_expanded1344_s122_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,27.440130910056535
candidateE2_fixed_lowlambda_expanded1344_s123_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.559905923037682
candidateE2_fixed_lowlambda_expanded1344_s124_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,27.589396039001876
candidateE2_fixed_lowlambda_expanded1344_s125_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,27.746503435881497
candidateE2_fixed_lowlambda_expanded1344_s126_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,27.00278280667355
candidateE2_fixed_lowlambda_expanded1344_s127_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,29.01631741190346
candidateE2_fixed_lowlambda_expanded1344_s128_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,27.305766848542582
candidateE2_fixed_lowlambda_expanded1344_s129_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.353177876351307
candidateE2_fixed_lowlambda_expanded1344_s12_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,29.13441993633022
candidateE2_fixed_lowlambda_expanded1344_s130_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,29.00497136799248
candidateE2_fixed_lowlambda_expanded1344_s131_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,31.714425017927997
candidateE2_fixed_lowlambda_expanded1344_s132_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,32.81127339998342
candidateE2_fixed_lowlambda_expanded1344_s133_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,33.342780662228094
candidateE2_fixed_lowlambda_expanded1344_s134_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,31.208464133590358
candidateE2_fixed_lowlambda_expanded1344_s135_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.453120340378693
candidateE2_fixed_lowlambda_expanded1344_s136_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,26.3814245136509
candidateE2_fixed_lowlambda_expanded1344_s137_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,25.361195746401425
candidateE2_fixed_lowlambda_expanded1344_s138_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,24.831879883440685
candidateE2_fixed_lowlambda_expanded1344_s139_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,24.558108404424484
candidateE2_fixed_lowlambda_expanded1344_s13_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.097445409925413
candidateE2_fixed_lowlambda_expanded1344_s140_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,25.794902018151337
candidateE2_fixed_lowlambda_expanded1344_s141_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,28.705254632376587
candidateE2_fixed_lowlambda_expanded1344_s142_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,29.82628007782457
candidateE2_fixed_lowlambda_expanded1344_s143_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,30.2261043737977
candidateE2_fixed_lowlambda_expanded1344_s144_speed_p160_x0_y0,candidateE2_fixed_lowlambda_expanded1344,30.421585316879202
