sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_fixed_lowlambda,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_fixed_lowlambda,pd_winner_before,pd_winner_after_candidateE2_fixed_lowlambda,mt_winner_before,mt_winner_after_candidateE2_fixed_lowlambda,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,25.1497576971239,5.051645278930664,9.748218536376953,4.796483993530273,gan,gan,cnn,candidateE2_fixed_lowlambda,0
1,1,24.612518312283534,22.38874396250744,25.45412264676754,4.678010940551758,11.978342056274414,4.83849573135376,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,25.868834078459507,4.894824504852295,8.343221664428711,4.953780174255371,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,25.781087065791564,4.794641017913818,9.753995895385742,5.001128673553467,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,25.428056241362256,4.892229080200195,8.064751625061035,4.883843898773193,gan,gan,cnn,candidateE2_fixed_lowlambda,0
5,5,27.01852197077857,22.503507148952195,27.53949844839806,5.628478050231934,6.406379699707031,5.6374969482421875,gan,gan,cnn,cnn,0
6,6,28.068979766562435,24.045087776300683,28.16610412643248,6.144000053405762,6.0106329917907715,6.142038822174072,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,29.11214917327936,5.672351837158203,7.113770008087158,5.63045072555542,gan,gan,cnn,candidateE2_fixed_lowlambda,0
8,8,29.63505050414828,23.282081530392528,29.165740583458774,7.50956392288208,6.055016040802002,7.474020481109619,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,27.839104710734166,5.768454551696777,6.291722297668457,5.81215238571167,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,28.84503779169136,6.634506702423096,7.423793315887451,6.2341508865356445,gan,gan,cnn,candidateE2_fixed_lowlambda,0
11,11,28.68732565326105,24.969867761946066,27.62041682286592,5.910721302032471,7.831723690032959,5.879298210144043,gan,gan,cnn,candidateE2_fixed_lowlambda,0
12,12,30.104522332856273,24.220613253945245,29.135719719396928,6.61636209487915,5.913707256317139,6.274924278259277,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,28.247194651229936,6.0738348960876465,7.402252674102783,6.203000545501709,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,27.13868638247914,5.448930263519287,5.877835750579834,5.3375115394592285,gan,gan,cnn,candidateE2_fixed_lowlambda,0
15,15,26.322356943691645,19.148010639364745,25.431317409590278,5.097294807434082,5.86716890335083,5.282535552978516,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,22.881450715903526,5.464188098907471,5.255205154418945,5.2625651359558105,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,19.915015310402573,5.2896833419799805,4.8487091064453125,5.279658317565918,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,19.47124370179223,6.258571624755859,5.554356575012207,5.913639068603516,gan,gan,gan,gan,1
19,19,21.064082150885508,19.086676411603058,20.06396228070358,6.927988529205322,5.44291353225708,6.534782886505127,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,20.70035283597388,6.254051208496094,5.689126491546631,5.770816802978516,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,26.01371700375225,8.127616882324219,10.817054748535156,7.647627830505371,gan,gan,cnn,candidateE2_fixed_lowlambda,0
22,22,32.693467082501115,26.801086541907566,31.09129488865632,8.081520080566406,8.346701622009277,7.647660255432129,gan,gan,cnn,candidateE2_fixed_lowlambda,0
23,23,34.476953302920876,29.144574221491347,33.191598123109095,6.907674789428711,8.497876167297363,6.513506889343262,gan,gan,cnn,candidateE2_fixed_lowlambda,0
24,24,35.75728371567695,29.65320138308241,34.38986530819563,7.21915864944458,12.067601203918457,7.054203987121582,gan,gan,cnn,candidateE2_fixed_lowlambda,0
25,25,36.58411526021696,30.123491475362258,35.557900089091405,11.371563911437988,10.501462936401367,11.3848876953125,gan,gan,gan,gan,1
26,26,35.02599363200026,30.779316467464,33.86094358929733,7.043282985687256,11.28821849822998,7.413497447967529,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,35.88637811634211,6.4783101081848145,19.968429565429688,6.799112796783447,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,37.477606070074295,7.210402011871338,14.947399139404297,7.115838527679443,gan,gan,cnn,candidateE2_fixed_lowlambda,0
29,29,38.84347398326436,31.752977463202388,38.059222537246235,6.963974952697754,12.864243507385254,7.014967441558838,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,39.453236552991314,8.127463340759277,14.847400665283203,8.175848960876465,gan,gan,cnn,cnn,0
31,31,39.104318483733294,31.3053599336416,38.50837720290986,6.818642616271973,16.23410415649414,6.8783183097839355,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,38.030333155121546,7.461033821105957,19.229158401489258,7.490191459655762,gan,gan,cnn,cnn,0
33,33,38.39305861348763,30.400139282712473,37.606332050254814,6.76971960067749,20.00556755065918,6.843668460845947,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,36.865816894067784,6.323113918304443,19.445999145507812,6.377110004425049,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,35.55493263886223,6.2719197273254395,14.435929298400879,6.261579990386963,gan,gan,cnn,candidateE2_fixed_lowlambda,0
36,36,35.61901723291445,27.743736665197815,35.16470937415827,6.097905158996582,9.26945686340332,6.170748233795166,gan,gan,cnn,cnn,0
