key,method,pd_distance
candidateE2_fixed_lowlambda_s0_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.1497576971239
candidateE2_fixed_lowlambda_s100_speed_p160_x0_y0,candidateE2_fixed_lowlambda,31.058619218137157
candidateE2_fixed_lowlambda_s101_speed_p160_x0_y0,candidateE2_fixed_lowlambda,30.286804556915527
candidateE2_fixed_lowlambda_s102_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.261797937948764
candidateE2_fixed_lowlambda_s103_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.46861986421875
candidateE2_fixed_lowlambda_s104_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.105469911713556
candidateE2_fixed_lowlambda_s105_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.18944150022855
candidateE2_fixed_lowlambda_s106_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.960393484910014
candidateE2_fixed_lowlambda_s107_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.55574456867034
candidateE2_fixed_lowlambda_s108_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.77749817679805
candidateE2_fixed_lowlambda_s109_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.75174209417413
candidateE2_fixed_lowlambda_s10_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.84503779169136
candidateE2_fixed_lowlambda_s110_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.352347030288723
candidateE2_fixed_lowlambda_s111_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.084767580079134
candidateE2_fixed_lowlambda_s112_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.508028149371906
candidateE2_fixed_lowlambda_s113_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.979661829725195
candidateE2_fixed_lowlambda_s114_speed_p160_x0_y0,candidateE2_fixed_lowlambda,24.403335715251934
candidateE2_fixed_lowlambda_s115_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.33834728019399
candidateE2_fixed_lowlambda_s116_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.04216805831458
candidateE2_fixed_lowlambda_s117_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.109239880800864
candidateE2_fixed_lowlambda_s118_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.892575630502208
candidateE2_fixed_lowlambda_s119_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.227515462553097
candidateE2_fixed_lowlambda_s11_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.62041682286592
candidateE2_fixed_lowlambda_s120_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.00934112324964
candidateE2_fixed_lowlambda_s121_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.01823742855254
candidateE2_fixed_lowlambda_s122_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.780145092050972
candidateE2_fixed_lowlambda_s123_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.888423276568332
candidateE2_fixed_lowlambda_s124_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.862161293420627
candidateE2_fixed_lowlambda_s125_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.07394267702519
candidateE2_fixed_lowlambda_s126_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.363270945685937
candidateE2_fixed_lowlambda_s127_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.32594178043439
candidateE2_fixed_lowlambda_s128_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.56649989998915
candidateE2_fixed_lowlambda_s129_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.46804138378165
candidateE2_fixed_lowlambda_s12_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.135719719396928
candidateE2_fixed_lowlambda_s130_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.045135097921605
candidateE2_fixed_lowlambda_s131_speed_p160_x0_y0,candidateE2_fixed_lowlambda,31.84042680730574
candidateE2_fixed_lowlambda_s132_speed_p160_x0_y0,candidateE2_fixed_lowlambda,32.90724603497218
candidateE2_fixed_lowlambda_s133_speed_p160_x0_y0,candidateE2_fixed_lowlambda,32.928055028505796
candidateE2_fixed_lowlambda_s134_speed_p160_x0_y0,candidateE2_fixed_lowlambda,31.211127149384954
candidateE2_fixed_lowlambda_s135_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.651641726847995
candidateE2_fixed_lowlambda_s136_speed_p160_x0_y0,candidateE2_fixed_lowlambda,26.688539708397453
candidateE2_fixed_lowlambda_s137_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.5968999553511
candidateE2_fixed_lowlambda_s138_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.18351154139035
candidateE2_fixed_lowlambda_s139_speed_p160_x0_y0,candidateE2_fixed_lowlambda,24.82691556565221
candidateE2_fixed_lowlambda_s13_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.247194651229936
candidateE2_fixed_lowlambda_s140_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.99059384976727
candidateE2_fixed_lowlambda_s141_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.900364721164664
candidateE2_fixed_lowlambda_s142_speed_p160_x0_y0,candidateE2_fixed_lowlambda,30.20134237994261
candidateE2_fixed_lowlambda_s143_speed_p160_x0_y0,candidateE2_fixed_lowlambda,30.36848264631796
candidateE2_fixed_lowlambda_s144_speed_p160_x0_y0,candidateE2_fixed_lowlambda,30.62402438033972
candidateE2_fixed_lowlambda_s145_speed_p160_x0_y0,candidateE2_fixed_lowlambda,29.326576092969418
candidateE2_fixed_lowlambda_s146_speed_p160_x0_y0,candidateE2_fixed_lowlambda,28.2806769785549
candidateE2_fixed_lowlambda_s147_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.824112399166946
candidateE2_fixed_lowlambda_s148_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.866309375460634
candidateE2_fixed_lowlambda_s149_speed_p160_x0_y0,candidateE2_fixed_lowlambda,24.74999782438794
candidateE2_fixed_lowlambda_s14_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.13868638247914
candidateE2_fixed_lowlambda_s150_speed_p160_x0_y0,candidateE2_fixed_lowlambda,23.89621175642928
candidateE2_fixed_lowlambda_s151_speed_p160_x0_y0,candidateE2_fixed_lowlambda,24.18481478319742
candidateE2_fixed_lowlambda_s152_speed_p160_x0_y0,candidateE2_fixed_lowlambda,24.515867878229443
candidateE2_fixed_lowlambda_s153_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.18378515317628
candidateE2_fixed_lowlambda_s154_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.345394860666513
candidateE2_fixed_lowlambda_s155_speed_p160_x0_y0,candidateE2_fixed_lowlambda,26.27498431471096
candidateE2_fixed_lowlambda_s156_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.4473441427022
candidateE2_fixed_lowlambda_s157_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.9810877748274
candidateE2_fixed_lowlambda_s158_speed_p160_x0_y0,candidateE2_fixed_lowlambda,27.6172382046357
candidateE2_fixed_lowlambda_s159_speed_p160_x0_y0,candidateE2_fixed_lowlambda,24.70412938567045
candidateE2_fixed_lowlambda_s15_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.431317409590278
candidateE2_fixed_lowlambda_s160_speed_p160_x0_y0,candidateE2_fixed_lowlambda,22.06307082273669
candidateE2_fixed_lowlambda_s161_speed_p160_x0_y0,candidateE2_fixed_lowlambda,20.10231099226616
candidateE2_fixed_lowlambda_s162_speed_p160_x0_y0,candidateE2_fixed_lowlambda,18.70866877957675
candidateE2_fixed_lowlambda_s163_speed_p160_x0_y0,candidateE2_fixed_lowlambda,19.80559261680338
candidateE2_fixed_lowlambda_s164_speed_p160_x0_y0,candidateE2_fixed_lowlambda,22.268936982183913
candidateE2_fixed_lowlambda_s165_speed_p160_x0_y0,candidateE2_fixed_lowlambda,23.863400739232414
candidateE2_fixed_lowlambda_s166_speed_p160_x0_y0,candidateE2_fixed_lowlambda,24.829786229250903
candidateE2_fixed_lowlambda_s167_speed_p160_x0_y0,candidateE2_fixed_lowlambda,24.661309752848624
candidateE2_fixed_lowlambda_s16_speed_p160_x0_y0,candidateE2_fixed_lowlambda,22.881450715903526
candidateE2_fixed_lowlambda_s17_speed_p160_x0_y0,candidateE2_fixed_lowlambda,19.915015310402573
candidateE2_fixed_lowlambda_s18_speed_p160_x0_y0,candidateE2_fixed_lowlambda,19.47124370179223
candidateE2_fixed_lowlambda_s19_speed_p160_x0_y0,candidateE2_fixed_lowlambda,20.06396228070358
candidateE2_fixed_lowlambda_s1_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.45412264676754
candidateE2_fixed_lowlambda_s20_speed_p160_x0_y0,candidateE2_fixed_lowlambda,20.70035283597388
candidateE2_fixed_lowlambda_s21_speed_p160_x0_y0,candidateE2_fixed_lowlambda,26.01371700375225
candidateE2_fixed_lowlambda_s22_speed_p160_x0_y0,candidateE2_fixed_lowlambda,31.09129488865632
candidateE2_fixed_lowlambda_s23_speed_p160_x0_y0,candidateE2_fixed_lowlambda,33.191598123109095
candidateE2_fixed_lowlambda_s24_speed_p160_x0_y0,candidateE2_fixed_lowlambda,34.38986530819563
candidateE2_fixed_lowlambda_s25_speed_p160_x0_y0,candidateE2_fixed_lowlambda,35.557900089091405
candidateE2_fixed_lowlambda_s26_speed_p160_x0_y0,candidateE2_fixed_lowlambda,33.86094358929733
candidateE2_fixed_lowlambda_s27_speed_p160_x0_y0,candidateE2_fixed_lowlambda,35.88637811634211
candidateE2_fixed_lowlambda_s28_speed_p160_x0_y0,candidateE2_fixed_lowlambda,37.477606070074295
candidateE2_fixed_lowlambda_s29_speed_p160_x0_y0,candidateE2_fixed_lowlambda,38.059222537246235
candidateE2_fixed_lowlambda_s2_speed_p160_x0_y0,candidateE2_fixed_lowlambda,25.868834078459507
candidateE2_fixed_lowlambda_s30_speed_p160_x0_y0,candidateE2_fixed_lowlambda,39.453236552991314
