key,method,pd_distance
candidateE2_tf_lowlambda_expanded2688_s0_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,23.429263497256304
candidateE2_tf_lowlambda_expanded2688_s100_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,27.711109968713235
candidateE2_tf_lowlambda_expanded2688_s101_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.859259519777286
candidateE2_tf_lowlambda_expanded2688_s102_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.720605896867596
candidateE2_tf_lowlambda_expanded2688_s103_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.25853611175609
candidateE2_tf_lowlambda_expanded2688_s104_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.485408908414534
candidateE2_tf_lowlambda_expanded2688_s105_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.176041004442585
candidateE2_tf_lowlambda_expanded2688_s106_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.720983810002576
candidateE2_tf_lowlambda_expanded2688_s107_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.08262477438946
candidateE2_tf_lowlambda_expanded2688_s108_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.195425515806384
candidateE2_tf_lowlambda_expanded2688_s109_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.602927171100944
candidateE2_tf_lowlambda_expanded2688_s10_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.733571378179022
candidateE2_tf_lowlambda_expanded2688_s110_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.087193373976987
candidateE2_tf_lowlambda_expanded2688_s111_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.024959530219455
candidateE2_tf_lowlambda_expanded2688_s112_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,24.792242872788858
candidateE2_tf_lowlambda_expanded2688_s113_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,23.7387892415141
candidateE2_tf_lowlambda_expanded2688_s114_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,22.02706082488524
candidateE2_tf_lowlambda_expanded2688_s115_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,22.437137857696527
candidateE2_tf_lowlambda_expanded2688_s116_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,23.699902665001783
candidateE2_tf_lowlambda_expanded2688_s117_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,24.456121194453036
candidateE2_tf_lowlambda_expanded2688_s118_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.40397967998356
candidateE2_tf_lowlambda_expanded2688_s119_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.406020480899738
candidateE2_tf_lowlambda_expanded2688_s11_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,24.602616862540337
candidateE2_tf_lowlambda_expanded2688_s120_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.00748488387023
candidateE2_tf_lowlambda_expanded2688_s121_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.95366430100408
candidateE2_tf_lowlambda_expanded2688_s122_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.333892233872035
candidateE2_tf_lowlambda_expanded2688_s123_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.080280241670902
candidateE2_tf_lowlambda_expanded2688_s124_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.266293208673677
candidateE2_tf_lowlambda_expanded2688_s125_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,24.582861400817283
candidateE2_tf_lowlambda_expanded2688_s126_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.061756237410233
candidateE2_tf_lowlambda_expanded2688_s127_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.567728663975007
candidateE2_tf_lowlambda_expanded2688_s128_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.609839365303813
candidateE2_tf_lowlambda_expanded2688_s129_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.22153818640008
candidateE2_tf_lowlambda_expanded2688_s12_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.94714899239226
candidateE2_tf_lowlambda_expanded2688_s130_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.326290435720338
candidateE2_tf_lowlambda_expanded2688_s131_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,28.92869903361115
candidateE2_tf_lowlambda_expanded2688_s132_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,30.081099827842447
candidateE2_tf_lowlambda_expanded2688_s133_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,30.171378930817355
candidateE2_tf_lowlambda_expanded2688_s134_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,27.829496674043924
candidateE2_tf_lowlambda_expanded2688_s135_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.52469331256502
candidateE2_tf_lowlambda_expanded2688_s136_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,24.107374806504907
candidateE2_tf_lowlambda_expanded2688_s137_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,23.398977716804833
candidateE2_tf_lowlambda_expanded2688_s138_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,22.89253246924823
candidateE2_tf_lowlambda_expanded2688_s139_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,22.330327619514158
candidateE2_tf_lowlambda_expanded2688_s13_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.879452548821497
candidateE2_tf_lowlambda_expanded2688_s140_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,23.78216121082391
candidateE2_tf_lowlambda_expanded2688_s141_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,27.39950940567014
candidateE2_tf_lowlambda_expanded2688_s142_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,29.969029942408348
candidateE2_tf_lowlambda_expanded2688_s143_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,28.417146655099685
candidateE2_tf_lowlambda_expanded2688_s144_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,28.058999783007568
candidateE2_tf_lowlambda_expanded2688_s145_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,26.528217144232865
candidateE2_tf_lowlambda_expanded2688_s146_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,25.865446071886126
candidateE2_tf_lowlambda_expanded2688_s147_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,24.142587181870805
candidateE2_tf_lowlambda_expanded2688_s148_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,23.449591980604076
candidateE2_tf_lowlambda_expanded2688_s149_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,22.27477008938044
candidateE2_tf_lowlambda_expanded2688_s14_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,24.67509217257692
candidateE2_tf_lowlambda_expanded2688_s150_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,21.318215039080727
candidateE2_tf_lowlambda_expanded2688_s151_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,21.23240418836862
candidateE2_tf_lowlambda_expanded2688_s152_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,20.898963092775475
candidateE2_tf_lowlambda_expanded2688_s153_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,21.282496172727093
candidateE2_tf_lowlambda_expanded2688_s154_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,20.316121527211827
candidateE2_tf_lowlambda_expanded2688_s155_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,21.438385442257935
candidateE2_tf_lowlambda_expanded2688_s156_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,21.969429620026748
candidateE2_tf_lowlambda_expanded2688_s157_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,22.83807081034989
candidateE2_tf_lowlambda_expanded2688_s158_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,24.935487317130665
candidateE2_tf_lowlambda_expanded2688_s159_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,22.207179512173834
candidateE2_tf_lowlambda_expanded2688_s15_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,22.869885706461957
candidateE2_tf_lowlambda_expanded2688_s160_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,20.010424698401334
candidateE2_tf_lowlambda_expanded2688_s161_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,18.886502310355915
candidateE2_tf_lowlambda_expanded2688_s162_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,18.82900076134865
candidateE2_tf_lowlambda_expanded2688_s163_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,19.686249778225772
candidateE2_tf_lowlambda_expanded2688_s164_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,21.021608100477557
candidateE2_tf_lowlambda_expanded2688_s165_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,22.36795579505306
candidateE2_tf_lowlambda_expanded2688_s166_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,23.32407256815972
candidateE2_tf_lowlambda_expanded2688_s167_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,23.607220056616498
candidateE2_tf_lowlambda_expanded2688_s16_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,20.72213987443465
candidateE2_tf_lowlambda_expanded2688_s17_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,18.70972381193442
candidateE2_tf_lowlambda_expanded2688_s18_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,18.083484148877275
candidateE2_tf_lowlambda_expanded2688_s19_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,17.716884339887297
candidateE2_tf_lowlambda_expanded2688_s1_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,22.765231175098496
candidateE2_tf_lowlambda_expanded2688_s20_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,19.27120800646695
candidateE2_tf_lowlambda_expanded2688_s21_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,23.34281319127231
candidateE2_tf_lowlambda_expanded2688_s22_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,28.924158069623225
candidateE2_tf_lowlambda_expanded2688_s23_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,30.588817945285133
candidateE2_tf_lowlambda_expanded2688_s24_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,31.531908800646946
candidateE2_tf_lowlambda_expanded2688_s25_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,32.31919444357942
candidateE2_tf_lowlambda_expanded2688_s26_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,30.902893172387046
candidateE2_tf_lowlambda_expanded2688_s27_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,32.57350210882947
candidateE2_tf_lowlambda_expanded2688_s28_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,33.49053397942675
candidateE2_tf_lowlambda_expanded2688_s29_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,35.15076897048553
candidateE2_tf_lowlambda_expanded2688_s2_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,23.752693420620172
candidateE2_tf_lowlambda_expanded2688_s30_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,35.553536821981695
candidateE2_tf_lowlambda_expanded2688_s31_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,35.6905668873503
candidateE2_tf_lowlambda_expanded2688_s32_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,34.28605835537424
candidateE2_tf_lowlambda_expanded2688_s33_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded2688,34.093665545301356
