key,method,mt_distance
candidateE2_tf_lowlambda_expanded672_s0_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.438521862030029
candidateE2_tf_lowlambda_expanded672_s100_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.075150966644287
candidateE2_tf_lowlambda_expanded672_s101_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.846309661865234
candidateE2_tf_lowlambda_expanded672_s102_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.659713268280029
candidateE2_tf_lowlambda_expanded672_s103_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.973668098449707
candidateE2_tf_lowlambda_expanded672_s104_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.813553333282471
candidateE2_tf_lowlambda_expanded672_s105_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.503514766693115
candidateE2_tf_lowlambda_expanded672_s106_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.281588554382324
candidateE2_tf_lowlambda_expanded672_s107_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.771369934082031
candidateE2_tf_lowlambda_expanded672_s108_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.660275459289551
candidateE2_tf_lowlambda_expanded672_s109_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.033626079559326
candidateE2_tf_lowlambda_expanded672_s10_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.876777648925781
candidateE2_tf_lowlambda_expanded672_s110_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.579740047454834
candidateE2_tf_lowlambda_expanded672_s111_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.662728309631348
candidateE2_tf_lowlambda_expanded672_s112_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.263159275054932
candidateE2_tf_lowlambda_expanded672_s113_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.341979503631592
candidateE2_tf_lowlambda_expanded672_s114_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.658288955688477
candidateE2_tf_lowlambda_expanded672_s115_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.855899810791016
candidateE2_tf_lowlambda_expanded672_s116_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.99856424331665
candidateE2_tf_lowlambda_expanded672_s117_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,6.279912948608398
candidateE2_tf_lowlambda_expanded672_s118_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,6.683266639709473
candidateE2_tf_lowlambda_expanded672_s119_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.046031951904297
candidateE2_tf_lowlambda_expanded672_s11_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.913032531738281
candidateE2_tf_lowlambda_expanded672_s120_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.17387580871582
candidateE2_tf_lowlambda_expanded672_s121_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.6942572593688965
candidateE2_tf_lowlambda_expanded672_s122_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.014111518859863
candidateE2_tf_lowlambda_expanded672_s123_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.249747276306152
candidateE2_tf_lowlambda_expanded672_s124_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.423056125640869
candidateE2_tf_lowlambda_expanded672_s125_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.791333198547363
candidateE2_tf_lowlambda_expanded672_s126_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.679611682891846
candidateE2_tf_lowlambda_expanded672_s127_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.73405647277832
candidateE2_tf_lowlambda_expanded672_s128_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.780929088592529
candidateE2_tf_lowlambda_expanded672_s129_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.105356693267822
candidateE2_tf_lowlambda_expanded672_s12_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,6.144091606140137
candidateE2_tf_lowlambda_expanded672_s130_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.359714984893799
candidateE2_tf_lowlambda_expanded672_s131_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,7.212762832641602
candidateE2_tf_lowlambda_expanded672_s132_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,6.6922807693481445
candidateE2_tf_lowlambda_expanded672_s133_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,6.386075973510742
candidateE2_tf_lowlambda_expanded672_s134_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.481940269470215
candidateE2_tf_lowlambda_expanded672_s135_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.593440055847168
candidateE2_tf_lowlambda_expanded672_s136_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,5.069151878356934
candidateE2_tf_lowlambda_expanded672_s137_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.41126012802124
candidateE2_tf_lowlambda_expanded672_s138_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,4.588643550872803
candidateE2_tf_lowlambda_expanded672_s139_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,6.402887344360352
candidateE2_tf_lowlambda_expanded672_s13_speed_p160_x0_y0,candidateE2_tf_lowlambda_expanded672,6.17996072769165
