sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2,pd_winner_before,pd_winner_after_candidateE2,mt_winner_before,mt_winner_after_candidateE2,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,24.921940348438614,5.051645278930664,9.748218536376953,4.915406227111816,gan,gan,cnn,candidateE2,0
1,1,24.612518312283534,22.38874396250744,25.246755090922957,4.678010940551758,11.978342056274414,4.899394512176514,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,25.770899146567743,4.894824504852295,8.343221664428711,5.1660637855529785,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,25.61204731753427,4.794641017913818,9.753995895385742,4.99519157409668,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,25.34743750821771,4.892229080200195,8.064751625061035,4.711513996124268,gan,gan,cnn,candidateE2,0
5,5,27.01852197077857,22.503507148952195,27.74398025908826,5.628478050231934,6.406379699707031,5.33901309967041,gan,gan,cnn,candidateE2,0
6,6,28.068979766562435,24.045087776300683,28.737591332444453,6.144000053405762,6.0106329917907715,6.509223461151123,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,30.022585261355015,5.672351837158203,7.113770008087158,5.734275817871094,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,30.34215895724924,7.50956392288208,6.055016040802002,7.564978122711182,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,29.61026325670142,5.768454551696777,6.291722297668457,5.69171142578125,gan,gan,cnn,candidateE2,0
10,10,29.696969860459554,24.710016041893063,30.72056175779499,6.634506702423096,7.423793315887451,6.821280002593994,gan,gan,cnn,cnn,0
11,11,28.68732565326105,24.969867761946066,29.953619788862333,5.910721302032471,7.831723690032959,6.06754207611084,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,31.42952823568321,6.61636209487915,5.913707256317139,6.852024078369141,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.401141619986404,6.0738348960876465,7.402252674102783,6.704500198364258,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.351569395498156,5.448930263519287,5.877835750579834,5.84738302230835,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,27.38396935673882,5.097294807434082,5.86716890335083,5.462040901184082,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.641717608596455,5.464188098907471,5.255205154418945,6.245529651641846,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,21.780532441494657,5.2896833419799805,4.8487091064453125,5.4445343017578125,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,21.458011176670762,6.258571624755859,5.554356575012207,6.325807571411133,gan,gan,gan,gan,1
19,19,21.064082150885508,19.086676411603058,21.920994754840613,6.927988529205322,5.44291353225708,7.18292236328125,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,23.118222327709454,6.254051208496094,5.689126491546631,6.9131669998168945,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,28.37010787034914,8.127616882324219,10.817054748535156,8.984506607055664,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,34.662369035474306,8.081520080566406,8.346701622009277,9.466564178466797,gan,gan,cnn,cnn,0
23,23,34.476953302920876,29.144574221491347,36.63675617798633,6.907674789428711,8.497876167297363,7.462748050689697,gan,gan,cnn,cnn,0
