key,method,mt_distance
candidateE2_s0_speed_p160_x0_y0,candidateE2,4.915406227111816
candidateE2_s100_speed_p160_x0_y0,candidateE2,5.857967376708984
candidateE2_s101_speed_p160_x0_y0,candidateE2,5.433768272399902
candidateE2_s102_speed_p160_x0_y0,candidateE2,5.268490314483643
candidateE2_s103_speed_p160_x0_y0,candidateE2,5.208885669708252
candidateE2_s104_speed_p160_x0_y0,candidateE2,4.919677734375
candidateE2_s105_speed_p160_x0_y0,candidateE2,5.318482398986816
candidateE2_s106_speed_p160_x0_y0,candidateE2,5.964792728424072
candidateE2_s107_speed_p160_x0_y0,candidateE2,5.697098255157471
candidateE2_s108_speed_p160_x0_y0,candidateE2,5.900883674621582
candidateE2_s109_speed_p160_x0_y0,candidateE2,5.144204616546631
candidateE2_s10_speed_p160_x0_y0,candidateE2,6.821280002593994
candidateE2_s110_speed_p160_x0_y0,candidateE2,6.001055717468262
candidateE2_s111_speed_p160_x0_y0,candidateE2,5.584524154663086
candidateE2_s112_speed_p160_x0_y0,candidateE2,5.576773166656494
candidateE2_s113_speed_p160_x0_y0,candidateE2,5.543158054351807
candidateE2_s114_speed_p160_x0_y0,candidateE2,5.043895244598389
candidateE2_s115_speed_p160_x0_y0,candidateE2,4.709284782409668
candidateE2_s116_speed_p160_x0_y0,candidateE2,5.36751127243042
candidateE2_s117_speed_p160_x0_y0,candidateE2,5.348495006561279
candidateE2_s118_speed_p160_x0_y0,candidateE2,6.353506088256836
candidateE2_s119_speed_p160_x0_y0,candidateE2,5.250578880310059
candidateE2_s11_speed_p160_x0_y0,candidateE2,6.06754207611084
candidateE2_s120_speed_p160_x0_y0,candidateE2,4.959049701690674
candidateE2_s121_speed_p160_x0_y0,candidateE2,5.415183067321777
candidateE2_s122_speed_p160_x0_y0,candidateE2,5.5934929847717285
candidateE2_s123_speed_p160_x0_y0,candidateE2,6.268685817718506
candidateE2_s124_speed_p160_x0_y0,candidateE2,6.18543004989624
candidateE2_s125_speed_p160_x0_y0,candidateE2,5.881651401519775
candidateE2_s126_speed_p160_x0_y0,candidateE2,5.198545455932617
candidateE2_s127_speed_p160_x0_y0,candidateE2,5.421459197998047
candidateE2_s128_speed_p160_x0_y0,candidateE2,5.959519386291504
candidateE2_s129_speed_p160_x0_y0,candidateE2,5.864867210388184
candidateE2_s12_speed_p160_x0_y0,candidateE2,6.852024078369141
candidateE2_s130_speed_p160_x0_y0,candidateE2,6.835227012634277
candidateE2_s131_speed_p160_x0_y0,candidateE2,7.358262538909912
candidateE2_s132_speed_p160_x0_y0,candidateE2,7.945048809051514
candidateE2_s133_speed_p160_x0_y0,candidateE2,8.454715728759766
candidateE2_s134_speed_p160_x0_y0,candidateE2,7.706424713134766
candidateE2_s135_speed_p160_x0_y0,candidateE2,7.713066101074219
candidateE2_s136_speed_p160_x0_y0,candidateE2,7.383106708526611
candidateE2_s137_speed_p160_x0_y0,candidateE2,5.627100467681885
candidateE2_s138_speed_p160_x0_y0,candidateE2,6.033626556396484
candidateE2_s139_speed_p160_x0_y0,candidateE2,6.2878875732421875
candidateE2_s13_speed_p160_x0_y0,candidateE2,6.704500198364258
candidateE2_s140_speed_p160_x0_y0,candidateE2,6.233214378356934
candidateE2_s141_speed_p160_x0_y0,candidateE2,6.853033542633057
candidateE2_s142_speed_p160_x0_y0,candidateE2,7.935880661010742
candidateE2_s143_speed_p160_x0_y0,candidateE2,6.922715187072754
candidateE2_s144_speed_p160_x0_y0,candidateE2,5.973954677581787
candidateE2_s145_speed_p160_x0_y0,candidateE2,6.034926891326904
candidateE2_s146_speed_p160_x0_y0,candidateE2,6.55720853805542
candidateE2_s147_speed_p160_x0_y0,candidateE2,6.213574409484863
candidateE2_s148_speed_p160_x0_y0,candidateE2,5.402932643890381
candidateE2_s149_speed_p160_x0_y0,candidateE2,6.5654215812683105
candidateE2_s14_speed_p160_x0_y0,candidateE2,5.84738302230835
candidateE2_s150_speed_p160_x0_y0,candidateE2,5.882802963256836
candidateE2_s151_speed_p160_x0_y0,candidateE2,6.0198845863342285
candidateE2_s152_speed_p160_x0_y0,candidateE2,5.823243618011475
candidateE2_s153_speed_p160_x0_y0,candidateE2,6.425118923187256
candidateE2_s154_speed_p160_x0_y0,candidateE2,6.059920787811279
candidateE2_s155_speed_p160_x0_y0,candidateE2,6.171390533447266
candidateE2_s156_speed_p160_x0_y0,candidateE2,5.910562038421631
candidateE2_s157_speed_p160_x0_y0,candidateE2,4.630477428436279
candidateE2_s158_speed_p160_x0_y0,candidateE2,5.946478366851807
candidateE2_s159_speed_p160_x0_y0,candidateE2,4.993558883666992
candidateE2_s15_speed_p160_x0_y0,candidateE2,5.462040901184082
candidateE2_s160_speed_p160_x0_y0,candidateE2,5.470206260681152
candidateE2_s161_speed_p160_x0_y0,candidateE2,5.132167816162109
candidateE2_s162_speed_p160_x0_y0,candidateE2,4.3510260581970215
candidateE2_s163_speed_p160_x0_y0,candidateE2,5.363319396972656
candidateE2_s164_speed_p160_x0_y0,candidateE2,5.683117389678955
candidateE2_s165_speed_p160_x0_y0,candidateE2,5.267576694488525
candidateE2_s166_speed_p160_x0_y0,candidateE2,5.607752323150635
candidateE2_s167_speed_p160_x0_y0,candidateE2,5.555367946624756
candidateE2_s16_speed_p160_x0_y0,candidateE2,6.245529651641846
candidateE2_s17_speed_p160_x0_y0,candidateE2,5.4445343017578125
candidateE2_s18_speed_p160_x0_y0,candidateE2,6.325807571411133
candidateE2_s19_speed_p160_x0_y0,candidateE2,7.18292236328125
candidateE2_s1_speed_p160_x0_y0,candidateE2,4.899394512176514
candidateE2_s20_speed_p160_x0_y0,candidateE2,6.9131669998168945
candidateE2_s21_speed_p160_x0_y0,candidateE2,8.984506607055664
candidateE2_s22_speed_p160_x0_y0,candidateE2,9.466564178466797
candidateE2_s23_speed_p160_x0_y0,candidateE2,7.462748050689697
candidateE2_s24_speed_p160_x0_y0,candidateE2,6.119217395782471
candidateE2_s25_speed_p160_x0_y0,candidateE2,7.695071220397949
candidateE2_s26_speed_p160_x0_y0,candidateE2,6.152072906494141
candidateE2_s27_speed_p160_x0_y0,candidateE2,6.551331520080566
candidateE2_s28_speed_p160_x0_y0,candidateE2,7.42561674118042
candidateE2_s29_speed_p160_x0_y0,candidateE2,6.8482842445373535
candidateE2_s2_speed_p160_x0_y0,candidateE2,5.1660637855529785
candidateE2_s30_speed_p160_x0_y0,candidateE2,6.933385372161865
candidateE2_s31_speed_p160_x0_y0,candidateE2,6.975780963897705
candidateE2_s32_speed_p160_x0_y0,candidateE2,6.612490653991699
candidateE2_s33_speed_p160_x0_y0,candidateE2,6.611151695251465
candidateE2_s34_speed_p160_x0_y0,candidateE2,6.405431747436523
candidateE2_s35_speed_p160_x0_y0,candidateE2,7.122549057006836
candidateE2_s36_speed_p160_x0_y0,candidateE2,6.163757801055908
candidateE2_s37_speed_p160_x0_y0,candidateE2,6.319820404052734
candidateE2_s38_speed_p160_x0_y0,candidateE2,6.743630409240723
candidateE2_s39_speed_p160_x0_y0,candidateE2,6.23399019241333
candidateE2_s3_speed_p160_x0_y0,candidateE2,4.99519157409668
candidateE2_s40_speed_p160_x0_y0,candidateE2,6.465548992156982
candidateE2_s41_speed_p160_x0_y0,candidateE2,5.4374189376831055
candidateE2_s42_speed_p160_x0_y0,candidateE2,5.965879917144775
candidateE2_s43_speed_p160_x0_y0,candidateE2,6.189363956451416
candidateE2_s44_speed_p160_x0_y0,candidateE2,6.28621768951416
candidateE2_s45_speed_p160_x0_y0,candidateE2,6.608054161071777
candidateE2_s46_speed_p160_x0_y0,candidateE2,6.3354668617248535
candidateE2_s47_speed_p160_x0_y0,candidateE2,6.731667518615723
candidateE2_s48_speed_p160_x0_y0,candidateE2,6.889229774475098
candidateE2_s49_speed_p160_x0_y0,candidateE2,6.379955291748047
candidateE2_s4_speed_p160_x0_y0,candidateE2,4.711513996124268
candidateE2_s50_speed_p160_x0_y0,candidateE2,6.213052272796631
candidateE2_s51_speed_p160_x0_y0,candidateE2,5.993113994598389
candidateE2_s52_speed_p160_x0_y0,candidateE2,5.846640110015869
candidateE2_s53_speed_p160_x0_y0,candidateE2,5.367271900177002
candidateE2_s54_speed_p160_x0_y0,candidateE2,5.792768955230713
candidateE2_s55_speed_p160_x0_y0,candidateE2,5.289385795593262
candidateE2_s56_speed_p160_x0_y0,candidateE2,5.616914749145508
candidateE2_s57_speed_p160_x0_y0,candidateE2,5.713089942932129
candidateE2_s58_speed_p160_x0_y0,candidateE2,6.1709184646606445
candidateE2_s59_speed_p160_x0_y0,candidateE2,5.714182376861572
candidateE2_s5_speed_p160_x0_y0,candidateE2,5.33901309967041
candidateE2_s60_speed_p160_x0_y0,candidateE2,5.878750801086426
candidateE2_s61_speed_p160_x0_y0,candidateE2,5.619718551635742
candidateE2_s62_speed_p160_x0_y0,candidateE2,7.378791809082031
candidateE2_s63_speed_p160_x0_y0,candidateE2,7.718905448913574
candidateE2_s64_speed_p160_x0_y0,candidateE2,6.4205145835876465
candidateE2_s65_speed_p160_x0_y0,candidateE2,6.114047050476074
candidateE2_s66_speed_p160_x0_y0,candidateE2,6.079107284545898
candidateE2_s67_speed_p160_x0_y0,candidateE2,5.261585712432861
candidateE2_s68_speed_p160_x0_y0,candidateE2,6.4181227684021
candidateE2_s69_speed_p160_x0_y0,candidateE2,5.41264009475708
candidateE2_s6_speed_p160_x0_y0,candidateE2,6.509223461151123
candidateE2_s70_speed_p160_x0_y0,candidateE2,5.527253150939941
candidateE2_s71_speed_p160_x0_y0,candidateE2,5.105685234069824
candidateE2_s72_speed_p160_x0_y0,candidateE2,4.849745273590088
candidateE2_s73_speed_p160_x0_y0,candidateE2,5.1498613357543945
candidateE2_s74_speed_p160_x0_y0,candidateE2,4.785513401031494
candidateE2_s75_speed_p160_x0_y0,candidateE2,5.379513263702393
candidateE2_s76_speed_p160_x0_y0,candidateE2,5.159417152404785
candidateE2_s77_speed_p160_x0_y0,candidateE2,6.386878490447998
candidateE2_s78_speed_p160_x0_y0,candidateE2,6.277007102966309
candidateE2_s79_speed_p160_x0_y0,candidateE2,7.260031223297119
candidateE2_s7_speed_p160_x0_y0,candidateE2,5.734275817871094
candidateE2_s80_speed_p160_x0_y0,candidateE2,6.880258083343506
candidateE2_s81_speed_p160_x0_y0,candidateE2,6.689926624298096
candidateE2_s82_speed_p160_x0_y0,candidateE2,7.788028717041016
candidateE2_s83_speed_p160_x0_y0,candidateE2,6.735424041748047
candidateE2_s84_speed_p160_x0_y0,candidateE2,6.22929573059082
candidateE2_s85_speed_p160_x0_y0,candidateE2,5.754185199737549
candidateE2_s86_speed_p160_x0_y0,candidateE2,5.451908588409424
candidateE2_s87_speed_p160_x0_y0,candidateE2,6.613193511962891
candidateE2_s88_speed_p160_x0_y0,candidateE2,6.320529937744141
candidateE2_s89_speed_p160_x0_y0,candidateE2,5.95866060256958
candidateE2_s8_speed_p160_x0_y0,candidateE2,7.564978122711182
candidateE2_s90_speed_p160_x0_y0,candidateE2,5.422430992126465
candidateE2_s91_speed_p160_x0_y0,candidateE2,5.569027900695801
candidateE2_s92_speed_p160_x0_y0,candidateE2,5.702787399291992
candidateE2_s93_speed_p160_x0_y0,candidateE2,6.551904678344727
candidateE2_s94_speed_p160_x0_y0,candidateE2,5.197722911834717
candidateE2_s95_speed_p160_x0_y0,candidateE2,5.042051315307617
candidateE2_s96_speed_p160_x0_y0,candidateE2,5.1765265464782715
candidateE2_s97_speed_p160_x0_y0,candidateE2,4.887757778167725
candidateE2_s98_speed_p160_x0_y0,candidateE2,4.995506763458252
candidateE2_s99_speed_p160_x0_y0,candidateE2,5.440126895904541
candidateE2_s9_speed_p160_x0_y0,candidateE2,5.69171142578125
