key,method,pd_distance
candidateE2_s0_speed_p160_x0_y0,candidateE2,24.921940348438614
candidateE2_s100_speed_p160_x0_y0,candidateE2,31.501611924534604
candidateE2_s101_speed_p160_x0_y0,candidateE2,30.738317317348915
candidateE2_s102_speed_p160_x0_y0,candidateE2,29.568132225670684
candidateE2_s103_speed_p160_x0_y0,candidateE2,29.852550815784273
candidateE2_s104_speed_p160_x0_y0,candidateE2,29.441997151490888
candidateE2_s105_speed_p160_x0_y0,candidateE2,29.63446687980822
candidateE2_s106_speed_p160_x0_y0,candidateE2,30.313858459898373
candidateE2_s107_speed_p160_x0_y0,candidateE2,29.830325640059556
candidateE2_s108_speed_p160_x0_y0,candidateE2,29.230543050709464
candidateE2_s109_speed_p160_x0_y0,candidateE2,29.233974432805734
candidateE2_s10_speed_p160_x0_y0,candidateE2,30.72056175779499
candidateE2_s110_speed_p160_x0_y0,candidateE2,29.72616571535411
candidateE2_s111_speed_p160_x0_y0,candidateE2,28.371857117578724
candidateE2_s112_speed_p160_x0_y0,candidateE2,27.78407909185814
candidateE2_s113_speed_p160_x0_y0,candidateE2,26.319480710641844
candidateE2_s114_speed_p160_x0_y0,candidateE2,24.823777285089456
candidateE2_s115_speed_p160_x0_y0,candidateE2,25.59262946411653
candidateE2_s116_speed_p160_x0_y0,candidateE2,25.415157531065756
candidateE2_s117_speed_p160_x0_y0,candidateE2,27.502501758054226
candidateE2_s118_speed_p160_x0_y0,candidateE2,28.39444814921721
candidateE2_s119_speed_p160_x0_y0,candidateE2,27.648973976904706
candidateE2_s11_speed_p160_x0_y0,candidateE2,29.953619788862333
candidateE2_s120_speed_p160_x0_y0,candidateE2,28.49787953494308
candidateE2_s121_speed_p160_x0_y0,candidateE2,29.457905595616566
candidateE2_s122_speed_p160_x0_y0,candidateE2,28.316648553795346
candidateE2_s123_speed_p160_x0_y0,candidateE2,29.457912549967126
candidateE2_s124_speed_p160_x0_y0,candidateE2,28.694628701838532
candidateE2_s125_speed_p160_x0_y0,candidateE2,29.050995478721337
candidateE2_s126_speed_p160_x0_y0,candidateE2,28.72493787024372
candidateE2_s127_speed_p160_x0_y0,candidateE2,30.8309879694691
candidateE2_s128_speed_p160_x0_y0,candidateE2,29.531313235444173
candidateE2_s129_speed_p160_x0_y0,candidateE2,31.020869793493695
candidateE2_s12_speed_p160_x0_y0,candidateE2,31.42952823568321
candidateE2_s130_speed_p160_x0_y0,candidateE2,31.5471792261184
candidateE2_s131_speed_p160_x0_y0,candidateE2,34.36290425295934
candidateE2_s132_speed_p160_x0_y0,candidateE2,35.44600668806523
candidateE2_s133_speed_p160_x0_y0,candidateE2,36.076167348428555
candidateE2_s134_speed_p160_x0_y0,candidateE2,33.93207754755418
candidateE2_s135_speed_p160_x0_y0,candidateE2,31.455802219395846
candidateE2_s136_speed_p160_x0_y0,candidateE2,29.184088085971705
candidateE2_s137_speed_p160_x0_y0,candidateE2,28.08300498174438
candidateE2_s138_speed_p160_x0_y0,candidateE2,27.418510236798713
candidateE2_s139_speed_p160_x0_y0,candidateE2,26.668479821779997
candidateE2_s13_speed_p160_x0_y0,candidateE2,30.401141619986404
candidateE2_s140_speed_p160_x0_y0,candidateE2,28.106131654600166
candidateE2_s141_speed_p160_x0_y0,candidateE2,31.406058080660223
candidateE2_s142_speed_p160_x0_y0,candidateE2,33.40110809478472
candidateE2_s143_speed_p160_x0_y0,candidateE2,33.08858147497422
candidateE2_s144_speed_p160_x0_y0,candidateE2,33.602768817506615
candidateE2_s145_speed_p160_x0_y0,candidateE2,32.18053882848903
candidateE2_s146_speed_p160_x0_y0,candidateE2,31.221502821225382
candidateE2_s147_speed_p160_x0_y0,candidateE2,28.77085606557472
candidateE2_s148_speed_p160_x0_y0,candidateE2,28.141334301732467
candidateE2_s149_speed_p160_x0_y0,candidateE2,26.942733348777285
candidateE2_s14_speed_p160_x0_y0,candidateE2,29.351569395498156
candidateE2_s150_speed_p160_x0_y0,candidateE2,25.582439501771336
candidateE2_s151_speed_p160_x0_y0,candidateE2,25.42292284461291
candidateE2_s152_speed_p160_x0_y0,candidateE2,25.542466490838127
candidateE2_s153_speed_p160_x0_y0,candidateE2,25.7699949209912
candidateE2_s154_speed_p160_x0_y0,candidateE2,25.54899133273711
candidateE2_s155_speed_p160_x0_y0,candidateE2,26.263564187658066
candidateE2_s156_speed_p160_x0_y0,candidateE2,25.325009378694773
candidateE2_s157_speed_p160_x0_y0,candidateE2,25.988630502967577
candidateE2_s158_speed_p160_x0_y0,candidateE2,27.559120927498103
candidateE2_s159_speed_p160_x0_y0,candidateE2,24.77685065004339
candidateE2_s15_speed_p160_x0_y0,candidateE2,27.38396935673882
candidateE2_s160_speed_p160_x0_y0,candidateE2,21.750445452575725
candidateE2_s161_speed_p160_x0_y0,candidateE2,20.169018139959118
candidateE2_s162_speed_p160_x0_y0,candidateE2,18.4123581700209
candidateE2_s163_speed_p160_x0_y0,candidateE2,19.3476346055687
candidateE2_s164_speed_p160_x0_y0,candidateE2,22.084798184432326
candidateE2_s165_speed_p160_x0_y0,candidateE2,23.601232975122333
candidateE2_s166_speed_p160_x0_y0,candidateE2,24.52150987656028
candidateE2_s167_speed_p160_x0_y0,candidateE2,24.235443659282193
candidateE2_s16_speed_p160_x0_y0,candidateE2,24.641717608596455
candidateE2_s17_speed_p160_x0_y0,candidateE2,21.780532441494657
candidateE2_s18_speed_p160_x0_y0,candidateE2,21.458011176670762
candidateE2_s19_speed_p160_x0_y0,candidateE2,21.920994754840613
candidateE2_s1_speed_p160_x0_y0,candidateE2,25.246755090922957
candidateE2_s20_speed_p160_x0_y0,candidateE2,23.118222327709454
candidateE2_s21_speed_p160_x0_y0,candidateE2,28.37010787034914
candidateE2_s22_speed_p160_x0_y0,candidateE2,34.662369035474306
candidateE2_s23_speed_p160_x0_y0,candidateE2,36.63675617798633
candidateE2_s24_speed_p160_x0_y0,candidateE2,37.57054846383428
candidateE2_s25_speed_p160_x0_y0,candidateE2,38.618981210821346
candidateE2_s26_speed_p160_x0_y0,candidateE2,37.97740962734721
candidateE2_s27_speed_p160_x0_y0,candidateE2,39.21145203347996
candidateE2_s28_speed_p160_x0_y0,candidateE2,41.13413626215326
candidateE2_s29_speed_p160_x0_y0,candidateE2,41.240410105232726
candidateE2_s2_speed_p160_x0_y0,candidateE2,25.770899146567743
candidateE2_s30_speed_p160_x0_y0,candidateE2,41.838981047412894
candidateE2_s31_speed_p160_x0_y0,candidateE2,40.84788925341893
candidateE2_s32_speed_p160_x0_y0,candidateE2,40.11538259072981
candidateE2_s33_speed_p160_x0_y0,candidateE2,39.877596388389925
candidateE2_s34_speed_p160_x0_y0,candidateE2,38.916024934093265
candidateE2_s35_speed_p160_x0_y0,candidateE2,37.76641601466175
candidateE2_s36_speed_p160_x0_y0,candidateE2,37.14963272417577
candidateE2_s37_speed_p160_x0_y0,candidateE2,35.06261099299405
candidateE2_s38_speed_p160_x0_y0,candidateE2,30.575437841479587
candidateE2_s39_speed_p160_x0_y0,candidateE2,26.754513311165294
candidateE2_s3_speed_p160_x0_y0,candidateE2,25.61204731753427
candidateE2_s40_speed_p160_x0_y0,candidateE2,25.352490982295805
candidateE2_s41_speed_p160_x0_y0,candidateE2,24.108734471769136
candidateE2_s42_speed_p160_x0_y0,candidateE2,22.315155345535924
candidateE2_s43_speed_p160_x0_y0,candidateE2,21.35012617837168
candidateE2_s44_speed_p160_x0_y0,candidateE2,20.294207281610614
candidateE2_s45_speed_p160_x0_y0,candidateE2,20.96386450585447
candidateE2_s46_speed_p160_x0_y0,candidateE2,21.041584792605285
candidateE2_s47_speed_p160_x0_y0,candidateE2,22.28600065196482
candidateE2_s48_speed_p160_x0_y0,candidateE2,23.10026302283922
candidateE2_s49_speed_p160_x0_y0,candidateE2,22.30857785374813
candidateE2_s4_speed_p160_x0_y0,candidateE2,25.34743750821771
candidateE2_s50_speed_p160_x0_y0,candidateE2,21.385411240271665
candidateE2_s51_speed_p160_x0_y0,candidateE2,21.886598363681898
candidateE2_s52_speed_p160_x0_y0,candidateE2,22.03101893378234
candidateE2_s53_speed_p160_x0_y0,candidateE2,22.097324596810445
candidateE2_s54_speed_p160_x0_y0,candidateE2,23.132318957944566
candidateE2_s55_speed_p160_x0_y0,candidateE2,23.76037826781544
candidateE2_s56_speed_p160_x0_y0,candidateE2,24.43945882443005
candidateE2_s57_speed_p160_x0_y0,candidateE2,25.1846293218008
candidateE2_s58_speed_p160_x0_y0,candidateE2,25.810609898412732
candidateE2_s59_speed_p160_x0_y0,candidateE2,26.061082005161197
candidateE2_s5_speed_p160_x0_y0,candidateE2,27.74398025908826
candidateE2_s60_speed_p160_x0_y0,candidateE2,26.179547734698215
candidateE2_s61_speed_p160_x0_y0,candidateE2,26.069285497795367
candidateE2_s62_speed_p160_x0_y0,candidateE2,27.918175500153424
candidateE2_s63_speed_p160_x0_y0,candidateE2,28.864469313920914
candidateE2_s64_speed_p160_x0_y0,candidateE2,24.973970448538125
candidateE2_s65_speed_p160_x0_y0,candidateE2,22.432894194868467
candidateE2_s66_speed_p160_x0_y0,candidateE2,21.249856746748705
candidateE2_s67_speed_p160_x0_y0,candidateE2,20.940080718660806
candidateE2_s68_speed_p160_x0_y0,candidateE2,21.952185494149457
candidateE2_s69_speed_p160_x0_y0,candidateE2,24.464673274279598
candidateE2_s6_speed_p160_x0_y0,candidateE2,28.737591332444453
candidateE2_s70_speed_p160_x0_y0,candidateE2,24.92378940957491
candidateE2_s71_speed_p160_x0_y0,candidateE2,25.837667917138564
candidateE2_s72_speed_p160_x0_y0,candidateE2,26.797779092723868
candidateE2_s73_speed_p160_x0_y0,candidateE2,27.438566999167964
candidateE2_s74_speed_p160_x0_y0,candidateE2,28.701296469698917
candidateE2_s75_speed_p160_x0_y0,candidateE2,29.78427506725713
candidateE2_s76_speed_p160_x0_y0,candidateE2,30.41114775649528
candidateE2_s77_speed_p160_x0_y0,candidateE2,30.250292312860264
candidateE2_s78_speed_p160_x0_y0,candidateE2,30.644946438580646
candidateE2_s79_speed_p160_x0_y0,candidateE2,30.603702838301462
candidateE2_s7_speed_p160_x0_y0,candidateE2,30.022585261355015
candidateE2_s80_speed_p160_x0_y0,candidateE2,30.48498254069777
candidateE2_s81_speed_p160_x0_y0,candidateE2,30.235652207678765
candidateE2_s82_speed_p160_x0_y0,candidateE2,29.598233722627167
candidateE2_s83_speed_p160_x0_y0,candidateE2,28.81881390577929
candidateE2_s84_speed_p160_x0_y0,candidateE2,29.51551901876769
candidateE2_s85_speed_p160_x0_y0,candidateE2,29.247717458367333
candidateE2_s86_speed_p160_x0_y0,candidateE2,29.713276105482727
candidateE2_s87_speed_p160_x0_y0,candidateE2,30.08151608660675
candidateE2_s88_speed_p160_x0_y0,candidateE2,26.8215501955952
candidateE2_s89_speed_p160_x0_y0,candidateE2,24.594484013032165
candidateE2_s8_speed_p160_x0_y0,candidateE2,30.34215895724924
candidateE2_s90_speed_p160_x0_y0,candidateE2,22.461278784325977
candidateE2_s91_speed_p160_x0_y0,candidateE2,22.58715382114223
candidateE2_s92_speed_p160_x0_y0,candidateE2,22.305737102389426
candidateE2_s93_speed_p160_x0_y0,candidateE2,24.75073302732099
candidateE2_s94_speed_p160_x0_y0,candidateE2,24.932867484312222
candidateE2_s95_speed_p160_x0_y0,candidateE2,27.159049682086945
candidateE2_s96_speed_p160_x0_y0,candidateE2,29.325825638306693
candidateE2_s97_speed_p160_x0_y0,candidateE2,30.583928325941887
candidateE2_s98_speed_p160_x0_y0,candidateE2,31.64940818140408
candidateE2_s99_speed_p160_x0_y0,candidateE2,31.304084763386395
candidateE2_s9_speed_p160_x0_y0,candidateE2,29.61026325670142
