sample_idx,pos_idx,pd_distance_candidateE,mt_distance_candidateE
0,0,25.083363350542196,4.702919960021973
1,1,25.450594917793016,4.9736104011535645
2,2,25.912160991425015,5.118319511413574
3,3,25.847384277996177,5.046786785125732
4,4,25.573946106909002,4.713263988494873
5,5,27.9152901352164,5.273538589477539
6,6,28.866392152495347,6.478524684906006
7,7,30.131004100716368,5.754739761352539
8,8,30.405159276095315,7.592501640319824
9,9,29.68090988203448,5.691566467285156
10,10,30.717926720084122,6.829566955566406
11,11,30.01622254442657,5.913635730743408
12,12,31.43890797350619,6.958117961883545
13,13,30.40987887025635,6.693049907684326
14,14,29.34554988456052,5.852131366729736
15,15,27.391876734582592,5.389237880706787
16,16,24.63668546612426,6.17913818359375
17,17,21.768208458780098,5.406475067138672
18,18,21.43553936196966,6.334187984466553
19,19,21.954884362007565,7.169284820556641
20,20,23.147730382546104,6.85579252243042
21,21,28.397237467121293,8.977485656738281
22,22,34.71917479976559,9.455753326416016
23,23,36.783159114375884,7.513594627380371
24,24,37.71596776489214,5.734295845031738
25,25,38.667381793789204,7.4312872886657715
26,26,38.251288537488506,6.347497940063477
27,27,39.54597436594801,6.786313056945801
28,28,41.350085562984354,7.559102535247803
29,29,41.468302111462854,7.039679050445557
30,30,42.0509826008254,6.975273609161377
31,31,40.990475093666156,7.08176851272583
32,32,40.251888747952954,6.652421951293945
33,33,40.004997550990936,6.644585609436035
34,34,39.06239068257097,6.468024730682373
35,35,37.91553880675563,7.65088415145874
36,36,37.34724549383249,6.126025199890137
37,37,35.24862569233303,6.375161170959473
38,38,30.79142349322306,6.759999752044678
39,39,27.026656653440618,6.130642890930176
40,40,25.39100830431554,6.4872002601623535
41,41,24.215417379603533,5.558705806732178
42,42,22.431807761230925,6.024100303649902
43,43,21.389861112905695,6.235550880432129
44,44,20.34376744656654,6.358849048614502
45,45,21.018028167969835,6.687504291534424
46,46,21.069656666639883,6.373773574829102
47,47,22.341455918815125,6.6907057762146
48,48,23.079065545880177,6.881311416625977
49,49,22.352927005949105,6.466715335845947
50,50,21.416336166456738,6.203985214233398
51,51,21.957654720004797,6.002140522003174
52,52,22.090088756976833,5.809666633605957
53,53,22.122211431922768,5.402857303619385
54,54,23.155235710717882,5.411036968231201
55,55,23.804144924197875,5.315900802612305
56,56,24.461646589363475,5.524405002593994
57,57,25.21919162785344,5.761338710784912
58,58,25.822364642940684,6.172441005706787
59,59,26.11059987734545,5.797678470611572
60,60,26.191831321151806,5.993409156799316
61,61,26.07547278266061,5.665506362915039
62,62,27.91719498598414,7.388197898864746
63,63,28.906179835015717,7.728395462036133
64,64,24.99750493782639,6.406424045562744
65,65,22.43855992316365,6.114577770233154
66,66,21.297129429970006,6.089215278625488
67,67,20.950745243771898,5.2793426513671875
68,68,21.97055512906923,6.457854747772217
69,69,24.52010789395202,5.415374755859375
70,70,24.964866120025988,5.5107011795043945
71,71,25.887579038537567,5.091677188873291
72,72,26.863410058086043,4.850249767303467
73,73,27.461741211373862,5.019894123077393
74,74,28.753645349432155,4.785558223724365
75,75,29.836433325921647,5.405853271484375
76,76,30.431808395922502,5.175729751586914
77,77,30.270470018185872,6.399120330810547
78,78,30.688489474820486,6.27396297454834
79,79,30.615740101519165,7.358827590942383
