key,method,mt_distance
candidateE_s0_speed_p160_x0_y0,candidateE,4.702919960021973
candidateE_s100_speed_p160_x0_y0,candidateE,5.935715675354004
candidateE_s101_speed_p160_x0_y0,candidateE,5.481266021728516
candidateE_s102_speed_p160_x0_y0,candidateE,5.215785980224609
candidateE_s103_speed_p160_x0_y0,candidateE,5.243117332458496
candidateE_s104_speed_p160_x0_y0,candidateE,4.949816703796387
candidateE_s105_speed_p160_x0_y0,candidateE,5.320329189300537
candidateE_s106_speed_p160_x0_y0,candidateE,5.992868423461914
candidateE_s107_speed_p160_x0_y0,candidateE,5.627717018127441
candidateE_s108_speed_p160_x0_y0,candidateE,5.8895134925842285
candidateE_s109_speed_p160_x0_y0,candidateE,5.157190799713135
candidateE_s10_speed_p160_x0_y0,candidateE,6.829566955566406
candidateE_s110_speed_p160_x0_y0,candidateE,6.009847640991211
candidateE_s111_speed_p160_x0_y0,candidateE,5.5881028175354
candidateE_s112_speed_p160_x0_y0,candidateE,5.577539920806885
candidateE_s113_speed_p160_x0_y0,candidateE,5.583770275115967
candidateE_s114_speed_p160_x0_y0,candidateE,5.020483016967773
candidateE_s115_speed_p160_x0_y0,candidateE,4.688546657562256
candidateE_s116_speed_p160_x0_y0,candidateE,5.379502773284912
candidateE_s117_speed_p160_x0_y0,candidateE,5.351727485656738
candidateE_s118_speed_p160_x0_y0,candidateE,6.310422420501709
candidateE_s119_speed_p160_x0_y0,candidateE,5.14111328125
candidateE_s11_speed_p160_x0_y0,candidateE,5.913635730743408
candidateE_s120_speed_p160_x0_y0,candidateE,5.022973537445068
candidateE_s121_speed_p160_x0_y0,candidateE,5.392208099365234
candidateE_s122_speed_p160_x0_y0,candidateE,5.637755393981934
candidateE_s123_speed_p160_x0_y0,candidateE,6.302170276641846
candidateE_s124_speed_p160_x0_y0,candidateE,6.173168659210205
candidateE_s125_speed_p160_x0_y0,candidateE,5.903101921081543
candidateE_s126_speed_p160_x0_y0,candidateE,5.1938395500183105
candidateE_s127_speed_p160_x0_y0,candidateE,5.4031548500061035
candidateE_s128_speed_p160_x0_y0,candidateE,5.981180667877197
candidateE_s129_speed_p160_x0_y0,candidateE,5.941974639892578
candidateE_s12_speed_p160_x0_y0,candidateE,6.958117961883545
candidateE_s130_speed_p160_x0_y0,candidateE,6.835890769958496
candidateE_s131_speed_p160_x0_y0,candidateE,7.657726764678955
candidateE_s132_speed_p160_x0_y0,candidateE,8.170061111450195
candidateE_s133_speed_p160_x0_y0,candidateE,8.396394729614258
candidateE_s134_speed_p160_x0_y0,candidateE,7.661800384521484
candidateE_s135_speed_p160_x0_y0,candidateE,7.709323883056641
candidateE_s136_speed_p160_x0_y0,candidateE,7.327200889587402
candidateE_s137_speed_p160_x0_y0,candidateE,5.546976089477539
candidateE_s138_speed_p160_x0_y0,candidateE,5.999290943145752
candidateE_s139_speed_p160_x0_y0,candidateE,6.263876914978027
candidateE_s13_speed_p160_x0_y0,candidateE,6.693049907684326
candidateE_s140_speed_p160_x0_y0,candidateE,6.215997219085693
candidateE_s141_speed_p160_x0_y0,candidateE,6.814029693603516
candidateE_s142_speed_p160_x0_y0,candidateE,7.932051181793213
candidateE_s143_speed_p160_x0_y0,candidateE,6.9297404289245605
candidateE_s144_speed_p160_x0_y0,candidateE,6.002240180969238
candidateE_s145_speed_p160_x0_y0,candidateE,6.17156457901001
candidateE_s146_speed_p160_x0_y0,candidateE,6.6461873054504395
candidateE_s147_speed_p160_x0_y0,candidateE,6.255874156951904
candidateE_s148_speed_p160_x0_y0,candidateE,5.547781467437744
candidateE_s149_speed_p160_x0_y0,candidateE,6.552835464477539
candidateE_s14_speed_p160_x0_y0,candidateE,5.852131366729736
candidateE_s150_speed_p160_x0_y0,candidateE,5.957050800323486
candidateE_s151_speed_p160_x0_y0,candidateE,6.094961166381836
