key,method,pd_distance
candidateE_s0_speed_p160_x0_y0,candidateE,25.083363350542196
candidateE_s100_speed_p160_x0_y0,candidateE,31.615574574254612
candidateE_s101_speed_p160_x0_y0,candidateE,30.865271817536293
candidateE_s102_speed_p160_x0_y0,candidateE,29.699097725393077
candidateE_s103_speed_p160_x0_y0,candidateE,29.96522062859828
candidateE_s104_speed_p160_x0_y0,candidateE,29.56022840458439
candidateE_s105_speed_p160_x0_y0,candidateE,29.710498535445065
candidateE_s106_speed_p160_x0_y0,candidateE,30.377873103312325
candidateE_s107_speed_p160_x0_y0,candidateE,29.900122036827295
candidateE_s108_speed_p160_x0_y0,candidateE,29.267391764760777
candidateE_s109_speed_p160_x0_y0,candidateE,29.31292314211899
candidateE_s10_speed_p160_x0_y0,candidateE,30.717926720084122
candidateE_s110_speed_p160_x0_y0,candidateE,29.799673102149054
candidateE_s111_speed_p160_x0_y0,candidateE,28.4636363463833
candidateE_s112_speed_p160_x0_y0,candidateE,27.898821865476766
candidateE_s113_speed_p160_x0_y0,candidateE,26.376373531734917
candidateE_s114_speed_p160_x0_y0,candidateE,24.931464043161686
candidateE_s115_speed_p160_x0_y0,candidateE,25.715407436744517
candidateE_s116_speed_p160_x0_y0,candidateE,25.518256321930938
candidateE_s117_speed_p160_x0_y0,candidateE,27.639887756955382
candidateE_s118_speed_p160_x0_y0,candidateE,28.605445892165346
candidateE_s119_speed_p160_x0_y0,candidateE,27.791331499664363
candidateE_s11_speed_p160_x0_y0,candidateE,30.01622254442657
candidateE_s120_speed_p160_x0_y0,candidateE,28.654511579739854
candidateE_s121_speed_p160_x0_y0,candidateE,29.52432277743462
candidateE_s122_speed_p160_x0_y0,candidateE,28.426139299422776
candidateE_s123_speed_p160_x0_y0,candidateE,29.526878629614433
candidateE_s124_speed_p160_x0_y0,candidateE,28.739316538440583
candidateE_s125_speed_p160_x0_y0,candidateE,29.104352980984583
candidateE_s126_speed_p160_x0_y0,candidateE,28.736203593267824
candidateE_s127_speed_p160_x0_y0,candidateE,30.825010163960222
candidateE_s128_speed_p160_x0_y0,candidateE,29.54619069195504
candidateE_s129_speed_p160_x0_y0,candidateE,30.980899906982593
candidateE_s12_speed_p160_x0_y0,candidateE,31.43890797350619
candidateE_s130_speed_p160_x0_y0,candidateE,31.573263741411505
candidateE_s131_speed_p160_x0_y0,candidateE,34.37053425098988
candidateE_s132_speed_p160_x0_y0,candidateE,35.45419917682519
candidateE_s133_speed_p160_x0_y0,candidateE,36.087870379394055
candidateE_s134_speed_p160_x0_y0,candidateE,33.95152967176833
candidateE_s135_speed_p160_x0_y0,candidateE,31.48435795782526
candidateE_s136_speed_p160_x0_y0,candidateE,29.179812964383895
candidateE_s137_speed_p160_x0_y0,candidateE,28.091307992323628
candidateE_s138_speed_p160_x0_y0,candidateE,27.435208383703596
candidateE_s139_speed_p160_x0_y0,candidateE,26.66833091776126
candidateE_s13_speed_p160_x0_y0,candidateE,30.40987887025635
candidateE_s140_speed_p160_x0_y0,candidateE,28.124916804852855
candidateE_s141_speed_p160_x0_y0,candidateE,31.401736999760196
candidateE_s142_speed_p160_x0_y0,candidateE,33.44494765343341
candidateE_s143_speed_p160_x0_y0,candidateE,33.1234470683016
candidateE_s144_speed_p160_x0_y0,candidateE,33.67815551196805
candidateE_s145_speed_p160_x0_y0,candidateE,32.232933802323295
candidateE_s146_speed_p160_x0_y0,candidateE,31.361017503474898
candidateE_s147_speed_p160_x0_y0,candidateE,28.926254093193105
candidateE_s148_speed_p160_x0_y0,candidateE,28.31112680489943
candidateE_s149_speed_p160_x0_y0,candidateE,27.086977121952078
candidateE_s14_speed_p160_x0_y0,candidateE,29.34554988456052
candidateE_s150_speed_p160_x0_y0,candidateE,25.724847783525757
candidateE_s151_speed_p160_x0_y0,candidateE,25.517733212337017
candidateE_s152_speed_p160_x0_y0,candidateE,25.630924214922196
candidateE_s153_speed_p160_x0_y0,candidateE,25.826973869308954
candidateE_s154_speed_p160_x0_y0,candidateE,25.62373039348333
candidateE_s155_speed_p160_x0_y0,candidateE,26.319944831316104
candidateE_s156_speed_p160_x0_y0,candidateE,25.395757789451523
candidateE_s157_speed_p160_x0_y0,candidateE,26.118692703259
candidateE_s158_speed_p160_x0_y0,candidateE,27.693592910595523
candidateE_s159_speed_p160_x0_y0,candidateE,24.90068299159235
candidateE_s15_speed_p160_x0_y0,candidateE,27.391876734582592
candidateE_s160_speed_p160_x0_y0,candidateE,21.95680706656599
candidateE_s161_speed_p160_x0_y0,candidateE,20.30346505288038
candidateE_s162_speed_p160_x0_y0,candidateE,18.49346404808999
candidateE_s163_speed_p160_x0_y0,candidateE,19.586930685373428
candidateE_s164_speed_p160_x0_y0,candidateE,22.232152135262524
candidateE_s165_speed_p160_x0_y0,candidateE,23.778458582835253
candidateE_s166_speed_p160_x0_y0,candidateE,24.693623872431548
candidateE_s167_speed_p160_x0_y0,candidateE,24.405777560993158
candidateE_s16_speed_p160_x0_y0,candidateE,24.63668546612426
candidateE_s17_speed_p160_x0_y0,candidateE,21.768208458780098
candidateE_s18_speed_p160_x0_y0,candidateE,21.43553936196966
candidateE_s19_speed_p160_x0_y0,candidateE,21.954884362007565
candidateE_s1_speed_p160_x0_y0,candidateE,25.450594917793016
candidateE_s20_speed_p160_x0_y0,candidateE,23.147730382546104
candidateE_s21_speed_p160_x0_y0,candidateE,28.397237467121293
candidateE_s22_speed_p160_x0_y0,candidateE,34.71917479976559
candidateE_s23_speed_p160_x0_y0,candidateE,36.783159114375884
candidateE_s24_speed_p160_x0_y0,candidateE,37.71596776489214
candidateE_s25_speed_p160_x0_y0,candidateE,38.667381793789204
candidateE_s26_speed_p160_x0_y0,candidateE,38.251288537488506
candidateE_s27_speed_p160_x0_y0,candidateE,39.54597436594801
candidateE_s28_speed_p160_x0_y0,candidateE,41.350085562984354
candidateE_s29_speed_p160_x0_y0,candidateE,41.468302111462854
candidateE_s2_speed_p160_x0_y0,candidateE,25.912160991425015
candidateE_s30_speed_p160_x0_y0,candidateE,42.0509826008254
candidateE_s31_speed_p160_x0_y0,candidateE,40.990475093666156
candidateE_s32_speed_p160_x0_y0,candidateE,40.251888747952954
candidateE_s33_speed_p160_x0_y0,candidateE,40.004997550990936
candidateE_s34_speed_p160_x0_y0,candidateE,39.06239068257097
candidateE_s35_speed_p160_x0_y0,candidateE,37.91553880675563
candidateE_s36_speed_p160_x0_y0,candidateE,37.34724549383249
candidateE_s37_speed_p160_x0_y0,candidateE,35.24862569233303
candidateE_s38_speed_p160_x0_y0,candidateE,30.79142349322306
candidateE_s39_speed_p160_x0_y0,candidateE,27.026656653440618
candidateE_s3_speed_p160_x0_y0,candidateE,25.847384277996177
candidateE_s40_speed_p160_x0_y0,candidateE,25.39100830431554
candidateE_s41_speed_p160_x0_y0,candidateE,24.215417379603533
candidateE_s42_speed_p160_x0_y0,candidateE,22.431807761230925
candidateE_s43_speed_p160_x0_y0,candidateE,21.389861112905695
candidateE_s44_speed_p160_x0_y0,candidateE,20.34376744656654
candidateE_s45_speed_p160_x0_y0,candidateE,21.018028167969835
candidateE_s46_speed_p160_x0_y0,candidateE,21.069656666639883
candidateE_s47_speed_p160_x0_y0,candidateE,22.341455918815125
candidateE_s48_speed_p160_x0_y0,candidateE,23.079065545880177
candidateE_s49_speed_p160_x0_y0,candidateE,22.352927005949105
candidateE_s4_speed_p160_x0_y0,candidateE,25.573946106909002
candidateE_s50_speed_p160_x0_y0,candidateE,21.416336166456738
candidateE_s51_speed_p160_x0_y0,candidateE,21.957654720004797
candidateE_s52_speed_p160_x0_y0,candidateE,22.090088756976833
candidateE_s53_speed_p160_x0_y0,candidateE,22.122211431922768
candidateE_s54_speed_p160_x0_y0,candidateE,23.155235710717882
candidateE_s55_speed_p160_x0_y0,candidateE,23.804144924197875
candidateE_s56_speed_p160_x0_y0,candidateE,24.461646589363475
candidateE_s57_speed_p160_x0_y0,candidateE,25.21919162785344
candidateE_s58_speed_p160_x0_y0,candidateE,25.822364642940684
candidateE_s59_speed_p160_x0_y0,candidateE,26.11059987734545
candidateE_s5_speed_p160_x0_y0,candidateE,27.9152901352164
candidateE_s60_speed_p160_x0_y0,candidateE,26.191831321151806
candidateE_s61_speed_p160_x0_y0,candidateE,26.07547278266061
candidateE_s62_speed_p160_x0_y0,candidateE,27.91719498598414
candidateE_s63_speed_p160_x0_y0,candidateE,28.906179835015717
