sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateF_grad_E2_low_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateF_grad_E2_low_expanded2688,pd_winner_before,pd_winner_after_candidateF_grad_E2_low_expanded2688,mt_winner_before,mt_winner_after_candidateF_grad_E2_low_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,23.27537255586727,5.051645278930664,9.748218536376953,4.96591854095459,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
1,1,24.612518312283534,22.38874396250744,23.0746184914721,4.678010940551758,11.978342056274414,5.039857864379883,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,23.63109331274154,4.894824504852295,8.343221664428711,5.182242393493652,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,23.557682813700975,4.794641017913818,9.753995895385742,4.709897994995117,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
4,4,24.810879874900778,22.91065989660919,22.805067908143933,4.892229080200195,8.064751625061035,4.719337463378906,gan,candidateF_grad_E2_low_expanded2688,cnn,candidateF_grad_E2_low_expanded2688,0
5,5,27.01852197077857,22.503507148952195,23.895872733664802,5.628478050231934,6.406379699707031,5.523819446563721,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
6,6,28.068979766562435,24.045087776300683,25.449302076665656,6.144000053405762,6.0106329917907715,5.212455749511719,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
7,7,29.26973016135952,22.553824952557566,25.94811833515611,5.672351837158203,7.113770008087158,5.876652717590332,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,26.047132588790337,7.50956392288208,6.055016040802002,6.012073516845703,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
9,9,28.65602837253281,23.481609150211327,25.15766255312297,5.768454551696777,6.291722297668457,5.399665355682373,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
10,10,29.696969860459554,24.710016041893063,25.34427614595575,6.634506702423096,7.423793315887451,5.617855072021484,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
11,11,28.68732565326105,24.969867761946066,24.049120131513824,5.910721302032471,7.831723690032959,6.749093055725098,gan,candidateF_grad_E2_low_expanded2688,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,25.33816340453505,6.61636209487915,5.913707256317139,5.706393241882324,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
