key,method,mt_distance
candidateF_grad_E2_low_expanded2688_s0_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.96591854095459
candidateF_grad_E2_low_expanded2688_s100_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.089542865753174
candidateF_grad_E2_low_expanded2688_s101_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.121166706085205
candidateF_grad_E2_low_expanded2688_s102_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.681265354156494
candidateF_grad_E2_low_expanded2688_s103_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.336728096008301
candidateF_grad_E2_low_expanded2688_s104_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.657990455627441
candidateF_grad_E2_low_expanded2688_s105_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.096550464630127
candidateF_grad_E2_low_expanded2688_s106_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.313351154327393
candidateF_grad_E2_low_expanded2688_s107_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.364666938781738
candidateF_grad_E2_low_expanded2688_s108_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.614889621734619
candidateF_grad_E2_low_expanded2688_s109_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.200637340545654
candidateF_grad_E2_low_expanded2688_s10_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.617855072021484
candidateF_grad_E2_low_expanded2688_s110_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.567422389984131
candidateF_grad_E2_low_expanded2688_s111_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.6224493980407715
candidateF_grad_E2_low_expanded2688_s112_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.179232597351074
candidateF_grad_E2_low_expanded2688_s113_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.5983123779296875
candidateF_grad_E2_low_expanded2688_s114_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.107624053955078
candidateF_grad_E2_low_expanded2688_s115_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.593685626983643
candidateF_grad_E2_low_expanded2688_s116_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.817916393280029
candidateF_grad_E2_low_expanded2688_s117_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.191188812255859
candidateF_grad_E2_low_expanded2688_s118_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.9186177253723145
candidateF_grad_E2_low_expanded2688_s119_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.131126880645752
candidateF_grad_E2_low_expanded2688_s11_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.749093055725098
candidateF_grad_E2_low_expanded2688_s120_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.476008415222168
candidateF_grad_E2_low_expanded2688_s121_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.848064422607422
candidateF_grad_E2_low_expanded2688_s122_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.882768154144287
candidateF_grad_E2_low_expanded2688_s123_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.430334091186523
candidateF_grad_E2_low_expanded2688_s124_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.276094436645508
candidateF_grad_E2_low_expanded2688_s125_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.7001447677612305
candidateF_grad_E2_low_expanded2688_s126_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.812726974487305
candidateF_grad_E2_low_expanded2688_s127_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.918186187744141
candidateF_grad_E2_low_expanded2688_s128_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.049756050109863
candidateF_grad_E2_low_expanded2688_s129_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.349607467651367
candidateF_grad_E2_low_expanded2688_s12_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.706393241882324
candidateF_grad_E2_low_expanded2688_s130_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.108689785003662
candidateF_grad_E2_low_expanded2688_s131_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.0553460121154785
candidateF_grad_E2_low_expanded2688_s132_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.619946479797363
candidateF_grad_E2_low_expanded2688_s133_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.310009956359863
candidateF_grad_E2_low_expanded2688_s134_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.418124198913574
candidateF_grad_E2_low_expanded2688_s135_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.4844069480896
candidateF_grad_E2_low_expanded2688_s136_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.0049943923950195
candidateF_grad_E2_low_expanded2688_s137_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.321946144104004
candidateF_grad_E2_low_expanded2688_s138_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.637422561645508
candidateF_grad_E2_low_expanded2688_s139_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.441159725189209
candidateF_grad_E2_low_expanded2688_s13_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.526429176330566
candidateF_grad_E2_low_expanded2688_s140_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,4.699864864349365
candidateF_grad_E2_low_expanded2688_s141_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.555263996124268
candidateF_grad_E2_low_expanded2688_s142_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.873491287231445
candidateF_grad_E2_low_expanded2688_s143_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.474348545074463
candidateF_grad_E2_low_expanded2688_s144_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.6661176681518555
candidateF_grad_E2_low_expanded2688_s145_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.720815181732178
candidateF_grad_E2_low_expanded2688_s146_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.782175540924072
candidateF_grad_E2_low_expanded2688_s147_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,6.089203357696533
candidateF_grad_E2_low_expanded2688_s148_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,5.5086140632629395
