key,method,pd_distance
candidateF_grad_E2_low_expanded2688_s0_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.27537255586727
candidateF_grad_E2_low_expanded2688_s100_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,27.129508854382266
candidateF_grad_E2_low_expanded2688_s101_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,26.56722875707433
candidateF_grad_E2_low_expanded2688_s102_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.393502542910216
candidateF_grad_E2_low_expanded2688_s103_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,26.07827086466471
candidateF_grad_E2_low_expanded2688_s104_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.759969279280423
candidateF_grad_E2_low_expanded2688_s105_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.789193198581476
candidateF_grad_E2_low_expanded2688_s106_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,26.13986165424125
candidateF_grad_E2_low_expanded2688_s107_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.653052623555624
candidateF_grad_E2_low_expanded2688_s108_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.694608665507584
candidateF_grad_E2_low_expanded2688_s109_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.117998509812672
candidateF_grad_E2_low_expanded2688_s10_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.34427614595575
candidateF_grad_E2_low_expanded2688_s110_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.649704381197566
candidateF_grad_E2_low_expanded2688_s111_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.39822369126904
candidateF_grad_E2_low_expanded2688_s112_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.258077965549962
candidateF_grad_E2_low_expanded2688_s113_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.179065773081692
candidateF_grad_E2_low_expanded2688_s114_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,21.64284087754298
candidateF_grad_E2_low_expanded2688_s115_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,21.955540967305875
candidateF_grad_E2_low_expanded2688_s116_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.135905767001596
candidateF_grad_E2_low_expanded2688_s117_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.992232432088464
candidateF_grad_E2_low_expanded2688_s118_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.88218643792815
candidateF_grad_E2_low_expanded2688_s119_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.852343991579012
candidateF_grad_E2_low_expanded2688_s11_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.049120131513824
candidateF_grad_E2_low_expanded2688_s120_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.501498018066194
candidateF_grad_E2_low_expanded2688_s121_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.2197127557274
candidateF_grad_E2_low_expanded2688_s122_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.35091140360047
candidateF_grad_E2_low_expanded2688_s123_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.07148727648347
candidateF_grad_E2_low_expanded2688_s124_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.369742167316037
candidateF_grad_E2_low_expanded2688_s125_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.60158584389746
candidateF_grad_E2_low_expanded2688_s126_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.211307831337148
candidateF_grad_E2_low_expanded2688_s127_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.931071197546505
candidateF_grad_E2_low_expanded2688_s128_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.95534578461301
candidateF_grad_E2_low_expanded2688_s129_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.559254801559295
candidateF_grad_E2_low_expanded2688_s12_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.33816340453505
candidateF_grad_E2_low_expanded2688_s130_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.92216819822848
candidateF_grad_E2_low_expanded2688_s131_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,28.70688963301943
candidateF_grad_E2_low_expanded2688_s132_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,29.67509338372378
candidateF_grad_E2_low_expanded2688_s133_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,29.835526364452694
candidateF_grad_E2_low_expanded2688_s134_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,27.521157046657212
candidateF_grad_E2_low_expanded2688_s135_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.923476152613954
candidateF_grad_E2_low_expanded2688_s136_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.512171733368582
candidateF_grad_E2_low_expanded2688_s137_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,22.850838005124213
candidateF_grad_E2_low_expanded2688_s138_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,21.997339364108445
candidateF_grad_E2_low_expanded2688_s139_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,21.496779193162126
candidateF_grad_E2_low_expanded2688_s13_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.44511442942317
candidateF_grad_E2_low_expanded2688_s140_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.188327562092336
candidateF_grad_E2_low_expanded2688_s141_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,26.511216108215102
candidateF_grad_E2_low_expanded2688_s142_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,29.381422658136145
candidateF_grad_E2_low_expanded2688_s143_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,28.071175706541332
candidateF_grad_E2_low_expanded2688_s144_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,27.329127763406202
candidateF_grad_E2_low_expanded2688_s145_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.753749317016222
candidateF_grad_E2_low_expanded2688_s146_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,25.11127326461213
candidateF_grad_E2_low_expanded2688_s147_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.451070589130556
candidateF_grad_E2_low_expanded2688_s148_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,22.706562464518363
candidateF_grad_E2_low_expanded2688_s149_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,22.135250254555363
candidateF_grad_E2_low_expanded2688_s14_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.27353501891167
candidateF_grad_E2_low_expanded2688_s150_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,20.594820516271938
candidateF_grad_E2_low_expanded2688_s151_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,20.31051982269899
candidateF_grad_E2_low_expanded2688_s152_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,20.463753771207855
candidateF_grad_E2_low_expanded2688_s153_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,20.784819335201863
candidateF_grad_E2_low_expanded2688_s154_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,20.228317167134964
candidateF_grad_E2_low_expanded2688_s155_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,21.101748370977457
candidateF_grad_E2_low_expanded2688_s156_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,21.956242174647496
candidateF_grad_E2_low_expanded2688_s157_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,22.883842264913557
candidateF_grad_E2_low_expanded2688_s158_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,24.786319521968224
candidateF_grad_E2_low_expanded2688_s159_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,22.621272309083214
candidateF_grad_E2_low_expanded2688_s15_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,22.498514266312196
candidateF_grad_E2_low_expanded2688_s160_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,20.143861678209593
candidateF_grad_E2_low_expanded2688_s161_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,18.953561619396147
candidateF_grad_E2_low_expanded2688_s162_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,18.795454661143236
candidateF_grad_E2_low_expanded2688_s163_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,19.658815220308533
candidateF_grad_E2_low_expanded2688_s164_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,21.1090966613521
candidateF_grad_E2_low_expanded2688_s165_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,22.424239931042624
candidateF_grad_E2_low_expanded2688_s166_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.306285403199638
candidateF_grad_E2_low_expanded2688_s167_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.445784457894288
candidateF_grad_E2_low_expanded2688_s16_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,20.165815058183647
candidateF_grad_E2_low_expanded2688_s17_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,18.151570731751683
candidateF_grad_E2_low_expanded2688_s18_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,17.533288246123718
candidateF_grad_E2_low_expanded2688_s19_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,17.22172699913106
candidateF_grad_E2_low_expanded2688_s1_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,23.0746184914721
candidateF_grad_E2_low_expanded2688_s20_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,18.506055911071016
candidateF_grad_E2_low_expanded2688_s21_speed_p160_x0_y0,candidateF_grad_E2_low_expanded2688,22.743058220331676
