sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateF_grad_crit_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateF_grad_crit_expanded2688,pd_winner_before,pd_winner_after_candidateF_grad_crit_expanded2688,mt_winner_before,mt_winner_after_candidateF_grad_crit_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,22.228715723426397,5.051645278930664,9.748218536376953,5.398622512817383,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,22.859664824937273,4.678010940551758,11.978342056274414,5.584949970245361,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,23.999637764281342,4.894824504852295,8.343221664428711,6.004454612731934,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,23.922868388168833,4.794641017913818,9.753995895385742,5.513782501220703,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,23.819339273119745,4.892229080200195,8.064751625061035,5.469624996185303,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,23.49930466763732,5.628478050231934,6.406379699707031,5.597290992736816,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
6,6,28.068979766562435,24.045087776300683,23.50615510415261,6.144000053405762,6.0106329917907715,6.130309104919434,gan,candidateF_grad_crit_expanded2688,gan,gan,1
7,7,29.26973016135952,22.553824952557566,23.245746757523047,5.672351837158203,7.113770008087158,5.9571356773376465,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,23.354196781155554,7.50956392288208,6.055016040802002,6.1602091789245605,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,23.62461120053179,5.768454551696777,6.291722297668457,5.882601261138916,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,23.721693887786603,6.634506702423096,7.423793315887451,6.202330589294434,gan,candidateF_grad_crit_expanded2688,cnn,candidateF_grad_crit_expanded2688,0
11,11,28.68732565326105,24.969867761946066,23.665269501872544,5.910721302032471,7.831723690032959,6.638975620269775,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,23.842952362449736,6.61636209487915,5.913707256317139,6.382147789001465,gan,candidateF_grad_crit_expanded2688,gan,gan,1
13,13,29.273674668484478,24.323688014436637,23.219968196565034,6.0738348960876465,7.402252674102783,6.188665390014648,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,22.099942358874067,5.448930263519287,5.877835750579834,5.312276363372803,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
15,15,26.322356943691645,19.148010639364745,20.81538490797996,5.097294807434082,5.86716890335083,5.488622665405273,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,18.44021806753011,5.464188098907471,5.255205154418945,5.306867599487305,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,16.495264959953207,5.2896833419799805,4.8487091064453125,4.864968776702881,gan,candidateF_grad_crit_expanded2688,gan,gan,1
18,18,20.394905033940507,18.610240875886223,15.993826946638722,6.258571624755859,5.554356575012207,5.097178936004639,gan,candidateF_grad_crit_expanded2688,gan,candidateF_grad_crit_expanded2688,1
19,19,21.064082150885508,19.086676411603058,15.602691113736803,6.927988529205322,5.44291353225708,5.240671634674072,gan,candidateF_grad_crit_expanded2688,gan,candidateF_grad_crit_expanded2688,1
20,20,21.97923655969375,18.266315468004898,17.54645077692781,6.254051208496094,5.689126491546631,5.376996994018555,gan,candidateF_grad_crit_expanded2688,gan,candidateF_grad_crit_expanded2688,1
21,21,27.30086406645334,21.732522780594586,21.595563820196755,8.127616882324219,10.817054748535156,8.212989807128906,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,27.804137893428,8.081520080566406,8.346701622009277,6.891895294189453,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
23,23,34.476953302920876,29.144574221491347,28.529845202488588,6.907674789428711,8.497876167297363,6.9176812171936035,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,29.110492959311678,7.21915864944458,12.067601203918457,6.92999267578125,gan,candidateF_grad_crit_expanded2688,cnn,candidateF_grad_crit_expanded2688,0
25,25,36.58411526021696,30.123491475362258,29.50728131352373,11.371563911437988,10.501462936401367,7.237429618835449,gan,candidateF_grad_crit_expanded2688,gan,candidateF_grad_crit_expanded2688,1
26,26,35.02599363200026,30.779316467464,30.06473262030953,7.043282985687256,11.28821849822998,7.185460567474365,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,31.358904587766233,6.4783101081848145,19.968429565429688,7.0458526611328125,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,30.93638162929179,7.210402011871338,14.947399139404297,8.315378189086914,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,31.71120229136412,6.963974952697754,12.864243507385254,6.830199241638184,gan,candidateF_grad_crit_expanded2688,cnn,candidateF_grad_crit_expanded2688,0
30,30,39.94080457344863,30.82310921065586,31.121675049918974,8.127463340759277,14.847400665283203,7.461552143096924,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
31,31,39.104318483733294,31.3053599336416,31.56842831583933,6.818642616271973,16.23410415649414,7.1840338706970215,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,31.008153728337223,7.461033821105957,19.229158401489258,6.828965187072754,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
33,33,38.39305861348763,30.400139282712473,30.32614163271068,6.76971960067749,20.00556755065918,7.033925533294678,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,30.079331173146116,6.323113918304443,19.445999145507812,6.655734062194824,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,29.588796921579842,6.2719197273254395,14.435929298400879,6.439033031463623,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,29.860176563243662,6.097905158996582,9.26945686340332,6.195364952087402,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,28.547749931010877,6.489102840423584,9.59257698059082,6.638975620269775,gan,gan,cnn,cnn,0
38,38,29.159912858159764,23.780350003542182,24.70965509963046,6.054014682769775,7.416414260864258,7.184950351715088,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,21.535480887791852,5.873856067657471,8.546488761901855,6.036781311035156,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,20.863878641095692,5.6310811042785645,8.988521575927734,6.606884479522705,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,19.08255856431317,5.389686584472656,8.901470184326172,5.9985737800598145,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,16.63272031278165,5.757840156555176,7.383090972900391,5.851601600646973,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,15.80106801427984,5.7682366371154785,7.053122520446777,6.1146039962768555,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,14.925648351036195,6.20600700378418,7.041088581085205,6.57642126083374,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,15.327469676597495,6.566225528717041,6.773196697235107,5.963773727416992,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
46,46,20.678325640697178,16.27228595124608,14.976942692427892,6.243154048919678,6.650214672088623,6.401003360748291,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,15.574706721119696,6.789880752563477,7.498397350311279,6.385126113891602,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
48,48,22.832495463547907,13.107025960847848,16.70480679122894,7.081502437591553,6.682991981506348,7.080235481262207,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,16.71745429609536,6.3195295333862305,7.889017105102539,7.191676139831543,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,16.3796881720263,6.3856120109558105,6.713321685791016,6.670618534088135,gan,gan,cnn,cnn,0
51,51,21.75849079768097,16.03686368056312,16.643467595444466,5.902731418609619,7.996896266937256,5.859747409820557,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
52,52,21.81632996072092,16.98731478928289,16.943184993292018,5.69123649597168,7.0050048828125,6.082477569580078,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,17.57786949798507,5.261850833892822,7.919146537780762,5.698736190795898,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,17.951552428747775,5.500187397003174,9.581897735595703,6.319434642791748,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,18.844600095585765,5.2683796882629395,7.846588134765625,5.511998176574707,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,19.066747361907883,5.488292217254639,7.826909065246582,6.044045448303223,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,19.173951452694034,5.463809013366699,6.805661201477051,6.2241740226745605,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,19.657004758101515,6.08959436416626,8.349846839904785,6.30327844619751,gan,gan,cnn,cnn,0
59,59,25.864386079507888,18.65101850934172,20.0070399428484,5.546851634979248,7.89148473739624,5.7798943519592285,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,20.276014693584486,5.321651458740234,8.357301712036133,5.790643215179443,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,20.569498029526198,5.346891403198242,8.12722110748291,5.654803276062012,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,21.651276258509824,6.720277786254883,6.650205135345459,6.445364475250244,gan,gan,gan,candidateF_grad_crit_expanded2688,1
63,63,28.524583670890912,18.199751597271156,22.354635717291345,7.660599708557129,7.5776286125183105,6.752053260803223,gan,gan,gan,candidateF_grad_crit_expanded2688,1
64,64,24.7100597287657,16.701032359601633,19.32906156739163,5.944510459899902,7.137726306915283,6.358495712280273,gan,gan,cnn,cnn,0
65,65,22.148883751156426,16.23947552161985,17.485866527675913,5.820770263671875,5.576780319213867,5.704917907714844,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,16.17849872861989,5.701828956604004,6.4086198806762695,5.687667369842529,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
67,67,20.679919922717943,14.773695042869097,15.505213131628492,5.030301094055176,6.6433844566345215,5.115854263305664,gan,gan,cnn,cnn,0
68,68,21.77134223692748,15.500930745161975,16.113858689533487,6.074338436126709,5.670867919921875,5.4391560554504395,gan,gan,gan,candidateF_grad_crit_expanded2688,1
69,69,24.168055816700438,16.112222498232782,18.07814817307676,5.17050838470459,6.406604290008545,5.3473381996154785,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,18.31168675377761,5.396136283874512,5.861793041229248,5.9145941734313965,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,18.729155214883388,5.1588335037231445,7.186563014984131,6.433502674102783,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,20.479392834738864,4.796044826507568,5.719583988189697,5.457997798919678,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,21.096206367710938,4.9851861000061035,5.75114631652832,5.995063304901123,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,22.232662356996887,4.782100200653076,5.644299030303955,5.575540542602539,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,22.484850982169114,5.201173305511475,5.680557727813721,5.545441627502441,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,23.160071276352017,5.207019329071045,6.450347900390625,5.909458637237549,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,23.130412612330005,6.132026672363281,6.000014781951904,5.262588977813721,gan,gan,gan,candidateF_grad_crit_expanded2688,1
78,78,30.300511724579902,19.95492094933438,23.243799654541156,5.8028388023376465,7.092807292938232,5.752936363220215,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
79,79,30.148051358309164,20.321240211337894,23.606210903516594,6.856454849243164,6.467032432556152,5.718011379241943,gan,gan,gan,candidateF_grad_crit_expanded2688,1
80,80,30.086252753371088,20.744918439924255,23.386552340274665,6.982686519622803,6.176682472229004,5.440179824829102,gan,gan,gan,candidateF_grad_crit_expanded2688,1
81,81,29.68907403762892,20.982889067881906,23.32273905420175,6.426537990570068,7.567525863647461,5.252087116241455,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
82,82,28.90089773637945,20.81634708740007,23.455220819959475,7.1840739250183105,6.303605079650879,5.694423198699951,gan,gan,gan,candidateF_grad_crit_expanded2688,1
83,83,28.194313716720707,21.794751727168247,22.653122040835846,6.560110569000244,6.599743366241455,5.360121726989746,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
84,84,29.14514380262554,21.106373639070085,23.068119795996505,5.271510124206543,8.559276580810547,5.490295886993408,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,23.076453423632397,5.609640121459961,7.718591690063477,5.437306880950928,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
