key,method,mt_distance
candidateF_grad_levelset_E2_low_expanded2688_s0_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.02244758605957
candidateF_grad_levelset_E2_low_expanded2688_s100_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.108083248138428
candidateF_grad_levelset_E2_low_expanded2688_s101_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.11305046081543
candidateF_grad_levelset_E2_low_expanded2688_s102_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,4.655782222747803
candidateF_grad_levelset_E2_low_expanded2688_s103_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.011944770812988
candidateF_grad_levelset_E2_low_expanded2688_s104_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,4.530188083648682
candidateF_grad_levelset_E2_low_expanded2688_s105_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.131791591644287
candidateF_grad_levelset_E2_low_expanded2688_s106_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.217028617858887
candidateF_grad_levelset_E2_low_expanded2688_s107_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.6776533126831055
candidateF_grad_levelset_E2_low_expanded2688_s108_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.372583389282227
candidateF_grad_levelset_E2_low_expanded2688_s109_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.3197021484375
candidateF_grad_levelset_E2_low_expanded2688_s10_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.795703887939453
candidateF_grad_levelset_E2_low_expanded2688_s110_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,6.501977920532227
candidateF_grad_levelset_E2_low_expanded2688_s111_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.442519187927246
candidateF_grad_levelset_E2_low_expanded2688_s112_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.2387919425964355
candidateF_grad_levelset_E2_low_expanded2688_s113_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.367590427398682
candidateF_grad_levelset_E2_low_expanded2688_s114_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,6.260227680206299
candidateF_grad_levelset_E2_low_expanded2688_s115_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,4.773468971252441
candidateF_grad_levelset_E2_low_expanded2688_s116_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.910965442657471
candidateF_grad_levelset_E2_low_expanded2688_s117_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,6.174042701721191
candidateF_grad_levelset_E2_low_expanded2688_s118_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,6.179771900177002
candidateF_grad_levelset_E2_low_expanded2688_s119_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,4.998507022857666
candidateF_grad_levelset_E2_low_expanded2688_s11_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,6.055164813995361
candidateF_grad_levelset_E2_low_expanded2688_s120_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.618589878082275
candidateF_grad_levelset_E2_low_expanded2688_s121_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,4.693838119506836
candidateF_grad_levelset_E2_low_expanded2688_s122_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.127967357635498
candidateF_grad_levelset_E2_low_expanded2688_s123_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.246007919311523
candidateF_grad_levelset_E2_low_expanded2688_s124_speed_p160_x0_y0,candidateF_grad_levelset_E2_low_expanded2688,5.439292907714844
