sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_expanded1344,pd_winner_before,pd_winner_after_candidateUV_expanded1344,mt_winner_before,mt_winner_after_candidateUV_expanded1344,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,28.741205146955107,5.051645278930664,9.748218536376953,5.096269130706787,gan,gan,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,29.12882670824209,4.678010940551758,11.978342056274414,5.290016174316406,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,29.93548705459702,4.894824504852295,8.343221664428711,5.352505207061768,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,29.988712240637927,4.794641017913818,9.753995895385742,5.301655292510986,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,30.28433477067554,4.892229080200195,8.064751625061035,5.59959077835083,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,31.016838956285458,5.628478050231934,6.406379699707031,5.150489330291748,gan,gan,cnn,candidateUV_expanded1344,0
6,6,28.068979766562435,24.045087776300683,31.51964664804778,6.144000053405762,6.0106329917907715,6.285118103027344,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,31.38679148386075,5.672351837158203,7.113770008087158,5.736822605133057,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,31.42842439133123,7.50956392288208,6.055016040802002,6.458304405212402,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,30.48961118243918,5.768454551696777,6.291722297668457,5.967398643493652,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,30.950613820765344,6.634506702423096,7.423793315887451,5.974513053894043,gan,gan,cnn,candidateUV_expanded1344,0
11,11,28.68732565326105,24.969867761946066,30.93990782782457,5.910721302032471,7.831723690032959,6.184797286987305,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,31.20401461838611,6.61636209487915,5.913707256317139,6.477207660675049,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.28139651733118,6.0738348960876465,7.402252674102783,6.67009162902832,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.4922453612491,5.448930263519287,5.877835750579834,5.436784267425537,gan,gan,cnn,candidateUV_expanded1344,0
15,15,26.322356943691645,19.148010639364745,27.588522654986342,5.097294807434082,5.86716890335083,5.267465591430664,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.759369038255358,5.464188098907471,5.255205154418945,6.3002519607543945,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,22.486645406482413,5.2896833419799805,4.8487091064453125,5.485644340515137,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,21.875733937177998,6.258571624755859,5.554356575012207,5.452827453613281,gan,gan,gan,candidateUV_expanded1344,1
19,19,21.064082150885508,19.086676411603058,21.50867454754189,6.927988529205322,5.44291353225708,6.139931678771973,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,23.062819786148285,6.254051208496094,5.689126491546631,6.88065767288208,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,28.222845419729563,8.127616882324219,10.817054748535156,8.203452110290527,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,35.427920979256456,8.081520080566406,8.346701622009277,7.351284503936768,gan,gan,cnn,candidateUV_expanded1344,0
23,23,34.476953302920876,29.144574221491347,37.05463482477678,6.907674789428711,8.497876167297363,7.911361217498779,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,37.75092682509199,7.21915864944458,12.067601203918457,8.434517860412598,gan,gan,cnn,cnn,0
25,25,36.58411526021696,30.123491475362258,38.75434438189712,11.371563911437988,10.501462936401367,7.760540008544922,gan,gan,gan,candidateUV_expanded1344,1
26,26,35.02599363200026,30.779316467464,39.038819455210266,7.043282985687256,11.28821849822998,6.458403587341309,gan,gan,cnn,candidateUV_expanded1344,0
27,27,36.89696946573002,30.945378681968467,40.264282589176716,6.4783101081848145,19.968429565429688,5.926056861877441,gan,gan,cnn,candidateUV_expanded1344,0
28,28,38.33189346230645,30.74946233279523,41.24121969873397,7.210402011871338,14.947399139404297,7.69920015335083,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,41.98446041558991,6.963974952697754,12.864243507385254,6.559947490692139,gan,gan,cnn,candidateUV_expanded1344,0
30,30,39.94080457344863,30.82310921065586,41.874053776964516,8.127463340759277,14.847400665283203,7.241040229797363,gan,gan,cnn,candidateUV_expanded1344,0
31,31,39.104318483733294,31.3053599336416,42.047678261586775,6.818642616271973,16.23410415649414,7.437379837036133,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,40.84563991397224,7.461033821105957,19.229158401489258,7.270444393157959,gan,gan,cnn,candidateUV_expanded1344,0
33,33,38.39305861348763,30.400139282712473,40.23338902182883,6.76971960067749,20.00556755065918,7.110024452209473,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,39.41144143363116,6.323113918304443,19.445999145507812,7.049521446228027,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,39.06974646628836,6.2719197273254395,14.435929298400879,6.647243022918701,gan,gan,cnn,cnn,0
