key,method,mt_distance
candidateUV_expanded1344_s0_speed_p160_x0_y0,candidateUV_expanded1344,5.096269130706787
candidateUV_expanded1344_s100_speed_p160_x0_y0,candidateUV_expanded1344,6.3308796882629395
candidateUV_expanded1344_s101_speed_p160_x0_y0,candidateUV_expanded1344,6.497904300689697
candidateUV_expanded1344_s102_speed_p160_x0_y0,candidateUV_expanded1344,6.510885715484619
candidateUV_expanded1344_s103_speed_p160_x0_y0,candidateUV_expanded1344,5.776825904846191
candidateUV_expanded1344_s104_speed_p160_x0_y0,candidateUV_expanded1344,5.3500494956970215
candidateUV_expanded1344_s105_speed_p160_x0_y0,candidateUV_expanded1344,5.932448863983154
candidateUV_expanded1344_s106_speed_p160_x0_y0,candidateUV_expanded1344,6.4472479820251465
candidateUV_expanded1344_s107_speed_p160_x0_y0,candidateUV_expanded1344,5.81596040725708
candidateUV_expanded1344_s108_speed_p160_x0_y0,candidateUV_expanded1344,6.519136905670166
candidateUV_expanded1344_s109_speed_p160_x0_y0,candidateUV_expanded1344,5.819804668426514
candidateUV_expanded1344_s10_speed_p160_x0_y0,candidateUV_expanded1344,5.974513053894043
candidateUV_expanded1344_s110_speed_p160_x0_y0,candidateUV_expanded1344,6.218769073486328
candidateUV_expanded1344_s111_speed_p160_x0_y0,candidateUV_expanded1344,6.079285144805908
candidateUV_expanded1344_s112_speed_p160_x0_y0,candidateUV_expanded1344,6.617021560668945
candidateUV_expanded1344_s113_speed_p160_x0_y0,candidateUV_expanded1344,6.052750587463379
candidateUV_expanded1344_s114_speed_p160_x0_y0,candidateUV_expanded1344,5.730439186096191
candidateUV_expanded1344_s115_speed_p160_x0_y0,candidateUV_expanded1344,5.508549690246582
candidateUV_expanded1344_s116_speed_p160_x0_y0,candidateUV_expanded1344,5.55501127243042
candidateUV_expanded1344_s117_speed_p160_x0_y0,candidateUV_expanded1344,5.958844184875488
candidateUV_expanded1344_s118_speed_p160_x0_y0,candidateUV_expanded1344,6.456361770629883
candidateUV_expanded1344_s119_speed_p160_x0_y0,candidateUV_expanded1344,5.888060569763184
candidateUV_expanded1344_s11_speed_p160_x0_y0,candidateUV_expanded1344,6.184797286987305
candidateUV_expanded1344_s120_speed_p160_x0_y0,candidateUV_expanded1344,5.134623050689697
candidateUV_expanded1344_s121_speed_p160_x0_y0,candidateUV_expanded1344,5.222496509552002
candidateUV_expanded1344_s122_speed_p160_x0_y0,candidateUV_expanded1344,5.750897407531738
candidateUV_expanded1344_s123_speed_p160_x0_y0,candidateUV_expanded1344,5.765993118286133
candidateUV_expanded1344_s124_speed_p160_x0_y0,candidateUV_expanded1344,5.77099084854126
candidateUV_expanded1344_s125_speed_p160_x0_y0,candidateUV_expanded1344,5.372556209564209
candidateUV_expanded1344_s126_speed_p160_x0_y0,candidateUV_expanded1344,5.149519920349121
candidateUV_expanded1344_s127_speed_p160_x0_y0,candidateUV_expanded1344,5.34696626663208
candidateUV_expanded1344_s128_speed_p160_x0_y0,candidateUV_expanded1344,5.127208232879639
candidateUV_expanded1344_s129_speed_p160_x0_y0,candidateUV_expanded1344,6.020057678222656
candidateUV_expanded1344_s12_speed_p160_x0_y0,candidateUV_expanded1344,6.477207660675049
