key,method,pd_distance
candidateUV_expanded1344_s0_speed_p160_x0_y0,candidateUV_expanded1344,28.741205146955107
candidateUV_expanded1344_s100_speed_p160_x0_y0,candidateUV_expanded1344,33.56900312586278
candidateUV_expanded1344_s101_speed_p160_x0_y0,candidateUV_expanded1344,32.97523316939797
candidateUV_expanded1344_s102_speed_p160_x0_y0,candidateUV_expanded1344,31.76373577091882
candidateUV_expanded1344_s103_speed_p160_x0_y0,candidateUV_expanded1344,32.43856277340098
candidateUV_expanded1344_s104_speed_p160_x0_y0,candidateUV_expanded1344,31.82938284431552
candidateUV_expanded1344_s105_speed_p160_x0_y0,candidateUV_expanded1344,31.857525414138863
candidateUV_expanded1344_s106_speed_p160_x0_y0,candidateUV_expanded1344,31.72025953080306
candidateUV_expanded1344_s107_speed_p160_x0_y0,candidateUV_expanded1344,31.296036096540483
candidateUV_expanded1344_s108_speed_p160_x0_y0,candidateUV_expanded1344,31.443598899584998
candidateUV_expanded1344_s109_speed_p160_x0_y0,candidateUV_expanded1344,31.16246564815548
candidateUV_expanded1344_s10_speed_p160_x0_y0,candidateUV_expanded1344,30.950613820765344
candidateUV_expanded1344_s110_speed_p160_x0_y0,candidateUV_expanded1344,31.60748126368334
candidateUV_expanded1344_s111_speed_p160_x0_y0,candidateUV_expanded1344,30.38412280622857
candidateUV_expanded1344_s112_speed_p160_x0_y0,candidateUV_expanded1344,29.976854441957446
candidateUV_expanded1344_s113_speed_p160_x0_y0,candidateUV_expanded1344,28.509059114330935
candidateUV_expanded1344_s114_speed_p160_x0_y0,candidateUV_expanded1344,27.3141005323847
candidateUV_expanded1344_s115_speed_p160_x0_y0,candidateUV_expanded1344,27.715893076500613
candidateUV_expanded1344_s116_speed_p160_x0_y0,candidateUV_expanded1344,28.6880286563153
candidateUV_expanded1344_s117_speed_p160_x0_y0,candidateUV_expanded1344,30.09674132534336
candidateUV_expanded1344_s118_speed_p160_x0_y0,candidateUV_expanded1344,31.901272473478492
candidateUV_expanded1344_s119_speed_p160_x0_y0,candidateUV_expanded1344,31.69625771669724
candidateUV_expanded1344_s11_speed_p160_x0_y0,candidateUV_expanded1344,30.93990782782457
candidateUV_expanded1344_s120_speed_p160_x0_y0,candidateUV_expanded1344,30.979766773507755
candidateUV_expanded1344_s121_speed_p160_x0_y0,candidateUV_expanded1344,31.725273361358497
candidateUV_expanded1344_s122_speed_p160_x0_y0,candidateUV_expanded1344,31.348839868424022
candidateUV_expanded1344_s123_speed_p160_x0_y0,candidateUV_expanded1344,31.03288224859939
candidateUV_expanded1344_s124_speed_p160_x0_y0,candidateUV_expanded1344,30.707822390768996
candidateUV_expanded1344_s125_speed_p160_x0_y0,candidateUV_expanded1344,30.169514012595943
candidateUV_expanded1344_s126_speed_p160_x0_y0,candidateUV_expanded1344,29.812014758412264
candidateUV_expanded1344_s127_speed_p160_x0_y0,candidateUV_expanded1344,31.65659021279143
candidateUV_expanded1344_s128_speed_p160_x0_y0,candidateUV_expanded1344,30.786874733693146
candidateUV_expanded1344_s129_speed_p160_x0_y0,candidateUV_expanded1344,31.868149130682095
candidateUV_expanded1344_s12_speed_p160_x0_y0,candidateUV_expanded1344,31.20401461838611
candidateUV_expanded1344_s130_speed_p160_x0_y0,candidateUV_expanded1344,31.796813356512487
candidateUV_expanded1344_s131_speed_p160_x0_y0,candidateUV_expanded1344,34.22645237041813
candidateUV_expanded1344_s132_speed_p160_x0_y0,candidateUV_expanded1344,35.637939177634806
candidateUV_expanded1344_s133_speed_p160_x0_y0,candidateUV_expanded1344,36.14539159262731
candidateUV_expanded1344_s134_speed_p160_x0_y0,candidateUV_expanded1344,33.5735347653162
