sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,24.218499351351856,5.051645278930664,9.748218536376953,4.966187477111816,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
1,1,24.612518312283534,22.38874396250744,23.76545751869363,4.678010940551758,11.978342056274414,4.775473117828369,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,24.52448747864928,4.894824504852295,8.343221664428711,5.323086738586426,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,24.467269641563743,4.794641017913818,9.753995895385742,4.738796710968018,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
4,4,24.810879874900778,22.91065989660919,23.98820974559299,4.892229080200195,8.064751625061035,6.163171291351318,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,25.200324960128412,5.628478050231934,6.406379699707031,6.605960369110107,gan,gan,cnn,cnn,0
6,6,28.068979766562435,24.045087776300683,26.3144230843065,6.144000053405762,6.0106329917907715,5.520293235778809,gan,gan,gan,candidateUV_plus_E2_tf_lowlambda_expanded672,1
7,7,29.26973016135952,22.553824952557566,27.202370418267048,5.672351837158203,7.113770008087158,5.543454170227051,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
8,8,29.63505050414828,23.282081530392528,27.875222651835134,7.50956392288208,6.055016040802002,6.91364049911499,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,26.871349966288683,5.768454551696777,6.291722297668457,5.4126787185668945,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
10,10,29.696969860459554,24.710016041893063,27.1875413762934,6.634506702423096,7.423793315887451,5.415367603302002,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
11,11,28.68732565326105,24.969867761946066,25.981907296371453,5.910721302032471,7.831723690032959,6.149561405181885,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,27.327596302092736,6.61636209487915,5.913707256317139,6.187923908233643,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,26.85464678175497,6.0738348960876465,7.402252674102783,5.9742302894592285,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
14,14,28.13047371417262,21.511818920550414,25.814077590051223,5.448930263519287,5.877835750579834,5.418365001678467,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
15,15,26.322356943691645,19.148010639364745,23.373203204309974,5.097294807434082,5.86716890335083,5.447961807250977,gan,gan,cnn,cnn,0
