key,method,pd_distance
candidateUV_plus_E2_tf_lowlambda_expanded672_s0_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,24.218499351351856
candidateUV_plus_E2_tf_lowlambda_expanded672_s100_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,28.67856807074075
candidateUV_plus_E2_tf_lowlambda_expanded672_s101_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,28.081403287945736
candidateUV_plus_E2_tf_lowlambda_expanded672_s102_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,27.000355008926007
candidateUV_plus_E2_tf_lowlambda_expanded672_s103_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,27.412444480535452
candidateUV_plus_E2_tf_lowlambda_expanded672_s104_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,27.22112160674022
candidateUV_plus_E2_tf_lowlambda_expanded672_s105_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,27.225355490932035
candidateUV_plus_E2_tf_lowlambda_expanded672_s106_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,27.43407237840721
candidateUV_plus_E2_tf_lowlambda_expanded672_s107_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,26.702383983469534
candidateUV_plus_E2_tf_lowlambda_expanded672_s108_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,27.040675309480676
candidateUV_plus_E2_tf_lowlambda_expanded672_s109_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,26.209457860226312
candidateUV_plus_E2_tf_lowlambda_expanded672_s10_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,27.1875413762934
candidateUV_plus_E2_tf_lowlambda_expanded672_s110_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,26.69758572922439
candidateUV_plus_E2_tf_lowlambda_expanded672_s111_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,25.829849826763212
candidateUV_plus_E2_tf_lowlambda_expanded672_s112_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,25.344640172703762
candidateUV_plus_E2_tf_lowlambda_expanded672_s113_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,24.300762920163343
candidateUV_plus_E2_tf_lowlambda_expanded672_s114_speed_p160_x0_y0,candidateUV_plus_E2_tf_lowlambda_expanded672,22.946210033012694
