sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV,pd_winner_before,pd_winner_after_candidateUV,mt_winner_before,mt_winner_after_candidateUV,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,29.314733346371504,5.051645278930664,9.748218536376953,5.313716411590576,gan,gan,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,29.907272250942395,4.678010940551758,11.978342056274414,5.486093997955322,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,30.394723365135718,4.894824504852295,8.343221664428711,5.977111339569092,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,30.402459997546536,4.794641017913818,9.753995895385742,5.112213134765625,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,30.404694130184005,4.892229080200195,8.064751625061035,5.5756707191467285,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,31.6080978219621,5.628478050231934,6.406379699707031,5.306467533111572,gan,gan,cnn,candidateUV,0
6,6,28.068979766562435,24.045087776300683,32.05365393414251,6.144000053405762,6.0106329917907715,6.66613245010376,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,32.267085559234836,5.672351837158203,7.113770008087158,6.424245357513428,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,32.67862806284251,7.50956392288208,6.055016040802002,7.412765026092529,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,31.910357460220094,5.768454551696777,6.291722297668457,6.384274005889893,gan,gan,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,32.107570264307505,6.634506702423096,7.423793315887451,6.400320529937744,gan,gan,cnn,candidateUV,0
11,11,28.68732565326105,24.969867761946066,31.8787636831727,5.910721302032471,7.831723690032959,5.831116199493408,gan,gan,cnn,candidateUV,0
12,12,30.104522332856273,24.220613253945245,32.56744422897307,6.61636209487915,5.913707256317139,6.65676736831665,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,31.60907416695279,6.0738348960876465,7.402252674102783,6.758913516998291,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,30.47029307118716,5.448930263519287,5.877835750579834,5.906912803649902,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,28.371964462894603,5.097294807434082,5.86716890335083,5.4597320556640625,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,25.564803616010533,5.464188098907471,5.255205154418945,6.289414882659912,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,23.362589285077437,5.2896833419799805,4.8487091064453125,5.815354347229004,gan,gan,gan,gan,1
