key,method,mt_distance
candidateUV_s0_speed_p160_x0_y0,candidateUV,5.313716411590576
candidateUV_s100_speed_p160_x0_y0,candidateUV,6.192474365234375
candidateUV_s101_speed_p160_x0_y0,candidateUV,6.394382953643799
candidateUV_s102_speed_p160_x0_y0,candidateUV,6.69896125793457
candidateUV_s103_speed_p160_x0_y0,candidateUV,6.168907642364502
candidateUV_s104_speed_p160_x0_y0,candidateUV,5.971243381500244
candidateUV_s105_speed_p160_x0_y0,candidateUV,5.743284702301025
candidateUV_s106_speed_p160_x0_y0,candidateUV,6.634140968322754
candidateUV_s107_speed_p160_x0_y0,candidateUV,6.060892581939697
candidateUV_s108_speed_p160_x0_y0,candidateUV,6.429090976715088
candidateUV_s109_speed_p160_x0_y0,candidateUV,5.764332294464111
candidateUV_s10_speed_p160_x0_y0,candidateUV,6.400320529937744
candidateUV_s110_speed_p160_x0_y0,candidateUV,6.376753807067871
candidateUV_s111_speed_p160_x0_y0,candidateUV,6.114636421203613
candidateUV_s112_speed_p160_x0_y0,candidateUV,6.734987258911133
candidateUV_s113_speed_p160_x0_y0,candidateUV,6.201700210571289
candidateUV_s114_speed_p160_x0_y0,candidateUV,6.208505630493164
candidateUV_s115_speed_p160_x0_y0,candidateUV,5.743941783905029
candidateUV_s116_speed_p160_x0_y0,candidateUV,5.7372002601623535
candidateUV_s117_speed_p160_x0_y0,candidateUV,5.782934665679932
candidateUV_s118_speed_p160_x0_y0,candidateUV,6.591947078704834
candidateUV_s119_speed_p160_x0_y0,candidateUV,5.83060884475708
candidateUV_s11_speed_p160_x0_y0,candidateUV,5.831116199493408
candidateUV_s120_speed_p160_x0_y0,candidateUV,5.48256778717041
candidateUV_s121_speed_p160_x0_y0,candidateUV,5.916995525360107
candidateUV_s122_speed_p160_x0_y0,candidateUV,6.330128192901611
candidateUV_s123_speed_p160_x0_y0,candidateUV,6.369126319885254
candidateUV_s124_speed_p160_x0_y0,candidateUV,6.4237847328186035
candidateUV_s125_speed_p160_x0_y0,candidateUV,5.877638816833496
candidateUV_s126_speed_p160_x0_y0,candidateUV,5.058073997497559
candidateUV_s127_speed_p160_x0_y0,candidateUV,5.4852094650268555
candidateUV_s128_speed_p160_x0_y0,candidateUV,6.300319671630859
candidateUV_s129_speed_p160_x0_y0,candidateUV,6.222532749176025
candidateUV_s12_speed_p160_x0_y0,candidateUV,6.65676736831665
candidateUV_s130_speed_p160_x0_y0,candidateUV,5.867155075073242
candidateUV_s131_speed_p160_x0_y0,candidateUV,6.840798377990723
candidateUV_s132_speed_p160_x0_y0,candidateUV,7.539308547973633
candidateUV_s133_speed_p160_x0_y0,candidateUV,7.570436477661133
candidateUV_s134_speed_p160_x0_y0,candidateUV,7.773950099945068
candidateUV_s135_speed_p160_x0_y0,candidateUV,6.4634270668029785
candidateUV_s136_speed_p160_x0_y0,candidateUV,6.737174987792969
candidateUV_s137_speed_p160_x0_y0,candidateUV,5.386972427368164
candidateUV_s138_speed_p160_x0_y0,candidateUV,5.36096715927124
candidateUV_s139_speed_p160_x0_y0,candidateUV,5.285830497741699
candidateUV_s13_speed_p160_x0_y0,candidateUV,6.758913516998291
candidateUV_s140_speed_p160_x0_y0,candidateUV,5.478427886962891
candidateUV_s141_speed_p160_x0_y0,candidateUV,6.399046421051025
candidateUV_s142_speed_p160_x0_y0,candidateUV,7.31037712097168
candidateUV_s143_speed_p160_x0_y0,candidateUV,7.203146934509277
candidateUV_s144_speed_p160_x0_y0,candidateUV,5.911022186279297
candidateUV_s145_speed_p160_x0_y0,candidateUV,6.491447925567627
candidateUV_s146_speed_p160_x0_y0,candidateUV,6.771969795227051
candidateUV_s147_speed_p160_x0_y0,candidateUV,6.560095310211182
candidateUV_s148_speed_p160_x0_y0,candidateUV,5.106742858886719
candidateUV_s149_speed_p160_x0_y0,candidateUV,6.344289779663086
candidateUV_s14_speed_p160_x0_y0,candidateUV,5.906912803649902
candidateUV_s150_speed_p160_x0_y0,candidateUV,5.550861358642578
candidateUV_s151_speed_p160_x0_y0,candidateUV,6.693471908569336
candidateUV_s152_speed_p160_x0_y0,candidateUV,6.44833517074585
candidateUV_s153_speed_p160_x0_y0,candidateUV,6.664069652557373
candidateUV_s154_speed_p160_x0_y0,candidateUV,6.174589157104492
candidateUV_s155_speed_p160_x0_y0,candidateUV,6.825850963592529
candidateUV_s156_speed_p160_x0_y0,candidateUV,6.126978397369385
candidateUV_s157_speed_p160_x0_y0,candidateUV,5.910295009613037
candidateUV_s158_speed_p160_x0_y0,candidateUV,6.331770420074463
candidateUV_s159_speed_p160_x0_y0,candidateUV,5.130762100219727
candidateUV_s15_speed_p160_x0_y0,candidateUV,5.4597320556640625
candidateUV_s160_speed_p160_x0_y0,candidateUV,5.415543079376221
candidateUV_s161_speed_p160_x0_y0,candidateUV,4.515773773193359
candidateUV_s162_speed_p160_x0_y0,candidateUV,4.461472034454346
candidateUV_s163_speed_p160_x0_y0,candidateUV,4.848914623260498
candidateUV_s164_speed_p160_x0_y0,candidateUV,5.914468765258789
candidateUV_s165_speed_p160_x0_y0,candidateUV,5.622745037078857
candidateUV_s166_speed_p160_x0_y0,candidateUV,5.4540510177612305
candidateUV_s167_speed_p160_x0_y0,candidateUV,5.389171123504639
candidateUV_s16_speed_p160_x0_y0,candidateUV,6.289414882659912
