key,method,pd_distance
candidateUV_s0_speed_p160_x0_y0,candidateUV,29.314733346371504
candidateUV_s100_speed_p160_x0_y0,candidateUV,34.43448331661251
candidateUV_s101_speed_p160_x0_y0,candidateUV,33.59583063271974
candidateUV_s102_speed_p160_x0_y0,candidateUV,32.59640512448334
candidateUV_s103_speed_p160_x0_y0,candidateUV,33.165192857048964
candidateUV_s104_speed_p160_x0_y0,candidateUV,32.49023648753931
candidateUV_s105_speed_p160_x0_y0,candidateUV,32.340477903935174
candidateUV_s106_speed_p160_x0_y0,candidateUV,32.50755392451792
candidateUV_s107_speed_p160_x0_y0,candidateUV,32.23536729960301
candidateUV_s108_speed_p160_x0_y0,candidateUV,31.918955449356336
candidateUV_s109_speed_p160_x0_y0,candidateUV,31.51448529542381
candidateUV_s10_speed_p160_x0_y0,candidateUV,32.107570264307505
candidateUV_s110_speed_p160_x0_y0,candidateUV,31.96735178284402
candidateUV_s111_speed_p160_x0_y0,candidateUV,30.887678748900733
candidateUV_s112_speed_p160_x0_y0,candidateUV,30.492973376270214
candidateUV_s113_speed_p160_x0_y0,candidateUV,29.087098903351997
candidateUV_s114_speed_p160_x0_y0,candidateUV,27.748484292958768
candidateUV_s115_speed_p160_x0_y0,candidateUV,28.427893066684227
candidateUV_s116_speed_p160_x0_y0,candidateUV,28.924677916416996
candidateUV_s117_speed_p160_x0_y0,candidateUV,30.4826998367646
candidateUV_s118_speed_p160_x0_y0,candidateUV,32.58105407110693
candidateUV_s119_speed_p160_x0_y0,candidateUV,32.175544374330926
candidateUV_s11_speed_p160_x0_y0,candidateUV,31.8787636831727
candidateUV_s120_speed_p160_x0_y0,candidateUV,31.76513946703896
candidateUV_s121_speed_p160_x0_y0,candidateUV,32.61289766795571
candidateUV_s122_speed_p160_x0_y0,candidateUV,31.750307145631695
candidateUV_s123_speed_p160_x0_y0,candidateUV,31.718353556153165
candidateUV_s124_speed_p160_x0_y0,candidateUV,31.57465391653744
candidateUV_s125_speed_p160_x0_y0,candidateUV,31.175405713884548
candidateUV_s126_speed_p160_x0_y0,candidateUV,30.78597797763988
candidateUV_s127_speed_p160_x0_y0,candidateUV,32.68458839920918
candidateUV_s128_speed_p160_x0_y0,candidateUV,31.95764791908391
candidateUV_s129_speed_p160_x0_y0,candidateUV,32.846362977409136
candidateUV_s12_speed_p160_x0_y0,candidateUV,32.56744422897307
candidateUV_s130_speed_p160_x0_y0,candidateUV,33.017551144926884
candidateUV_s131_speed_p160_x0_y0,candidateUV,35.624183198699484
candidateUV_s132_speed_p160_x0_y0,candidateUV,36.9256920368032
candidateUV_s133_speed_p160_x0_y0,candidateUV,37.31166425778055
candidateUV_s134_speed_p160_x0_y0,candidateUV,34.96456582580879
candidateUV_s135_speed_p160_x0_y0,candidateUV,32.412012688760385
candidateUV_s136_speed_p160_x0_y0,candidateUV,30.101911353936384
candidateUV_s137_speed_p160_x0_y0,candidateUV,28.832591993567707
