key,method,pd_distance,mt_distance,error
candidateUV_s0_speed_p160_x0_y0,candidateUV,29.314733346371504,5.313716411590576,
candidateUV_s100_speed_p160_x0_y0,candidateUV,34.43448331661251,6.192474365234375,
candidateUV_s101_speed_p160_x0_y0,candidateUV,33.59583063271974,6.394382953643799,
candidateUV_s102_speed_p160_x0_y0,candidateUV,32.59640512448334,6.69896125793457,
candidateUV_s103_speed_p160_x0_y0,candidateUV,33.165192857048964,6.168907642364502,
candidateUV_s104_speed_p160_x0_y0,candidateUV,32.49023648753931,5.971243381500244,
candidateUV_s105_speed_p160_x0_y0,candidateUV,32.340477903935174,5.743284702301025,
candidateUV_s106_speed_p160_x0_y0,candidateUV,32.50755392451792,6.634140968322754,
candidateUV_s107_speed_p160_x0_y0,candidateUV,32.23536729960301,6.060892581939697,
candidateUV_s108_speed_p160_x0_y0,candidateUV,31.918955449356336,6.429090976715088,
candidateUV_s109_speed_p160_x0_y0,candidateUV,31.51448529542381,5.764332294464111,
candidateUV_s10_speed_p160_x0_y0,candidateUV,32.107570264307505,6.400320529937744,
candidateUV_s110_speed_p160_x0_y0,candidateUV,31.96735178284402,6.376753807067871,
candidateUV_s111_speed_p160_x0_y0,candidateUV,30.887678748900733,6.114636421203613,
candidateUV_s112_speed_p160_x0_y0,candidateUV,30.492973376270214,6.734987258911133,
candidateUV_s113_speed_p160_x0_y0,candidateUV,29.087098903351997,6.201700210571289,
candidateUV_s114_speed_p160_x0_y0,candidateUV,27.748484292958768,6.208505630493164,
candidateUV_s115_speed_p160_x0_y0,candidateUV,28.427893066684227,5.743941783905029,
candidateUV_s116_speed_p160_x0_y0,candidateUV,28.924677916416996,5.7372002601623535,
candidateUV_s117_speed_p160_x0_y0,candidateUV,30.4826998367646,5.782934665679932,
candidateUV_s118_speed_p160_x0_y0,candidateUV,32.58105407110693,6.591947078704834,
candidateUV_s119_speed_p160_x0_y0,candidateUV,32.175544374330926,5.83060884475708,
candidateUV_s11_speed_p160_x0_y0,candidateUV,31.8787636831727,5.831116199493408,
candidateUV_s120_speed_p160_x0_y0,candidateUV,31.76513946703896,5.48256778717041,
candidateUV_s121_speed_p160_x0_y0,candidateUV,32.61289766795571,5.916995525360107,
candidateUV_s122_speed_p160_x0_y0,candidateUV,31.750307145631695,6.330128192901611,
candidateUV_s123_speed_p160_x0_y0,candidateUV,31.718353556153165,6.369126319885254,
candidateUV_s124_speed_p160_x0_y0,candidateUV,31.57465391653744,6.4237847328186035,
candidateUV_s125_speed_p160_x0_y0,candidateUV,31.175405713884548,5.877638816833496,
candidateUV_s126_speed_p160_x0_y0,candidateUV,30.78597797763988,5.058073997497559,
candidateUV_s127_speed_p160_x0_y0,candidateUV,32.68458839920918,5.4852094650268555,
candidateUV_s128_speed_p160_x0_y0,candidateUV,31.95764791908391,6.300319671630859,
candidateUV_s129_speed_p160_x0_y0,candidateUV,32.846362977409136,6.222532749176025,
candidateUV_s12_speed_p160_x0_y0,candidateUV,32.56744422897307,6.65676736831665,
candidateUV_s130_speed_p160_x0_y0,candidateUV,33.017551144926884,5.867155075073242,
candidateUV_s131_speed_p160_x0_y0,candidateUV,35.624183198699484,6.840798377990723,
candidateUV_s132_speed_p160_x0_y0,candidateUV,36.9256920368032,7.539308547973633,
candidateUV_s133_speed_p160_x0_y0,candidateUV,37.31166425778055,7.570436477661133,
candidateUV_s134_speed_p160_x0_y0,candidateUV,34.96456582580879,7.773950099945068,
candidateUV_s135_speed_p160_x0_y0,candidateUV,32.412012688760385,6.4634270668029785,
candidateUV_s136_speed_p160_x0_y0,candidateUV,30.101911353936384,6.737174987792969,
candidateUV_s137_speed_p160_x0_y0,candidateUV,28.832591993567707,5.386972427368164,
