method_id,display_name,psnruv,ssim_speed,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
b_e2,Candidate B + repaired E2,1.0,,1.0,1.0,1.0,0.9345238095238095,0.8333333333333334,1.0,0.9642857142857143,0.42857142857142855,0.5119047619047619,0.0,0.7857142857142857,0.7976190476190477,0.8392857142857143,0.8809523809523809,0.9226190476190477,0.8035714285714286,0.7976190476190477,0.8928571428571429,0.9880952380952381,0.5357142857142857
bicubic,Bicubic baseline,1.0,,1.0,1.0,1.0,0.3630952380952381,0.4642857142857143,0.05357142857142857,0.0,0.19047619047619047,0.0,0.0,0.10119047619047619,0.3273809523809524,0.35119047619047616,0.42857142857142855,0.0,0.011904761904761904,0.0,0.0,,
c_e2,Candidate C + repaired E2,1.0,,1.0,1.0,1.0,0.9880952380952381,0.8809523809523809,1.0,0.9821428571428571,0.47619047619047616,0.47023809523809523,0.0,0.7797619047619048,0.75,0.8333333333333334,0.9226190476190477,0.9166666666666666,0.7559523809523809,0.6785714285714286,0.8571428571428571,0.9821428571428571,0.5595238095238095
candidate_b,Candidate B (full scalar-field proxy scaffold),1.0,,1.0,1.0,1.0,0.8214285714285714,0.7321428571428571,1.0,0.8928571428571429,0.5773809523809523,0.011904761904761904,0.0,0.375,0.7678571428571429,0.75,0.8333333333333334,0.6666666666666666,0.7083333333333334,0.4523809523809524,0.6785714285714286,0.9880952380952381,0.23809523809523808
candidate_c,Candidate C (Candidate B + local-maxima proxy),1.0,,1.0,1.0,1.0,0.9642857142857143,0.9285714285714286,1.0,0.9107142857142857,0.5595238095238095,0.047619047619047616,0.0,0.2857142857142857,0.6666666666666666,0.8809523809523809,0.9285714285714286,0.6488095238095238,0.5416666666666666,0.27380952380952384,0.7261904761904762,1.0,0.30952380952380953
f1_grad_e2,Candidate F: grad + repaired E2-low,1.0,,1.0,1.0,1.0,0.9285714285714286,0.8392857142857143,1.0,0.9940476190476191,0.40476190476190477,0.7083333333333334,0.017857142857142856,0.7321428571428571,0.6964285714285714,0.8511904761904762,0.8392857142857143,0.9880952380952381,0.8452380952380952,0.9166666666666666,0.9285714285714286,0.9880952380952381,0.5833333333333334
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,1.0,,1.0,1.0,1.0,0.9404761904761905,0.8988095238095238,1.0,0.9940476190476191,0.40476190476190477,0.625,0.011904761904761904,0.7857142857142857,0.75,0.8511904761904762,0.8928571428571429,0.9464285714285714,0.8273809523809523,0.875,0.9107142857142857,0.9880952380952381,0.6071428571428571
f3_grad_crit,Candidate F: grad + critical-maxima proxy,1.0,,1.0,1.0,1.0,0.8928571428571429,0.7916666666666666,1.0,0.9166666666666666,0.6130952380952381,0.20833333333333334,0.0,0.2261904761904762,0.4583333333333333,0.7738095238095238,0.8035714285714286,0.8928571428571429,0.7202380952380952,0.6071428571428571,0.8511904761904762,1.0,0.3630952380952381
gan,GAN baseline (pretrained),0.0,,0.0,0.0,0.0,0.2916666666666667,0.31547619047619047,0.0,0.9940476190476191,0.42857142857142855,0.8511904761904762,0.5416666666666666,0.3333333333333333,0.15476190476190477,0.39880952380952384,0.38095238095238093,0.44642857142857145,0.8035714285714286,0.8928571428571429,0.40476190476190477,0.9880952380952381,0.11904761904761904
grad_levelset,B-factorial: gradient + level-set,1.0,,1.0,1.0,1.0,0.7619047619047619,0.6785714285714286,1.0,0.8928571428571429,0.5773809523809523,0.05952380952380952,0.0,0.5595238095238095,0.6904761904761905,0.6964285714285714,0.7797619047619048,0.7202380952380952,0.7083333333333334,0.5297619047619048,0.7261904761904762,0.9761904761904762,0.24404761904761904
