method_id,display_name,metric,metric_family,direction,n_total,n_finite,n_missing,coverage_status,missing_reason
b_e2,Candidate B + repaired E2,psnruv,vector_uv,higher_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,ssim_speed,scalar_speed,higher_is_better,168,0,168,globally_unavailable_optional,unavailable_global_dependency
b_e2,Candidate B + repaired E2,speed_mae,scalar_speed,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,speed_rmse,scalar_speed,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,wpd_mae,wind_power_distribution,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,wpd_w1,wind_power_distribution,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,wpd_bias_abs,wind_power_distribution,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,grad_mae,gradient_distribution,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,grad_w1,gradient_distribution,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,psd_log_l2,frequency_domain,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,psd_slope_abs_delta,frequency_domain,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,exceed_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,exceed_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,exceed_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,exceed_abs_p90,threshold_geometry,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,comp_curve_l1,threshold_geometry,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,comp_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,comp_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,comp_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,pd_distance,topology_pd,lower_is_better,168,168,0,complete,
b_e2,Candidate B + repaired E2,mt_distance,topology_mt,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,psnruv,vector_uv,higher_is_better,168,168,0,complete,
bicubic,Bicubic baseline,ssim_speed,scalar_speed,higher_is_better,168,0,168,globally_unavailable_optional,unavailable_global_dependency
bicubic,Bicubic baseline,speed_mae,scalar_speed,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,speed_rmse,scalar_speed,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,wpd_mae,wind_power_distribution,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,wpd_w1,wind_power_distribution,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,wpd_bias_abs,wind_power_distribution,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,grad_mae,gradient_distribution,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,grad_w1,gradient_distribution,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,psd_log_l2,frequency_domain,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,psd_slope_abs_delta,frequency_domain,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,exceed_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,exceed_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,exceed_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,exceed_abs_p90,threshold_geometry,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,comp_curve_l1,threshold_geometry,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,comp_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,comp_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,comp_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
bicubic,Bicubic baseline,pd_distance,topology_pd,lower_is_better,168,0,168,absent,no_source_artifact
bicubic,Bicubic baseline,mt_distance,topology_mt,lower_is_better,168,0,168,absent,no_source_artifact
c_e2,Candidate C + repaired E2,psnruv,vector_uv,higher_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,ssim_speed,scalar_speed,higher_is_better,168,0,168,globally_unavailable_optional,unavailable_global_dependency
c_e2,Candidate C + repaired E2,speed_mae,scalar_speed,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,speed_rmse,scalar_speed,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,wpd_mae,wind_power_distribution,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,wpd_w1,wind_power_distribution,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,wpd_bias_abs,wind_power_distribution,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,grad_mae,gradient_distribution,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,grad_w1,gradient_distribution,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,psd_log_l2,frequency_domain,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,psd_slope_abs_delta,frequency_domain,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,exceed_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,exceed_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,exceed_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,exceed_abs_p90,threshold_geometry,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,comp_curve_l1,threshold_geometry,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,comp_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,comp_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,comp_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,pd_distance,topology_pd,lower_is_better,168,168,0,complete,
c_e2,Candidate C + repaired E2,mt_distance,topology_mt,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),psnruv,vector_uv,higher_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),ssim_speed,scalar_speed,higher_is_better,168,0,168,globally_unavailable_optional,unavailable_global_dependency
candidate_b,Candidate B (full scalar-field proxy scaffold),speed_mae,scalar_speed,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),speed_rmse,scalar_speed,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),wpd_mae,wind_power_distribution,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),wpd_w1,wind_power_distribution,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),wpd_bias_abs,wind_power_distribution,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),grad_mae,gradient_distribution,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),grad_w1,gradient_distribution,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),psd_log_l2,frequency_domain,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),psd_slope_abs_delta,frequency_domain,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),exceed_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),exceed_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),exceed_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),exceed_abs_p90,threshold_geometry,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),comp_curve_l1,threshold_geometry,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),comp_abs_t5,threshold_geometry,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),comp_abs_t10,threshold_geometry,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),comp_abs_t15,threshold_geometry,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),pd_distance,topology_pd,lower_is_better,168,168,0,complete,
candidate_b,Candidate B (full scalar-field proxy scaffold),mt_distance,topology_mt,lower_is_better,168,168,0,complete,
candidate_c,Candidate C (Candidate B + local-maxima proxy),psnruv,vector_uv,higher_is_better,168,168,0,complete,
candidate_c,Candidate C (Candidate B + local-maxima proxy),ssim_speed,scalar_speed,higher_is_better,168,0,168,globally_unavailable_optional,unavailable_global_dependency
candidate_c,Candidate C (Candidate B + local-maxima proxy),speed_mae,scalar_speed,lower_is_better,168,168,0,complete,
