method_id,metric,field,phase1_value,phase2a_recomputed_value,absolute_difference,status
b_e2,psnruv,cnn_mean,31.192500433861134,31.192500433861134,0.0,PASS
b_e2,psnruv,candidate_mean,32.68894034404412,32.68894034404409,2.842170943040401e-14,PASS
b_e2,psnruv,mean_raw_delta,1.4964399101829775,1.4964399101829777,2.220446049250313e-16,PASS
b_e2,psnruv,mean_improvement_delta,1.4964399101829775,1.4964399101829777,2.220446049250313e-16,PASS
b_e2,psnruv,median_improvement_delta,1.5858834516708598,1.5858834516708598,0.0,PASS
b_e2,psnruv,n_improved,168,168,0.0,PASS
b_e2,psnruv,n_worsened,0,0,0.0,PASS
b_e2,psnruv,n_tied,0,0,0.0,PASS
b_e2,psnruv,n_valid,168,168,0.0,PASS
b_e2,ssim_speed,cnn_mean,,,,PASS
b_e2,ssim_speed,candidate_mean,,,,PASS
b_e2,ssim_speed,mean_raw_delta,,,,PASS
b_e2,ssim_speed,mean_improvement_delta,,,,PASS
b_e2,ssim_speed,median_improvement_delta,,,,PASS
b_e2,ssim_speed,n_improved,,,,PASS
b_e2,ssim_speed,n_worsened,,,,PASS
b_e2,ssim_speed,n_tied,,,,PASS
b_e2,ssim_speed,n_valid,0,0,0.0,PASS
b_e2,speed_mae,cnn_mean,0.6940701629397319,0.6940701629397316,3.3306690738754696e-16,PASS
b_e2,speed_mae,candidate_mean,0.5684218234352497,0.5684218234352498,1.1102230246251565e-16,PASS
b_e2,speed_mae,mean_raw_delta,-0.12564833950448212,-0.12564833950448215,2.7755575615628914e-17,PASS
b_e2,speed_mae,mean_improvement_delta,0.12564833950448212,0.12564833950448215,2.7755575615628914e-17,PASS
b_e2,speed_mae,median_improvement_delta,0.1218462958690496,0.1218462958690496,0.0,PASS
b_e2,speed_mae,n_improved,168,168,0.0,PASS
b_e2,speed_mae,n_worsened,0,0,0.0,PASS
b_e2,speed_mae,n_tied,0,0,0.0,PASS
b_e2,speed_mae,n_valid,168,168,0.0,PASS
b_e2,speed_rmse,cnn_mean,1.1077586003651096,1.1077586003651088,8.881784197001252e-16,PASS
b_e2,speed_rmse,candidate_mean,0.9629228498438168,0.9629228498438172,3.3306690738754696e-16,PASS
b_e2,speed_rmse,mean_raw_delta,-0.14483575052129283,-0.14483575052129283,0.0,PASS
b_e2,speed_rmse,mean_improvement_delta,0.14483575052129283,0.14483575052129283,0.0,PASS
b_e2,speed_rmse,median_improvement_delta,0.133559956749573,0.133559956749573,0.0,PASS
b_e2,speed_rmse,n_improved,168,168,0.0,PASS
b_e2,speed_rmse,n_worsened,0,0,0.0,PASS
b_e2,speed_rmse,n_tied,0,0,0.0,PASS
b_e2,speed_rmse,n_valid,168,168,0.0,PASS
b_e2,wpd_mae,cnn_mean,231.67091095165674,231.67091095165674,0.0,PASS
b_e2,wpd_mae,candidate_mean,183.41701014952937,183.41701014952932,5.684341886080802e-14,PASS
b_e2,wpd_mae,mean_raw_delta,-48.253900802127376,-48.253900802127376,0.0,PASS
b_e2,wpd_mae,mean_improvement_delta,48.253900802127376,48.253900802127376,0.0,PASS
b_e2,wpd_mae,median_improvement_delta,42.5262496371341,42.5262496371341,0.0,PASS
b_e2,wpd_mae,n_improved,168,168,0.0,PASS
b_e2,wpd_mae,n_worsened,0,0,0.0,PASS
b_e2,wpd_mae,n_tied,0,0,0.0,PASS
b_e2,wpd_mae,n_valid,168,168,0.0,PASS
b_e2,wpd_w1,cnn_mean,45.27127092112853,45.271270921128526,7.105427357601002e-15,PASS
b_e2,wpd_w1,candidate_mean,16.08684255251199,16.08684255251199,0.0,PASS
b_e2,wpd_w1,mean_raw_delta,-29.184428368616544,-29.184428368616565,2.1316282072803006e-14,PASS
b_e2,wpd_w1,mean_improvement_delta,29.184428368616544,29.184428368616565,2.1316282072803006e-14,PASS
b_e2,wpd_w1,median_improvement_delta,29.935676982496105,29.935676982496105,0.0,PASS
b_e2,wpd_w1,n_improved,157,157,0.0,PASS
b_e2,wpd_w1,n_worsened,11,11,0.0,PASS
b_e2,wpd_w1,n_tied,0,0,0.0,PASS
b_e2,wpd_w1,n_valid,168,168,0.0,PASS
b_e2,wpd_bias_abs,cnn_mean,35.343902938857745,35.343902938857745,0.0,PASS
b_e2,wpd_bias_abs,candidate_mean,12.68513175597048,12.685131755970483,3.552713678800501e-15,PASS
b_e2,wpd_bias_abs,mean_raw_delta,-22.658771182887268,-22.65877118288727,3.552713678800501e-15,PASS
b_e2,wpd_bias_abs,mean_improvement_delta,22.658771182887268,22.65877118288727,3.552713678800501e-15,PASS
b_e2,wpd_bias_abs,median_improvement_delta,23.263788078080584,23.263788078080584,0.0,PASS
b_e2,wpd_bias_abs,n_improved,140,140,0.0,PASS
b_e2,wpd_bias_abs,n_worsened,28,28,0.0,PASS
b_e2,wpd_bias_abs,n_tied,0,0,0.0,PASS
b_e2,wpd_bias_abs,n_valid,168,168,0.0,PASS
b_e2,grad_mae,cnn_mean,0.3490557204526641,0.3490557204526642,1.1102230246251565e-16,PASS
b_e2,grad_mae,candidate_mean,0.3120032967125004,0.31200329671250043,5.551115123125783e-17,PASS
b_e2,grad_mae,mean_raw_delta,-0.037052423740163744,-0.037052423740163765,2.0816681711721685e-17,PASS
b_e2,grad_mae,mean_improvement_delta,0.037052423740163744,0.037052423740163765,2.0816681711721685e-17,PASS
b_e2,grad_mae,median_improvement_delta,0.03774108392187264,0.03774108392187264,0.0,PASS
b_e2,grad_mae,n_improved,168,168,0.0,PASS
b_e2,grad_mae,n_worsened,0,0,0.0,PASS
b_e2,grad_mae,n_tied,0,0,0.0,PASS
b_e2,grad_mae,n_valid,168,168,0.0,PASS
