sample_idx,metric,method_id,observed_value,reconstructed_value,absolute_difference,status
0,psnruv,uv,34.74772310286258,34.74772310286257,7.105427357601002e-15,PASS
1,psnruv,uv,34.766129376282294,34.766129376282294,0.0,PASS
2,psnruv,uv,34.5062382062704,34.5062382062704,0.0,PASS
3,psnruv,uv,34.450990883366956,34.45099088336695,7.105427357601002e-15,PASS
4,psnruv,uv,33.990689710204315,33.99068971020432,7.105427357601002e-15,PASS
5,psnruv,uv,34.04809725253967,34.04809725253968,7.105427357601002e-15,PASS
6,psnruv,uv,34.22478259675854,34.22478259675855,1.4210854715202004e-14,PASS
7,psnruv,uv,33.86476745112154,33.86476745112154,0.0,PASS
8,psnruv,uv,34.14045088690312,34.14045088690311,7.105427357601002e-15,PASS
9,psnruv,uv,34.17661899390155,34.17661899390155,0.0,PASS
10,psnruv,uv,34.58779412526263,34.58779412526261,2.1316282072803006e-14,PASS
11,psnruv,uv,34.412276082470754,34.41227608247077,1.4210854715202004e-14,PASS
12,psnruv,uv,34.02262698603773,34.02262698603773,0.0,PASS
13,psnruv,uv,32.92929439133092,32.92929439133091,7.105427357601002e-15,PASS
14,psnruv,uv,33.301665303990745,33.301665303990745,0.0,PASS
15,psnruv,uv,34.179704252385356,34.17970425238535,7.105427357601002e-15,PASS
16,psnruv,uv,35.18992556477706,35.18992556477706,0.0,PASS
17,psnruv,uv,35.648136406572235,35.648136406572235,0.0,PASS
18,psnruv,uv,36.09624657621608,36.096246576216075,7.105427357601002e-15,PASS
19,psnruv,uv,36.0907013371288,36.09070133712879,7.105427357601002e-15,PASS
20,psnruv,uv,36.00380374803936,36.00380374803936,0.0,PASS
21,psnruv,uv,36.11763883018532,36.117638830185314,7.105427357601002e-15,PASS
22,psnruv,uv,35.66015266999092,35.660152669990914,7.105427357601002e-15,PASS
23,psnruv,uv,35.63452727989561,35.63452727989559,1.4210854715202004e-14,PASS
24,psnruv,uv,35.61197051036358,35.611970510363584,7.105427357601002e-15,PASS
25,psnruv,uv,35.547990217931364,35.54799021793136,7.105427357601002e-15,PASS
26,psnruv,uv,35.63863103896513,35.63863103896512,7.105427357601002e-15,PASS
27,psnruv,uv,35.60408347652444,35.60408347652444,0.0,PASS
28,psnruv,uv,35.42405833300235,35.42405833300235,0.0,PASS
29,psnruv,uv,35.60280951031444,35.602809510314444,7.105427357601002e-15,PASS
30,psnruv,uv,35.7743303629662,35.7743303629662,0.0,PASS
31,psnruv,uv,35.59157646241019,35.591576462410195,7.105427357601002e-15,PASS
32,psnruv,uv,35.65094841327619,35.65094841327619,0.0,PASS
33,psnruv,uv,35.51647441528135,35.51647441528136,7.105427357601002e-15,PASS
34,psnruv,uv,35.35495829955815,35.35495829955814,7.105427357601002e-15,PASS
35,psnruv,uv,34.883706725902144,34.88370672590214,7.105427357601002e-15,PASS
36,psnruv,uv,34.66094534527827,34.66094534527828,7.105427357601002e-15,PASS
37,psnruv,uv,34.48231915521756,34.482319155217574,1.4210854715202004e-14,PASS
38,psnruv,uv,35.59610435750064,35.59610435750064,0.0,PASS
39,psnruv,uv,36.57321835369296,36.57321835369295,7.105427357601002e-15,PASS
40,psnruv,uv,37.39629841393382,37.396298413933835,1.4210854715202004e-14,PASS
41,psnruv,uv,37.68940693675408,37.68940693675408,0.0,PASS
