sample_idx,metric,metric_family,direction,effect_id,effect_order,factors,raw_regression_coefficient,raw_factorial_effect,oriented_regression_coefficient,oriented_factorial_effect
0,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01199346937351553,0.02398693874703106,0.01199346937351553,0.02398693874703106
1,psnruv,vector_uv,higher_is_better,speed,1,speed,0.016924662958418324,0.03384932591683665,0.016924662958418324,0.03384932591683665
2,psnruv,vector_uv,higher_is_better,speed,1,speed,0.018705750575174207,0.037411501150348414,0.018705750575174207,0.037411501150348414
3,psnruv,vector_uv,higher_is_better,speed,1,speed,0.017984117498881957,0.035968234997763915,0.017984117498881957,0.035968234997763915
4,psnruv,vector_uv,higher_is_better,speed,1,speed,0.020154318709118435,0.04030863741823687,0.020154318709118435,0.04030863741823687
5,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02093911131450721,0.04187822262901442,0.02093911131450721,0.04187822262901442
6,psnruv,vector_uv,higher_is_better,speed,1,speed,0.02009562355052008,0.04019124710104016,0.02009562355052008,0.04019124710104016
7,psnruv,vector_uv,higher_is_better,speed,1,speed,0.016947027651323054,0.03389405530264611,0.016947027651323054,0.03389405530264611
8,psnruv,vector_uv,higher_is_better,speed,1,speed,0.016059380772469822,0.032118761544939645,0.016059380772469822,0.032118761544939645
9,psnruv,vector_uv,higher_is_better,speed,1,speed,0.018001642665076645,0.03600328533015329,0.018001642665076645,0.03600328533015329
10,psnruv,vector_uv,higher_is_better,speed,1,speed,0.018839543282362037,0.037679086564724074,0.018839543282362037,0.037679086564724074
11,psnruv,vector_uv,higher_is_better,speed,1,speed,0.019087602521892677,0.038175205043785354,0.019087602521892677,0.038175205043785354
12,psnruv,vector_uv,higher_is_better,speed,1,speed,0.01764762484078375,0.0352952496815675,0.01764762484078375,0.0352952496815675
13,psnruv,vector_uv,higher_is_better,speed,1,speed,0.017033476556662208,0.034066953113324416,0.017033476556662208,0.034066953113324416
14,psnruv,vector_uv,higher_is_better,speed,1,speed,0.015863002538186954,0.03172600507637391,0.015863002538186954,0.03172600507637391
