sample_idx,metric,metric_family,direction,effect_id,effect_order,factors,raw_regression_coefficient,raw_factorial_effect,oriented_regression_coefficient,oriented_factorial_effect
0,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.021918005445073163,-0.043836010890146326,-0.021918005445073163,-0.043836010890146326
1,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.012990834976879029,-0.025981669953758058,-0.012990834976879029,-0.025981669953758058
2,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.013728263249628725,-0.02745652649925745,-0.013728263249628725,-0.02745652649925745
3,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.015085913793365435,-0.03017182758673087,-0.015085913793365435,-0.03017182758673087
4,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.013489117213339341,-0.026978234426678682,-0.013489117213339341,-0.026978234426678682
5,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.016415647132467015,-0.03283129426493403,-0.016415647132467015,-0.03283129426493403
6,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.00890492212076488,-0.01780984424152976,-0.00890492212076488,-0.01780984424152976
7,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.012730359767525457,-0.025460719535050913,-0.012730359767525457,-0.025460719535050913
8,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.011632235679154945,-0.02326447135830989,-0.011632235679154945,-0.02326447135830989
9,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.012072502391404782,-0.024145004782809565,-0.012072502391404782,-0.024145004782809565
10,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.01253192693608618,-0.02506385387217236,-0.01253192693608618,-0.02506385387217236
11,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.005988645172021023,-0.011977290344042046,-0.005988645172021023,-0.011977290344042046
12,psnruv,vector_uv,higher_is_better,crit,1,crit,-0.007602050066866539,-0.015204100133733078,-0.007602050066866539,-0.015204100133733078
