metric,metric_family,direction,effect_id,effect_order,factors,n_valid,mean_raw_factorial_effect,median_raw_factorial_effect,mean_oriented_factorial_effect,median_oriented_factorial_effect,oriented_effect_standard_deviation,oriented_effect_standard_error,iid_bootstrap_ci95_low,iid_bootstrap_ci95_high,block6_bootstrap_ci95_low,block6_bootstrap_ci95_high,block12_bootstrap_ci95_low,block12_bootstrap_ci95_high,block24_bootstrap_ci95_low,block24_bootstrap_ci95_high,positive_count,zero_count,negative_count,positive_rate,zero_rate,negative_rate,paired_effect_size_dz,sign_test_p_raw,wilcoxon_p_raw,test_status
psnruv,vector_uv,higher_is_better,levelset,1,levelset,168,0.08742531809740448,0.08915150967642838,0.08742531809740448,0.08915150967642838,0.023679761901532412,0.0018269332938555833,0.08377438990547194,0.09093626774490608,0.07897212667548419,0.09568392247985708,0.07642585083597889,0.09817027302431698,0.07417287958251773,0.10100115385516953,168,0,0,1.0,0.0,0.0,3.69198467708186,5.345529420184391e-51,2.546826342812208e-29,sign_test=ok; wilcoxon=ok
psnruv,vector_uv,higher_is_better,e2,1,e2,168,-0.8810204733784804,-0.8732203498739901,-0.8810204733784804,-0.8732203498739901,0.10381488133842462,0.008009491983217988,-0.8964152661750502,-0.8655037270545155,-0.9153982618647264,-0.8490921427457795,-0.9254353485241931,-0.8454840907187771,-0.928449742266606,-0.8437936536417497,0,0,168,0.0,0.0,1.0,-8.486456488896371,5.345529420184391e-51,2.546826342812208e-29,sign_test=ok; wilcoxon=ok
psnruv,vector_uv,higher_is_better,levelset:e2,2,"levelset,e2",168,-0.006121544475255549,-0.0072723238529528444,-0.006121544475255549,-0.0072723238529528444,0.011113995823673676,0.0008574633935287735,-0.007791131074903588,-0.004473755734334521,-0.009907976948183215,-0.002446072985232927,-0.010808479229297419,-0.0014197290879855138,-0.011636677667567015,-0.0006861338540981934,52,0,116,0.30952380952380953,0.0,0.6904761904761905,-0.5507960028396073,8.73914118940249e-07,5.573187196304776e-10,sign_test=ok; wilcoxon=ok
ssim_speed,scalar_speed,higher_is_better,levelset,1,levelset,0,,,,,,,,,,,,,,,0,0,0,,,,,,,no_valid_data
ssim_speed,scalar_speed,higher_is_better,e2,1,e2,0,,,,,,,,,,,,,,,0,0,0,,,,,,,no_valid_data
ssim_speed,scalar_speed,higher_is_better,levelset:e2,2,"levelset,e2",0,,,,,,,,,,,,,,,0,0,0,,,,,,,no_valid_data
speed_mae,scalar_speed,lower_is_better,levelset,1,levelset,168,-0.01057313856216038,-0.010802247309669943,0.01057313856216038,0.010802247309669943,0.002700549251637022,0.0002083518981326064,0.010165198817943132,0.010984603429002406,0.009616001548594339,0.011543513336366842,0.009329374362957134,0.011831150374064398,0.009046613514252792,0.01213830549560026,168,0,0,1.0,0.0,0.0,3.9151807935926897,5.345529420184391e-51,2.546826342812208e-29,sign_test=ok; wilcoxon=ok
speed_mae,scalar_speed,lower_is_better,e2,1,e2,168,0.060792764385781156,0.06177267585983995,-0.060792764385781156,-0.06177267585983995,0.01177991799218448,0.0009088404042363924,-0.06257961114966591,-0.05904330592979109,-0.06457096766553706,-0.056979359654113104,-0.0650892473710248,-0.056589929771510616,-0.064658953745527,-0.056738580623643134,0,0,168,0.0,0.0,1.0,-5.160712020755561,5.345529420184391e-51,2.546826342812208e-29,sign_test=ok; wilcoxon=ok
speed_mae,scalar_speed,lower_is_better,levelset:e2,2,"levelset,e2",168,-0.0005383336269642979,-0.0004848452624997557,0.0005383336269642979,0.0004848452624997557,0.0011471810439512894,8.850693904734688e-05,0.0003650687544785802,0.0007081949802137671,0.0001400748325656995,0.0009329556034545604,2.265690581559182e-05,0.0010604605313402162,-4.083144286910059e-05,0.001129572368853214,112,0,56,0.6666666666666666,0.0,0.3333333333333333,0.4692664944236615,1.8638787920586882e-05,1.1228056924052802e-07,sign_test=ok; wilcoxon=ok
speed_rmse,scalar_speed,lower_is_better,levelset,1,levelset,168,-0.01167896408500713,-0.011656535065010742,0.01167896408500713,0.011656535065010742,0.0036499281974289883,0.00028159807399219625,0.011122297761752154,0.01223189875553989,0.01034879178445503,0.012952662967499879,0.0099561064377442,0.013337735680242725,0.009539251266225452,0.01375956476730778,168,0,0,1.0,0.0,0.0,3.199779133527558,5.345529420184391e-51,2.546826342812208e-29,sign_test=ok; wilcoxon=ok
speed_rmse,scalar_speed,lower_is_better,e2,1,e2,168,0.09303931359928938,0.0934701670162352,-0.09303931359928938,-0.0934701670162352,0.019635640183049655,0.0015149225294474127,-0.09598904076800213,-0.09012925713811225,-0.09928121541692066,-0.08677829690986658,-0.09996036950435444,-0.08633175542772902,-0.097773000173917,-0.08766850514003523,0,0,168,0.0,0.0,1.0,-4.738287763064888,5.345529420184391e-51,2.546826342812208e-29,sign_test=ok; wilcoxon=ok
speed_rmse,scalar_speed,lower_is_better,levelset:e2,2,"levelset,e2",168,0.0002468219192785996,8.020549830045631e-05,-0.0002468219192785996,-8.020549830045631e-05,0.0013904490493623542,0.00010727547313410868,-0.00045609619838804836,-3.855385877841776e-05,-0.0007238280478148467,0.0001871096345552339,-0.0008414825461202685,0.00027875727045130325,-0.0009192268676339526,0.00032478323939064824,81,0,87,0.48214285714285715,0.0,0.5178571428571429,-0.17751237946603624,0.6997974882614125,0.1468536077152808,sign_test=ok; wilcoxon=ok
