sample_idx,metric,metric_family,direction,effect_id,effect_order,factors,raw_regression_coefficient,raw_factorial_effect,oriented_regression_coefficient,oriented_factorial_effect
0,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.021071092526394608,0.042142185052789216,0.021071092526394608,0.042142185052789216
1,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.02493389089715592,0.04986778179431184,0.02493389089715592,0.04986778179431184
2,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.024564564948315493,0.049129129896630985,0.024564564948315493,0.049129129896630985
3,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.021399005182805908,0.042798010365611816,0.021399005182805908,0.042798010365611816
4,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.024215115964745237,0.048430231929490475,0.024215115964745237,0.048430231929490475
5,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.026033611936052026,0.05206722387210405,0.026033611936052026,0.05206722387210405
6,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03201024636597083,0.06402049273194166,0.03201024636597083,0.06402049273194166
7,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03463539054657794,0.06927078109315588,0.03463539054657794,0.06927078109315588
8,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.035998886895214355,0.07199777379042871,0.035998886895214355,0.07199777379042871
9,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03647477246570752,0.07294954493141503,0.03647477246570752,0.07294954493141503
10,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04280075959728258,0.08560151919456516,0.04280075959728258,0.08560151919456516
11,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04265784930682237,0.08531569861364474,0.04265784930682237,0.08531569861364474
12,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04149503871575355,0.0829900774315071,0.04149503871575355,0.0829900774315071
13,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04427468904164655,0.0885493780832931,0.04427468904164655,0.0885493780832931
14,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04062609759921543,0.08125219519843085,0.04062609759921543,0.08125219519843085
15,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.042315607052794135,0.08463121410558827,0.042315607052794135,0.08463121410558827
16,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.046364547918551935,0.09272909583710387,0.046364547918551935,0.09272909583710387
17,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.052851023056373236,0.10570204611274647,0.052851023056373236,0.10570204611274647
18,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.051026154344661734,0.10205230868932347,0.051026154344661734,0.10205230868932347
19,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.05908189738768144,0.11816379477536287,0.05908189738768144,0.11816379477536287
20,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.0587858311448759,0.1175716622897518,0.0587858311448759,0.1175716622897518
21,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04995812181968873,0.09991624363937746,0.04995812181968873,0.09991624363937746
22,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.04415644450423706,0.08831288900847412,0.04415644450423706,0.08831288900847412
23,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03556998537575318,0.07113997075150635,0.03556998537575318,0.07113997075150635
24,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.038531815249013945,0.07706363049802789,0.038531815249013945,0.07706363049802789
25,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03408364204669567,0.06816728409339134,0.03408364204669567,0.06816728409339134
26,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03273896481919891,0.06547792963839782,0.03273896481919891,0.06547792963839782
27,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03530009112847132,0.07060018225694265,0.03530009112847132,0.07060018225694265
28,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.031614636197769386,0.06322927239553877,0.031614636197769386,0.06322927239553877
29,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.033573064561354116,0.06714612912270823,0.033573064561354116,0.06714612912270823
30,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.03154939629571274,0.06309879259142548,0.03154939629571274,0.06309879259142548
31,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.028675113313786582,0.057350226627573164,0.028675113313786582,0.057350226627573164
32,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.02707522752196212,0.05415045504392424,0.02707522752196212,0.05415045504392424
33,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.024700626976244422,0.049401253952488844,0.024700626976244422,0.049401253952488844
34,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.02275771257699688,0.04551542515399376,0.02275771257699688,0.04551542515399376
35,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.019866453918879756,0.03973290783775951,0.019866453918879756,0.03973290783775951
36,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.015826131674696597,0.031652263349393195,0.015826131674696597,0.031652263349393195
37,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.021159497310236475,0.04231899462047295,0.021159497310236475,0.04231899462047295
38,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.022821511718222,0.045643023436444,0.022821511718222,0.045643023436444
39,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.01671538768472658,0.03343077536945316,0.01671538768472658,0.03343077536945316
40,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.023276393492931646,0.04655278698586329,0.023276393492931646,0.04655278698586329
41,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.027990494638338248,0.055980989276676496,0.027990494638338248,0.055980989276676496
42,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.02887704273117464,0.05775408546234928,0.02887704273117464,0.05775408546234928
43,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.026173538609727487,0.052347077219454974,0.026173538609727487,0.052347077219454974
44,psnruv,vector_uv,higher_is_better,levelset,1,levelset,0.023507163243783324,0.04701432648756665,0.023507163243783324,0.04701432648756665
