metric_a,metric_b,correlation_type,n_methods,median,q25,q75,min,max,n_positive,n_negative,n_ci_excludes_zero_iid,n_ci_excludes_zero_block6,n_ci_excludes_zero_block12,n_ci_excludes_zero_block24,interpretation_level
pd_distance,psnruv,pearson,18,0.19405212727588497,0.0713196597637812,0.2276883642878978,-0.16342152429233156,0.27398996421056787,16,2,12,0,0,0,within_method_across_samples
pd_distance,psnruv,spearman,18,0.27377366990448515,0.12299365765510399,0.3091488198581704,-0.11502017098516408,0.34075551348697364,17,1,13,0,0,0,within_method_across_samples
pd_distance,speed_mae,pearson,18,0.7958929852333207,0.7663382449250183,0.8191151780460062,0.6830034165709629,0.8547708525300973,18,0,18,18,18,18,within_method_across_samples
pd_distance,speed_mae,spearman,18,0.849131407514641,0.8078492212531826,0.8673447694636087,0.6865828781996447,0.8794347062426289,18,0,18,18,18,18,within_method_across_samples
pd_distance,wpd_mae,pearson,18,0.809035044505237,0.7979142437528308,0.8164660530041208,0.7539162114653177,0.8533090921287368,18,0,18,18,18,18,within_method_across_samples
pd_distance,wpd_mae,spearman,18,0.7936434822662368,0.789446044512834,0.8120586806100394,0.7129494181543928,0.8537540304007369,18,0,18,18,18,18,within_method_across_samples
pd_distance,grad_mae,pearson,18,0.8036497208445785,0.7572916601834822,0.8113220948005885,0.6749070699107772,0.8410767365082616,18,0,18,18,18,18,within_method_across_samples
pd_distance,grad_mae,spearman,18,0.8432231057749252,0.7895953654820537,0.8608739832254342,0.7112081838014588,0.864743041389748,18,0,18,18,18,18,within_method_across_samples
pd_distance,psd_log_l2,pearson,18,0.6338951062569304,0.5825512416093404,0.6525263702611551,0.3127172937363625,0.6600427069077868,18,0,18,18,17,17,within_method_across_samples
pd_distance,psd_log_l2,spearman,18,0.6541713698553864,0.6051289222063059,0.682840995945556,0.4446474759694474,0.6934136798254716,18,0,18,18,18,17,within_method_across_samples
pd_distance,exceed_abs_p90,pearson,18,0.2878554979327792,0.18492623559910507,0.35684792036629265,0.04303313986257523,0.45463828940088924,18,0,16,9,10,10,within_method_across_samples
pd_distance,exceed_abs_p90,spearman,18,0.3377955242473364,0.18307599129864854,0.4673190652780038,0.015250995421034672,0.5940171453946028,18,0,16,10,10,9,within_method_across_samples
pd_distance,comp_curve_l1,pearson,18,0.280284942884604,0.2023020392324853,0.34273357261176157,0.10604545415011335,0.372061884214371,18,0,18,14,12,13,within_method_across_samples
pd_distance,comp_curve_l1,spearman,18,0.34618542934274554,0.27234023287309517,0.43396022794758077,0.13376308001594575,0.47388435088839,18,0,17,13,13,13,within_method_across_samples
mt_distance,psnruv,pearson,18,-0.1512034043645554,-0.24176957773526978,-0.049336237973062975,-0.4070029533486818,0.05650356281990544,4,14,10,7,5,3,within_method_across_samples
mt_distance,psnruv,spearman,18,-0.17920924963820428,-0.26308836258168367,-0.06618209059480362,-0.42853852734092257,0.010328455515005492,3,15,9,4,3,2,within_method_across_samples
mt_distance,speed_mae,pearson,18,0.29104551722130023,0.22949337522931335,0.32869236268409435,0.10703326331025513,0.3867962125437803,18,0,17,8,5,5,within_method_across_samples
mt_distance,speed_mae,spearman,18,0.23154747141389243,0.18886986273771122,0.28350484154261213,0.10501566604744864,0.37020464565374744,18,0,15,7,4,5,within_method_across_samples
mt_distance,wpd_mae,pearson,18,0.25244856577281466,0.220734350587827,0.28585594061719316,0.1695821705385995,0.45318472127261483,18,0,18,2,0,0,within_method_across_samples
mt_distance,wpd_mae,spearman,18,0.16525528824008787,0.14113868627917453,0.24367726929910255,0.07816826195453556,0.31135193687013124,18,0,9,0,0,0,within_method_across_samples
mt_distance,grad_mae,pearson,18,0.2931439009417819,0.25873301235115215,0.36031511407589667,0.15546476120705818,0.4098984081012363,18,0,17,10,6,6,within_method_across_samples
mt_distance,grad_mae,spearman,18,0.24453839573600053,0.2070493417223035,0.30958349573043265,0.14700269790090148,0.39575371657361524,18,0,17,7,4,5,within_method_across_samples
mt_distance,psd_log_l2,pearson,18,0.20858632998037785,0.17125397365846004,0.25778952709897773,-0.04594521534400163,0.3201122565312611,17,1,17,6,2,2,within_method_across_samples
mt_distance,psd_log_l2,spearman,18,0.20150864796189533,0.18182611952763955,0.23183472446484885,-0.008465739695587692,0.2882147792327433,17,1,16,3,1,1,within_method_across_samples
mt_distance,exceed_abs_p90,pearson,18,-0.01805378359449173,-0.08879870384083813,0.055659583491274145,-0.27740742349091607,0.18456244383050413,9,9,4,2,2,2,within_method_across_samples
mt_distance,exceed_abs_p90,spearman,18,-0.0036393936021298784,-0.09065725519873175,0.09574980758586653,-0.3182988997683097,0.164759447410612,8,10,4,2,2,2,within_method_across_samples
mt_distance,comp_curve_l1,pearson,18,0.0476072130972581,-0.010047993817593102,0.113442887272058,-0.07483549617783551,0.20144315229680376,12,6,4,0,0,0,within_method_across_samples
mt_distance,comp_curve_l1,spearman,18,0.06307176414598574,0.014339375062448171,0.1463870552929088,-0.05098152115534084,0.23303135642500258,15,3,4,0,0,0,within_method_across_samples
pd_distance,mt_distance,pearson,18,0.3883489179739167,0.37094137789387344,0.4326655661426249,0.3306438965223637,0.6301584531645484,18,0,18,12,8,10,within_method_across_samples
pd_distance,mt_distance,spearman,18,0.29908230875527053,0.25301425888712853,0.33205756702993,0.2295493543766229,0.47778407681678065,18,0,18,11,5,6,within_method_across_samples
