metric_a,metric_b,n_common_methods,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,loo_pearson_min,loo_pearson_max,loo_spearman_min,loo_spearman_max,pearson_sign_stable,spearman_sign_stable,interpretation_level
psnruv,speed_mae,19,-0.9937851123647267,-0.9842105263157894,0.9937851123647267,0.9842105263157894,0.9935583961062973,0.9957081175340939,0.9814241486068112,0.9938080495356038,True,True,between_method_means
psnruv,speed_rmse,19,-0.997701198487238,-0.9859649122807017,0.997701198487238,0.9859649122807017,0.997660159022253,0.9989756244239748,0.9834881320949432,0.9958720330237358,True,True,between_method_means
psnruv,wpd_mae,19,-0.989869250958862,-0.9842105263157894,0.989869250958862,0.9842105263157894,0.989095817068951,0.9922438162319296,0.9814241486068112,0.9938080495356038,True,True,between_method_means
psnruv,wpd_w1,19,-0.7032178705580019,-0.017543859649122806,0.7032178705580019,0.017543859649122806,0.21578517936137004,0.7439337527908059,-0.15583075335397317,0.09184726522187822,True,False,between_method_means
psnruv,wpd_bias_abs,19,-0.761534606119215,-0.17719298245614035,0.761534606119215,0.17719298245614035,0.2896970592247731,0.8013397946685308,0.03199174406604747,0.2755417956656347,True,True,between_method_means
psnruv,grad_mae,19,-0.7531488382487962,-0.06666666666666667,0.7531488382487962,0.06666666666666667,0.48417266516376833,0.8132311467795516,-0.09803921568627451,0.14963880288957687,True,False,between_method_means
psnruv,grad_w1,19,0.525686899301416,0.5807017543859649,-0.525686899301416,-0.5807017543859649,-0.7285087759592014,-0.12214716645533373,-0.8121775025799793,-0.5067079463364293,True,True,between_method_means
psnruv,grad_kurtosis_abs_delta,19,0.07307530142257909,0.1736842105263158,-0.07307530142257909,-0.1736842105263158,-0.1855709807180041,-0.001813939243128733,-0.3539731682146543,-0.07533539731682147,True,True,between_method_means
psnruv,psd_log_l2,19,0.6537680208013178,0.7403508771929824,-0.6537680208013178,-0.7403508771929824,-0.8870770034141746,-0.37547402217435283,-0.9793601651186791,-0.6945304437564499,True,True,between_method_means
psnruv,psd_slope_abs_delta,19,0.6615235608014473,0.6298245614035087,-0.6615235608014473,-0.6298245614035087,-0.8152299131002976,-0.5820360785580884,-0.8452012383900929,-0.56656346749226,True,True,between_method_means
psnruv,exceed_abs_t5,19,-0.06437585701912554,0.29473684210526313,0.06437585701912554,-0.29473684210526313,-0.36054846244573036,0.11776574719954017,-0.5190918472652218,-0.2549019607843137,False,True,between_method_means
psnruv,exceed_abs_t10,19,-0.7824037222056797,-0.11754385964912281,0.7824037222056797,0.11754385964912281,0.18212294186998532,0.8237620985815887,-0.038183694530443756,0.17647058823529413,True,False,between_method_means
psnruv,exceed_abs_t15,19,-0.6254567225579117,-0.02631578947368421,0.6254567225579117,0.02631578947368421,0.2184165286192593,0.6810656104808177,-0.14551083591331268,0.1021671826625387,True,False,between_method_means
psnruv,exceed_abs_p90,19,-0.5982219548437435,-0.06140350877192982,0.5982219548437435,0.06140350877192982,0.3153378417689894,0.657467379630718,-0.1042311661506708,0.1434468524251806,True,False,between_method_means
psnruv,comp_curve_l1,19,0.09543130816078631,0.4368421052631579,-0.09543130816078631,-0.4368421052631579,-0.2753086044797313,-0.047609252142082385,-0.6635706914344686,-0.37048503611971106,True,True,between_method_means
psnruv,comp_abs_t5,19,0.6746175085941885,0.5649122807017544,-0.6746175085941885,-0.5649122807017544,-0.8137856094992004,-0.16481641698273608,-0.7915376676986584,-0.48813209494324045,True,True,between_method_means
psnruv,comp_abs_t10,19,0.6703874707088698,0.631578947368421,-0.6703874707088698,-0.631578947368421,-0.8389763528182412,-0.30419896111524813,-0.8637770897832817,-0.56656346749226,True,True,between_method_means
psnruv,comp_abs_t15,19,-0.08006833141739658,0.2982456140350877,0.08006833141739658,-0.2982456140350877,-0.2616835084800923,0.1325761635824547,-0.5232198142414861,-0.24458204334365324,False,True,between_method_means
psnruv,pd_distance,18,0.3985025643599667,0.47368421052631576,-0.3985025643599667,-0.47368421052631576,-0.5129477895231571,-0.215668374474014,-0.5367647058823529,-0.375,True,True,between_method_means
psnruv,mt_distance,18,-0.6590712224967269,0.3126934984520124,0.6590712224967269,-0.3126934984520124,-0.527122945878498,0.7427455633762187,-0.5588235294117647,-0.2426470588235294,False,True,between_method_means
speed_mae,speed_rmse,19,0.9973493258215576,0.9964912280701754,0.9973493258215576,0.9964912280701754,0.9930605911211299,0.9985745366864456,0.9958720330237358,0.9979360165118679,True,True,between_method_means
speed_mae,wpd_mae,19,0.9992507754268277,1.0,0.9992507754268277,1.0,0.9980624398756461,0.9993955702123383,1.0,1.0,True,True,between_method_means
speed_mae,wpd_w1,19,0.7382442377658941,0.03859649122807018,0.7382442377658941,0.03859649122807018,0.2241710121463493,0.7737719386777799,-0.13106295149638802,0.1021671826625387,True,False,between_method_means
speed_mae,wpd_bias_abs,19,0.7990087179691248,0.20701754385964913,0.7990087179691248,0.20701754385964913,0.304206938397082,0.8335978271500738,0.06707946336429309,0.29205366357069146,True,True,between_method_means
speed_mae,grad_mae,19,0.753874253761729,0.0824561403508772,0.753874253761729,0.0824561403508772,0.46462518437532113,0.8464156328032378,-0.07946336429308566,0.16821465428276575,True,False,between_method_means
