metric,psnruv,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
psnruv,1.0,0.9842105263157894,0.9859649122807017,0.9842105263157894,0.017543859649122806,0.17719298245614035,0.06666666666666667,-0.5807017543859649,-0.1736842105263158,-0.7403508771929824,-0.6298245614035087,-0.29473684210526313,0.11754385964912281,0.02631578947368421,0.06140350877192982,-0.4368421052631579,-0.5649122807017544,-0.631578947368421,-0.2982456140350877,-0.47368421052631576,-0.3126934984520124
speed_mae,0.9842105263157894,1.0,0.9964912280701754,1.0,0.03859649122807018,0.20701754385964913,0.0824561403508772,-0.5701754385964912,-0.17543859649122806,-0.7298245614035088,-0.624561403508772,-0.3087719298245614,0.13333333333333333,0.042105263157894736,0.07719298245614035,-0.43157894736842106,-0.5807017543859649,-0.6508771929824562,-0.2929824561403509,-0.4613003095975232,-0.29411764705882354
speed_rmse,0.9859649122807017,0.9964912280701754,1.0,0.9964912280701754,0.03508771929824561,0.20701754385964913,0.07368421052631578,-0.5736842105263158,-0.17543859649122806,-0.7315789473684211,-0.6175438596491228,-0.3157894736842105,0.1280701754385965,0.03859649122807018,0.07719298245614035,-0.43859649122807015,-0.5859649122807018,-0.6526315789473685,-0.3,-0.4674922600619195,-0.28586171310629516
wpd_mae,0.9842105263157894,1.0,0.9964912280701754,1.0,0.03859649122807018,0.20701754385964913,0.0824561403508772,-0.5701754385964912,-0.17543859649122806,-0.7298245614035088,-0.624561403508772,-0.3087719298245614,0.13333333333333333,0.042105263157894736,0.07719298245614035,-0.43157894736842106,-0.5807017543859649,-0.6508771929824562,-0.2929824561403509,-0.4613003095975232,-0.29411764705882354
wpd_w1,0.017543859649122806,0.03859649122807018,0.03508771929824561,0.03859649122807018,1.0,0.9596491228070175,0.724561403508772,0.5157894736842106,0.443859649122807,0.30701754385964913,0.3263157894736842,0.6877192982456141,0.8280701754385965,0.9701754385964912,0.9614035087719298,0.6701754385964912,0.38596491228070173,0.34385964912280703,0.7736842105263158,0.15583075335397317,0.434468524251806
wpd_bias_abs,0.17719298245614035,0.20701754385964913,0.20701754385964913,0.20701754385964913,0.9596491228070175,1.0,0.6491228070175439,0.34912280701754383,0.356140350877193,0.13333333333333333,0.24210526315789474,0.531578947368421,0.8350877192982457,0.9228070175438596,0.9350877192982456,0.4842105263157895,0.19824561403508772,0.15087719298245614,0.5964912280701754,0.07946336429308566,0.28173374613003094
grad_mae,0.06666666666666667,0.0824561403508772,0.07368421052631578,0.0824561403508772,0.724561403508772,0.6491228070175439,1.0,0.45964912280701753,0.8052631578947368,0.24385964912280703,0.02280701754385965,0.5719298245614035,0.5719298245614035,0.7333333333333333,0.743859649122807,0.712280701754386,0.44912280701754387,0.36666666666666664,0.7684210526315789,0.5562435500515995,0.04024767801857585
grad_w1,-0.5807017543859649,-0.5701754385964912,-0.5736842105263158,-0.5701754385964912,0.5157894736842106,0.34912280701754383,0.45964912280701753,1.0,0.5491228070175439,0.8964912280701754,0.7087719298245614,0.6,0.3280701754385965,0.5087719298245614,0.4614035087719298,0.8368421052631579,0.9508771929824561,0.9385964912280702,0.7175438596491228,0.630546955624355,0.2590299277605779
grad_kurtosis_abs_delta,-0.1736842105263158,-0.17543859649122806,-0.17543859649122806,-0.17543859649122806,0.443859649122807,0.356140350877193,0.8052631578947368,0.5491228070175439,1.0,0.45964912280701753,0.24912280701754386,0.6350877192982456,0.48947368421052634,0.3894736842105263,0.41578947368421054,0.7491228070175439,0.6350877192982456,0.5929824561403508,0.6754385964912281,0.675954592363261,-0.1475748194014448
psd_log_l2,-0.7403508771929824,-0.7298245614035088,-0.7315789473684211,-0.7298245614035088,0.30701754385964913,0.13333333333333333,0.24385964912280703,0.8964912280701754,0.45964912280701753,1.0,0.8701754385964913,0.6,0.15964912280701754,0.2964912280701754,0.24736842105263157,0.7543859649122807,0.8719298245614036,0.9228070175438596,0.6298245614035087,0.5067079463364293,0.32714138286893707
psd_slope_abs_delta,-0.6298245614035087,-0.624561403508772,-0.6175438596491228,-0.624561403508772,0.3263157894736842,0.24210526315789474,0.02280701754385965,0.7087719298245614,0.24912280701754386,0.8701754385964913,1.0,0.5719298245614035,0.2929824561403509,0.26842105263157895,0.21578947368421053,0.543859649122807,0.643859649122807,0.724561403508772,0.4543859649122807,0.28586171310629516,0.2631578947368421
exceed_abs_t5,-0.29473684210526313,-0.3087719298245614,-0.3157894736842105,-0.3087719298245614,0.6877192982456141,0.531578947368421,0.5719298245614035,0.6,0.6350877192982456,0.6,0.5719298245614035,1.0,0.7175438596491228,0.5964912280701754,0.5508771929824562,0.8491228070175438,0.6263157894736842,0.6614035087719298,0.8701754385964913,0.12899896800825594,0.4840041279669763
