objective_set,dominator,dominated
topology_only,b_e2,cnn
topology_only,b_e2,levelset_only
topology_only,b_e2,speed_levelset
topology_only,b_e2,speed_only
topology_only,b_e2,uv
topology_only,b_e2,uv_crit
topology_only,c_e2,cnn
topology_only,c_e2,levelset_only
topology_only,c_e2,speed_levelset
topology_only,c_e2,speed_only
topology_only,c_e2,uv
topology_only,c_e2,uv_crit
topology_only,candidate_b,speed_grad
topology_only,candidate_c,candidate_b
topology_only,candidate_c,grad_levelset
topology_only,candidate_c,speed_grad
topology_only,cnn,levelset_only
topology_only,cnn,speed_levelset
topology_only,cnn,speed_only
topology_only,cnn,uv
topology_only,f1_grad_e2,b_e2
topology_only,f1_grad_e2,c_e2
topology_only,f1_grad_e2,cnn
topology_only,f1_grad_e2,levelset_only
topology_only,f1_grad_e2,speed_levelset
topology_only,f1_grad_e2,speed_only
topology_only,f1_grad_e2,uv
topology_only,f1_grad_e2,uv_crit
topology_only,f2_grad_levelset_e2,b_e2
topology_only,f2_grad_levelset_e2,cnn
topology_only,f2_grad_levelset_e2,levelset_only
topology_only,f2_grad_levelset_e2,speed_levelset
topology_only,f2_grad_levelset_e2,speed_only
topology_only,f2_grad_levelset_e2,uv
topology_only,f2_grad_levelset_e2,uv_crit
topology_only,f3_grad_crit,candidate_b
topology_only,f3_grad_crit,candidate_c
topology_only,f3_grad_crit,grad_levelset
topology_only,f3_grad_crit,grad_only
topology_only,f3_grad_crit,levelset_only
topology_only,f3_grad_crit,speed_grad
topology_only,f3_grad_crit,speed_only
topology_only,f3_grad_crit,uv
topology_only,grad_levelset,speed_grad
topology_only,grad_only,speed_grad
topology_only,levelset_only,uv
topology_only,speed_levelset,levelset_only
topology_only,speed_levelset,speed_only
topology_only,speed_levelset,uv
topology_only,speed_only,levelset_only
topology_only,speed_only,uv
topology_only,uv_crit,levelset_only
topology_only,uv_crit,speed_levelset
topology_only,uv_crit,speed_only
topology_only,uv_crit,uv
topology_only,uv_e2,cnn
topology_only,uv_e2,levelset_only
topology_only,uv_e2,speed_levelset
topology_only,uv_e2,speed_only
topology_only,uv_e2,uv
topology_only,uv_e2,uv_crit
fidelity_physics_compact,b_e2,bicubic
fidelity_physics_compact,c_e2,bicubic
fidelity_physics_compact,candidate_b,bicubic
fidelity_physics_compact,candidate_c,bicubic
fidelity_physics_compact,f1_grad_e2,bicubic
fidelity_physics_compact,f1_grad_e2,cnn
fidelity_physics_compact,f2_grad_levelset_e2,bicubic
fidelity_physics_compact,f2_grad_levelset_e2,cnn
fidelity_physics_compact,f3_grad_crit,bicubic
fidelity_physics_compact,grad_levelset,bicubic
fidelity_physics_compact,grad_only,bicubic
fidelity_physics_compact,levelset_only,bicubic
fidelity_physics_compact,speed_grad,bicubic
fidelity_physics_compact,speed_levelset,bicubic
fidelity_physics_compact,speed_only,bicubic
fidelity_physics_compact,uv,bicubic
fidelity_physics_compact,uv_crit,bicubic
fidelity_physics_compact,uv_e2,bicubic
fidelity_topology,b_e2,cnn
fidelity_topology,c_e2,cnn
fidelity_topology,candidate_b,speed_grad
fidelity_topology,candidate_c,grad_levelset
fidelity_topology,candidate_c,speed_grad
fidelity_topology,f1_grad_e2,cnn
fidelity_topology,f2_grad_levelset_e2,cnn
fidelity_topology,speed_only,uv
fidelity_topology,uv_e2,cnn
physics_topology,f1_grad_e2,cnn
physics_topology,f2_grad_levelset_e2,cnn
physics_topology,speed_levelset,levelset_only
physics_topology,speed_levelset,speed_only
physics_topology,speed_levelset,uv
cross_family_compact,f1_grad_e2,cnn
cross_family_compact,f2_grad_levelset_e2,cnn
