objective_set,method_id,on_front
topology_only,b_e2,False
topology_only,c_e2,False
topology_only,candidate_b,False
topology_only,candidate_c,False
topology_only,cnn,False
topology_only,f1_grad_e2,True
topology_only,f2_grad_levelset_e2,True
topology_only,f3_grad_crit,True
topology_only,gan,True
topology_only,grad_levelset,False
topology_only,grad_only,False
topology_only,levelset_only,False
topology_only,speed_grad,False
topology_only,speed_levelset,False
topology_only,speed_only,False
topology_only,uv,False
topology_only,uv_crit,False
topology_only,uv_e2,True
fidelity_physics_compact,b_e2,True
fidelity_physics_compact,bicubic,False
fidelity_physics_compact,c_e2,True
fidelity_physics_compact,candidate_b,True
fidelity_physics_compact,candidate_c,True
fidelity_physics_compact,cnn,False
fidelity_physics_compact,f1_grad_e2,True
fidelity_physics_compact,f2_grad_levelset_e2,True
fidelity_physics_compact,f3_grad_crit,True
fidelity_physics_compact,gan,True
fidelity_physics_compact,grad_levelset,True
fidelity_physics_compact,grad_only,True
fidelity_physics_compact,levelset_only,True
fidelity_physics_compact,speed_grad,True
fidelity_physics_compact,speed_levelset,True
fidelity_physics_compact,speed_only,True
fidelity_physics_compact,uv,True
fidelity_physics_compact,uv_crit,True
fidelity_physics_compact,uv_e2,True
fidelity_topology,b_e2,True
fidelity_topology,c_e2,True
fidelity_topology,candidate_b,True
fidelity_topology,candidate_c,True
fidelity_topology,cnn,False
fidelity_topology,f1_grad_e2,True
fidelity_topology,f2_grad_levelset_e2,True
fidelity_topology,f3_grad_crit,True
fidelity_topology,gan,True
fidelity_topology,grad_levelset,False
fidelity_topology,grad_only,True
fidelity_topology,levelset_only,True
fidelity_topology,speed_grad,False
fidelity_topology,speed_levelset,True
fidelity_topology,speed_only,True
fidelity_topology,uv,False
fidelity_topology,uv_crit,True
fidelity_topology,uv_e2,True
physics_topology,b_e2,True
physics_topology,c_e2,True
physics_topology,candidate_b,True
physics_topology,candidate_c,True
physics_topology,cnn,False
physics_topology,f1_grad_e2,True
physics_topology,f2_grad_levelset_e2,True
physics_topology,f3_grad_crit,True
physics_topology,gan,True
physics_topology,grad_levelset,True
physics_topology,grad_only,True
physics_topology,levelset_only,False
physics_topology,speed_grad,True
physics_topology,speed_levelset,True
physics_topology,speed_only,False
physics_topology,uv,False
physics_topology,uv_crit,True
physics_topology,uv_e2,True
cross_family_compact,b_e2,True
cross_family_compact,c_e2,True
cross_family_compact,candidate_b,True
cross_family_compact,candidate_c,True
cross_family_compact,cnn,False
cross_family_compact,f1_grad_e2,True
cross_family_compact,f2_grad_levelset_e2,True
cross_family_compact,f3_grad_crit,True
cross_family_compact,gan,True
cross_family_compact,grad_levelset,True
cross_family_compact,grad_only,True
cross_family_compact,levelset_only,True
cross_family_compact,speed_grad,True
cross_family_compact,speed_levelset,True
cross_family_compact,speed_only,True
cross_family_compact,uv,True
cross_family_compact,uv_crit,True
cross_family_compact,uv_e2,True
all_available_non_ssim,b_e2,True
all_available_non_ssim,c_e2,True
all_available_non_ssim,candidate_b,True
all_available_non_ssim,candidate_c,True
all_available_non_ssim,cnn,True
all_available_non_ssim,f1_grad_e2,True
all_available_non_ssim,f2_grad_levelset_e2,True
all_available_non_ssim,f3_grad_crit,True
all_available_non_ssim,gan,True
all_available_non_ssim,grad_levelset,True
all_available_non_ssim,grad_only,True
all_available_non_ssim,levelset_only,True
all_available_non_ssim,speed_grad,True
all_available_non_ssim,speed_levelset,True
all_available_non_ssim,speed_only,True
all_available_non_ssim,uv,True
all_available_non_ssim,uv_crit,True
all_available_non_ssim,uv_e2,True
