objective_set,method_id,layer
topology_only,f1_grad_e2,0
topology_only,f2_grad_levelset_e2,0
topology_only,f3_grad_crit,0
topology_only,gan,0
topology_only,uv_e2,0
topology_only,b_e2,1
topology_only,c_e2,1
topology_only,candidate_c,1
topology_only,grad_only,1
topology_only,candidate_b,2
topology_only,cnn,2
topology_only,grad_levelset,2
topology_only,uv_crit,2
topology_only,speed_grad,3
topology_only,speed_levelset,3
topology_only,speed_only,4
topology_only,levelset_only,5
topology_only,uv,6
fidelity_physics_compact,b_e2,0
fidelity_physics_compact,c_e2,0
fidelity_physics_compact,candidate_b,0
fidelity_physics_compact,candidate_c,0
fidelity_physics_compact,f1_grad_e2,0
fidelity_physics_compact,f2_grad_levelset_e2,0
fidelity_physics_compact,f3_grad_crit,0
fidelity_physics_compact,gan,0
fidelity_physics_compact,grad_levelset,0
fidelity_physics_compact,grad_only,0
fidelity_physics_compact,levelset_only,0
fidelity_physics_compact,speed_grad,0
fidelity_physics_compact,speed_levelset,0
fidelity_physics_compact,speed_only,0
fidelity_physics_compact,uv,0
fidelity_physics_compact,uv_crit,0
fidelity_physics_compact,uv_e2,0
fidelity_physics_compact,bicubic,1
fidelity_physics_compact,cnn,1
fidelity_topology,b_e2,0
fidelity_topology,c_e2,0
fidelity_topology,candidate_b,0
fidelity_topology,candidate_c,0
fidelity_topology,f1_grad_e2,0
fidelity_topology,f2_grad_levelset_e2,0
fidelity_topology,f3_grad_crit,0
fidelity_topology,gan,0
fidelity_topology,grad_only,0
fidelity_topology,levelset_only,0
fidelity_topology,speed_levelset,0
fidelity_topology,speed_only,0
fidelity_topology,uv_crit,0
fidelity_topology,uv_e2,0
fidelity_topology,cnn,1
fidelity_topology,grad_levelset,1
fidelity_topology,speed_grad,1
fidelity_topology,uv,1
physics_topology,b_e2,0
physics_topology,c_e2,0
physics_topology,candidate_b,0
physics_topology,candidate_c,0
physics_topology,f1_grad_e2,0
physics_topology,f2_grad_levelset_e2,0
physics_topology,f3_grad_crit,0
physics_topology,gan,0
physics_topology,grad_levelset,0
physics_topology,grad_only,0
physics_topology,speed_grad,0
physics_topology,speed_levelset,0
physics_topology,uv_crit,0
physics_topology,uv_e2,0
physics_topology,cnn,1
physics_topology,levelset_only,1
physics_topology,speed_only,1
physics_topology,uv,1
cross_family_compact,b_e2,0
cross_family_compact,c_e2,0
cross_family_compact,candidate_b,0
cross_family_compact,candidate_c,0
cross_family_compact,f1_grad_e2,0
cross_family_compact,f2_grad_levelset_e2,0
cross_family_compact,f3_grad_crit,0
cross_family_compact,gan,0
cross_family_compact,grad_levelset,0
cross_family_compact,grad_only,0
cross_family_compact,levelset_only,0
cross_family_compact,speed_grad,0
cross_family_compact,speed_levelset,0
cross_family_compact,speed_only,0
cross_family_compact,uv,0
cross_family_compact,uv_crit,0
cross_family_compact,uv_e2,0
cross_family_compact,cnn,1
all_available_non_ssim,b_e2,0
all_available_non_ssim,c_e2,0
all_available_non_ssim,candidate_b,0
all_available_non_ssim,candidate_c,0
all_available_non_ssim,cnn,0
all_available_non_ssim,f1_grad_e2,0
all_available_non_ssim,f2_grad_levelset_e2,0
all_available_non_ssim,f3_grad_crit,0
all_available_non_ssim,gan,0
all_available_non_ssim,grad_levelset,0
all_available_non_ssim,grad_only,0
all_available_non_ssim,levelset_only,0
all_available_non_ssim,speed_grad,0
all_available_non_ssim,speed_levelset,0
all_available_non_ssim,speed_only,0
all_available_non_ssim,uv,0
all_available_non_ssim,uv_crit,0
all_available_non_ssim,uv_e2,0
