objective_set,objective,n_objectives_total,n_eligible_methods,is_sensitivity_analysis
topology_only,pd_distance,2,18,False
topology_only,mt_distance,2,18,False
fidelity_physics_compact,psnruv,7,19,False
fidelity_physics_compact,speed_mae,7,19,False
fidelity_physics_compact,wpd_mae,7,19,False
fidelity_physics_compact,grad_mae,7,19,False
fidelity_physics_compact,psd_log_l2,7,19,False
fidelity_physics_compact,exceed_abs_p90,7,19,False
fidelity_physics_compact,comp_curve_l1,7,19,False
fidelity_topology,psnruv,4,18,False
fidelity_topology,speed_mae,4,18,False
fidelity_topology,pd_distance,4,18,False
fidelity_topology,mt_distance,4,18,False
physics_topology,wpd_mae,7,18,False
physics_topology,grad_mae,7,18,False
physics_topology,psd_log_l2,7,18,False
physics_topology,exceed_abs_p90,7,18,False
physics_topology,comp_curve_l1,7,18,False
physics_topology,pd_distance,7,18,False
physics_topology,mt_distance,7,18,False
cross_family_compact,psnruv,9,18,False
cross_family_compact,speed_mae,9,18,False
cross_family_compact,wpd_mae,9,18,False
cross_family_compact,grad_mae,9,18,False
cross_family_compact,psd_log_l2,9,18,False
cross_family_compact,exceed_abs_p90,9,18,False
cross_family_compact,comp_curve_l1,9,18,False
cross_family_compact,pd_distance,9,18,False
cross_family_compact,mt_distance,9,18,False
all_available_non_ssim,psnruv,21,18,True
all_available_non_ssim,speed_mae,21,18,True
all_available_non_ssim,speed_rmse,21,18,True
all_available_non_ssim,wpd_mae,21,18,True
all_available_non_ssim,wpd_w1,21,18,True
all_available_non_ssim,wpd_bias_abs,21,18,True
all_available_non_ssim,grad_mae,21,18,True
all_available_non_ssim,grad_w1,21,18,True
all_available_non_ssim,grad_kurtosis_abs_delta,21,18,True
all_available_non_ssim,psd_log_l2,21,18,True
all_available_non_ssim,psd_slope_abs_delta,21,18,True
all_available_non_ssim,exceed_abs_t5,21,18,True
all_available_non_ssim,exceed_abs_t10,21,18,True
all_available_non_ssim,exceed_abs_t15,21,18,True
all_available_non_ssim,exceed_abs_p90,21,18,True
all_available_non_ssim,comp_curve_l1,21,18,True
all_available_non_ssim,comp_abs_t5,21,18,True
all_available_non_ssim,comp_abs_t10,21,18,True
all_available_non_ssim,comp_abs_t15,21,18,True
all_available_non_ssim,pd_distance,21,18,True
all_available_non_ssim,mt_distance,21,18,True
