method_a,method_b,n_samples,pd_prefers_a_count,pd_prefers_b_count,pd_tie_count,mt_prefers_a_count,mt_prefers_b_count,mt_tie_count,descriptor_agreement_count,descriptor_disagreement_count,descriptor_tie_or_undefined_count,descriptor_agreement_rate,descriptor_disagreement_rate
b_e2,c_e2,168,158,10,0,77,91,0,77,91,0,0.4583333333333333,0.5416666666666666
b_e2,candidate_b,168,34,134,0,136,32,0,54,114,0,0.32142857142857145,0.6785714285714286
b_e2,candidate_c,168,6,162,0,141,27,0,31,137,0,0.18452380952380953,0.8154761904761905
b_e2,cnn,168,166,2,0,90,78,0,90,78,0,0.5357142857142857,0.4642857142857143
b_e2,f1_grad_e2,168,52,116,0,70,98,0,96,72,0,0.5714285714285714,0.42857142857142855
b_e2,f2_grad_levelset_e2,168,13,155,0,76,92,0,93,75,0,0.5535714285714286,0.44642857142857145
b_e2,f3_grad_crit,168,4,164,0,134,34,0,36,132,0,0.21428571428571427,0.7857142857142857
b_e2,gan,168,8,160,0,166,2,0,10,158,0,0.05952380952380952,0.9404761904761905
b_e2,grad_levelset,168,38,130,0,145,23,0,53,115,0,0.31547619047619047,0.6845238095238095
b_e2,grad_only,168,45,123,0,127,41,0,76,92,0,0.4523809523809524,0.5476190476190477
b_e2,levelset_only,168,168,0,0,119,49,0,119,49,0,0.7083333333333334,0.2916666666666667
b_e2,speed_grad,168,40,128,0,146,22,0,50,118,0,0.2976190476190476,0.7023809523809523
b_e2,speed_levelset,168,168,0,0,116,52,0,116,52,0,0.6904761904761905,0.30952380952380953
b_e2,speed_only,168,168,0,0,122,46,0,122,46,0,0.7261904761904762,0.27380952380952384
b_e2,uv,168,168,0,0,121,47,0,121,47,0,0.7202380952380952,0.27976190476190477
b_e2,uv_crit,168,168,0,0,96,72,0,96,72,0,0.5714285714285714,0.42857142857142855
b_e2,uv_e2,168,168,0,0,68,100,0,68,100,0,0.40476190476190477,0.5952380952380952
c_e2,candidate_b,168,25,143,0,145,23,0,38,130,0,0.2261904761904762,0.7738095238095238
c_e2,candidate_c,168,3,165,0,129,39,0,40,128,0,0.23809523809523808,0.7619047619047619
c_e2,cnn,168,165,3,0,94,74,0,95,73,0,0.5654761904761905,0.43452380952380953
c_e2,f1_grad_e2,168,8,160,0,91,77,0,79,89,0,0.47023809523809523,0.5297619047619048
c_e2,f2_grad_levelset_e2,168,3,165,0,90,78,0,77,91,0,0.4583333333333333,0.5416666666666666
c_e2,f3_grad_crit,168,4,164,0,124,44,0,48,120,0,0.2857142857142857,0.7142857142857143
c_e2,gan,168,7,161,0,167,1,0,8,160,0,0.047619047619047616,0.9523809523809523
c_e2,grad_levelset,168,28,140,0,145,23,0,41,127,0,0.24404761904761904,0.7559523809523809
c_e2,grad_only,168,39,129,0,130,38,0,69,99,0,0.4107142857142857,0.5892857142857143
c_e2,levelset_only,168,168,0,0,122,46,0,122,46,0,0.7261904761904762,0.27380952380952384
c_e2,speed_grad,168,33,135,0,147,21,0,44,124,0,0.2619047619047619,0.7380952380952381
c_e2,speed_levelset,168,168,0,0,120,48,0,120,48,0,0.7142857142857143,0.2857142857142857
c_e2,speed_only,168,168,0,0,123,45,0,123,45,0,0.7321428571428571,0.26785714285714285
c_e2,uv,168,168,0,0,122,46,0,122,46,0,0.7261904761904762,0.27380952380952384
c_e2,uv_crit,168,168,0,0,93,75,0,93,75,0,0.5535714285714286,0.44642857142857145
c_e2,uv_e2,168,168,0,0,72,96,0,72,96,0,0.42857142857142855,0.5714285714285714
candidate_b,candidate_c,168,85,83,0,69,99,0,72,96,0,0.42857142857142855,0.5714285714285714
candidate_b,cnn,168,166,2,0,40,128,0,42,126,0,0.25,0.75
candidate_b,f1_grad_e2,168,132,36,0,26,142,0,52,116,0,0.30952380952380953,0.6904761904761905
candidate_b,f2_grad_levelset_e2,168,127,41,0,29,139,0,56,112,0,0.3333333333333333,0.6666666666666666
candidate_b,f3_grad_crit,168,37,131,0,62,106,0,99,69,0,0.5892857142857143,0.4107142857142857
candidate_b,gan,168,18,150,0,144,24,0,38,130,0,0.2261904761904762,0.7738095238095238
candidate_b,grad_levelset,168,67,101,0,95,73,0,72,96,0,0.42857142857142855,0.5714285714285714
candidate_b,grad_only,168,79,89,0,63,105,0,98,70,0,0.5833333333333334,0.4166666666666667
candidate_b,levelset_only,168,168,0,0,65,103,0,65,103,0,0.3869047619047619,0.6130952380952381
candidate_b,speed_grad,168,100,68,0,113,55,0,87,81,0,0.5178571428571429,0.48214285714285715
candidate_b,speed_levelset,168,168,0,0,55,113,0,55,113,0,0.3273809523809524,0.6726190476190477
candidate_b,speed_only,168,168,0,0,70,98,0,70,98,0,0.4166666666666667,0.5833333333333334
candidate_b,uv,168,168,0,0,67,101,0,67,101,0,0.39880952380952384,0.6011904761904762
candidate_b,uv_crit,168,168,0,0,20,148,0,20,148,0,0.11904761904761904,0.8809523809523809
candidate_b,uv_e2,168,159,9,0,23,145,0,30,138,0,0.17857142857142858,0.8214285714285714
candidate_c,cnn,168,168,0,0,52,116,0,52,116,0,0.30952380952380953,0.6904761904761905
candidate_c,f1_grad_e2,168,157,11,0,30,138,0,31,137,0,0.18452380952380953,0.8154761904761905
candidate_c,f2_grad_levelset_e2,168,153,15,0,31,137,0,38,130,0,0.2261904761904762,0.7738095238095238
candidate_c,f3_grad_crit,168,14,154,0,70,98,0,102,66,0,0.6071428571428571,0.39285714285714285
candidate_c,gan,168,20,148,0,147,21,0,37,131,0,0.22023809523809523,0.7797619047619048
candidate_c,grad_levelset,168,78,90,0,110,58,0,80,88,0,0.47619047619047616,0.5238095238095238
candidate_c,grad_only,168,84,84,0,81,87,0,97,71,0,0.5773809523809523,0.4226190476190476
candidate_c,levelset_only,168,168,0,0,74,94,0,74,94,0,0.44047619047619047,0.5595238095238095
candidate_c,speed_grad,168,91,77,0,119,49,0,88,80,0,0.5238095238095238,0.47619047619047616
candidate_c,speed_levelset,168,168,0,0,65,103,0,65,103,0,0.3869047619047619,0.6130952380952381
candidate_c,speed_only,168,168,0,0,73,95,0,73,95,0,0.43452380952380953,0.5654761904761905
candidate_c,uv,168,168,0,0,76,92,0,76,92,0,0.4523809523809524,0.5476190476190477
candidate_c,uv_crit,168,168,0,0,34,134,0,34,134,0,0.20238095238095238,0.7976190476190477
candidate_c,uv_e2,168,168,0,0,22,146,0,22,146,0,0.13095238095238096,0.8690476190476191
cnn,f1_grad_e2,168,2,166,0,70,98,0,98,70,0,0.5833333333333334,0.4166666666666667
cnn,f2_grad_levelset_e2,168,2,166,0,66,102,0,100,68,0,0.5952380952380952,0.40476190476190477
cnn,f3_grad_crit,168,0,168,0,107,61,0,61,107,0,0.3630952380952381,0.6369047619047619
cnn,gan,168,2,166,0,148,20,0,22,146,0,0.13095238095238096,0.8690476190476191
cnn,grad_levelset,168,4,164,0,127,41,0,43,125,0,0.25595238095238093,0.7440476190476191
cnn,grad_only,168,11,157,0,102,66,0,75,93,0,0.44642857142857145,0.5535714285714286
cnn,levelset_only,168,158,10,0,104,64,0,102,66,0,0.6071428571428571,0.39285714285714285
cnn,speed_grad,168,4,164,0,126,42,0,46,122,0,0.27380952380952384,0.7261904761904762
cnn,speed_levelset,168,157,11,0,102,66,0,105,63,0,0.625,0.375
cnn,speed_only,168,159,9,0,107,61,0,104,64,0,0.6190476190476191,0.38095238095238093
cnn,uv,168,159,9,0,104,64,0,103,65,0,0.6130952380952381,0.3869047619047619
cnn,uv_crit,168,156,12,0,74,94,0,78,90,0,0.4642857142857143,0.5357142857142857
cnn,uv_e2,168,8,160,0,64,104,0,104,64,0,0.6190476190476191,0.38095238095238093
f1_grad_e2,f2_grad_levelset_e2,168,49,119,0,87,81,0,76,92,0,0.4523809523809524,0.5476190476190477
f1_grad_e2,f3_grad_crit,168,3,165,0,128,40,0,43,125,0,0.25595238095238093,0.7440476190476191
f1_grad_e2,gan,168,8,160,0,165,3,0,11,157,0,0.06547619047619048,0.9345238095238095
f1_grad_e2,grad_levelset,168,39,129,0,149,19,0,48,120,0,0.2857142857142857,0.7142857142857143
f1_grad_e2,grad_only,168,46,122,0,133,35,0,69,99,0,0.4107142857142857,0.5892857142857143
f1_grad_e2,levelset_only,168,168,0,0,127,41,0,127,41,0,0.7559523809523809,0.24404761904761904
f1_grad_e2,speed_grad,168,38,130,0,146,22,0,48,120,0,0.2857142857142857,0.7142857142857143
f1_grad_e2,speed_levelset,168,168,0,0,121,47,0,121,47,0,0.7202380952380952,0.27976190476190477
f1_grad_e2,speed_only,168,168,0,0,123,45,0,123,45,0,0.7321428571428571,0.26785714285714285
f1_grad_e2,uv,168,168,0,0,124,44,0,124,44,0,0.7380952380952381,0.2619047619047619
f1_grad_e2,uv_crit,168,168,0,0,95,73,0,95,73,0,0.5654761904761905,0.43452380952380953
f1_grad_e2,uv_e2,168,168,0,0,72,96,0,72,96,0,0.42857142857142855,0.5714285714285714
f2_grad_levelset_e2,f3_grad_crit,168,4,164,0,127,41,0,43,125,0,0.25595238095238093,0.7440476190476191
f2_grad_levelset_e2,gan,168,12,156,0,162,6,0,18,150,0,0.10714285714285714,0.8928571428571429
f2_grad_levelset_e2,grad_levelset,168,44,124,0,144,24,0,58,110,0,0.34523809523809523,0.6547619047619048
f2_grad_levelset_e2,grad_only,168,51,117,0,132,36,0,75,93,0,0.44642857142857145,0.5535714285714286
f2_grad_levelset_e2,levelset_only,168,168,0,0,127,41,0,127,41,0,0.7559523809523809,0.24404761904761904
f2_grad_levelset_e2,speed_grad,168,46,122,0,143,25,0,59,109,0,0.35119047619047616,0.6488095238095238
f2_grad_levelset_e2,speed_levelset,168,168,0,0,120,48,0,120,48,0,0.7142857142857143,0.2857142857142857
f2_grad_levelset_e2,speed_only,168,168,0,0,126,42,0,126,42,0,0.75,0.25
f2_grad_levelset_e2,uv,168,168,0,0,122,46,0,122,46,0,0.7261904761904762,0.27380952380952384
f2_grad_levelset_e2,uv_crit,168,168,0,0,96,72,0,96,72,0,0.5714285714285714,0.42857142857142855
f2_grad_levelset_e2,uv_e2,168,168,0,0,75,93,0,75,93,0,0.44642857142857145,0.5535714285714286
f3_grad_crit,gan,168,35,133,0,152,16,0,41,127,0,0.24404761904761904,0.7559523809523809
f3_grad_crit,grad_levelset,168,108,60,0,121,47,0,97,71,0,0.5773809523809523,0.4226190476190476
f3_grad_crit,grad_only,168,101,67,0,87,81,0,90,78,0,0.5357142857142857,0.4642857142857143
f3_grad_crit,levelset_only,168,168,0,0,85,83,0,85,83,0,0.5059523809523809,0.49404761904761907
f3_grad_crit,speed_grad,168,125,43,0,128,40,0,109,59,0,0.6488095238095238,0.35119047619047616
f3_grad_crit,speed_levelset,168,168,0,0,79,89,0,79,89,0,0.47023809523809523,0.5297619047619048
f3_grad_crit,speed_only,168,168,0,0,87,81,0,87,81,0,0.5178571428571429,0.48214285714285715
f3_grad_crit,uv,168,168,0,0,90,78,0,90,78,0,0.5357142857142857,0.4642857142857143
f3_grad_crit,uv_crit,168,168,0,0,39,129,0,39,129,0,0.23214285714285715,0.7678571428571429
f3_grad_crit,uv_e2,168,168,0,0,27,141,0,27,141,0,0.16071428571428573,0.8392857142857143
gan,grad_levelset,168,151,17,0,24,144,0,39,129,0,0.23214285714285715,0.7678571428571429
gan,grad_only,168,146,22,0,14,154,0,30,138,0,0.17857142857142858,0.8214285714285714
gan,levelset_only,168,168,0,0,17,151,0,17,151,0,0.10119047619047619,0.8988095238095238
gan,speed_grad,168,153,15,0,29,139,0,42,126,0,0.25,0.75
gan,speed_levelset,168,168,0,0,17,151,0,17,151,0,0.10119047619047619,0.8988095238095238
gan,speed_only,168,168,0,0,20,148,0,20,148,0,0.11904761904761904,0.8809523809523809
gan,uv,168,168,0,0,21,147,0,21,147,0,0.125,0.875
gan,uv_crit,168,168,0,0,8,160,0,8,160,0,0.047619047619047616,0.9523809523809523
gan,uv_e2,168,166,2,0,2,166,0,4,164,0,0.023809523809523808,0.9761904761904762
grad_levelset,grad_only,168,85,83,0,51,117,0,90,78,0,0.5357142857142857,0.4642857142857143
grad_levelset,levelset_only,168,168,0,0,60,108,0,60,108,0,0.35714285714285715,0.6428571428571429
grad_levelset,speed_grad,168,128,40,0,109,59,0,93,75,0,0.5535714285714286,0.44642857142857145
grad_levelset,speed_levelset,168,168,0,0,52,116,0,52,116,0,0.30952380952380953,0.6904761904761905
grad_levelset,speed_only,168,168,0,0,64,104,0,64,104,0,0.38095238095238093,0.6190476190476191
grad_levelset,uv,168,168,0,0,63,105,0,63,105,0,0.375,0.625
grad_levelset,uv_crit,168,168,0,0,21,147,0,21,147,0,0.125,0.875
grad_levelset,uv_e2,168,161,7,0,18,150,0,23,145,0,0.13690476190476192,0.8630952380952381
grad_only,levelset_only,168,168,0,0,91,77,0,91,77,0,0.5416666666666666,0.4583333333333333
grad_only,speed_grad,168,106,62,0,114,54,0,108,60,0,0.6428571428571429,0.35714285714285715
grad_only,speed_levelset,168,168,0,0,84,84,0,84,84,0,0.5,0.5
grad_only,speed_only,168,168,0,0,89,79,0,89,79,0,0.5297619047619048,0.47023809523809523
grad_only,uv,168,168,0,0,91,77,0,91,77,0,0.5416666666666666,0.4583333333333333
grad_only,uv_crit,168,168,0,0,48,120,0,48,120,0,0.2857142857142857,0.7142857142857143
grad_only,uv_e2,168,142,26,0,32,136,0,52,116,0,0.30952380952380953,0.6904761904761905
levelset_only,speed_grad,168,0,168,0,117,51,0,51,117,0,0.30357142857142855,0.6964285714285714
levelset_only,speed_levelset,168,1,167,0,41,127,0,126,42,0,0.75,0.25
levelset_only,speed_only,168,57,111,0,85,83,0,88,80,0,0.5238095238095238,0.47619047619047616
levelset_only,uv,168,105,63,0,89,79,0,80,88,0,0.47619047619047616,0.5238095238095238
levelset_only,uv_crit,168,0,168,0,17,151,0,151,17,0,0.8988095238095238,0.10119047619047619
levelset_only,uv_e2,168,0,168,0,35,133,0,133,35,0,0.7916666666666666,0.20833333333333334
speed_grad,speed_levelset,168,168,0,0,40,128,0,40,128,0,0.23809523809523808,0.7619047619047619
speed_grad,speed_only,168,168,0,0,51,117,0,51,117,0,0.30357142857142855,0.6964285714285714
speed_grad,uv,168,168,0,0,52,116,0,52,116,0,0.30952380952380953,0.6904761904761905
speed_grad,uv_crit,168,168,0,0,16,152,0,16,152,0,0.09523809523809523,0.9047619047619048
speed_grad,uv_e2,168,146,22,0,16,152,0,30,138,0,0.17857142857142858,0.8214285714285714
speed_levelset,speed_only,168,167,1,0,128,40,0,127,41,0,0.7559523809523809,0.24404761904761904
speed_levelset,uv,168,166,2,0,116,52,0,114,54,0,0.6785714285714286,0.32142857142857145
speed_levelset,uv_crit,168,5,163,0,23,145,0,146,22,0,0.8690476190476191,0.13095238095238096
