method_id,display_name,pd_mean,mt_mean,pd_rank,mt_rank,absolute_rank_gap,signed_rank_gap
b_e2,Candidate B + repaired E2,23.98758167822224,5.677425131911323,10.0,5.0,5.0,5.0
c_e2,Candidate C + repaired E2,24.268599327509868,5.662811040878296,11.0,3.0,8.0,8.0
candidate_b,Candidate B (full scalar-field proxy scaffold),22.706997671157215,6.161181682632083,5.0,15.0,10.0,-10.0
candidate_c,Candidate C (Candidate B + local-maxima proxy),22.494387345643272,6.080286664622171,3.0,14.0,11.0,-11.0
cnn,CNN baseline (pretrained),27.406283078086062,5.867795200574966,13.0,7.0,6.0,6.0
f1_grad_e2,Candidate F: grad + repaired E2-low,23.838249287609397,5.656570005984533,9.0,2.0,7.0,7.0
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,23.748107956316563,5.674229775156293,8.0,4.0,4.0,4.0
f3_grad_crit,Candidate F: grad + critical-maxima proxy,22.017884447329436,5.984007384095873,2.0,9.0,7.0,-7.0
gan,GAN baseline (pretrained),20.864090023128004,8.348149540878477,1.0,18.0,17.0,-17.0
grad_levelset,B-factorial: gradient + level-set,22.61935891216629,6.19958542074476,4.0,16.0,12.0,-12.0
grad_only,B-factorial: gradient only,22.9326269066382,6.055993423575447,6.0,13.0,7.0,-7.0
levelset_only,B-factorial: level-set only,29.59526828694034,6.007606157234737,17.0,11.0,6.0,6.0
speed_grad,B-factorial: speed + gradient,22.970622717354576,6.290474925722394,7.0,17.0,10.0,-10.0
speed_levelset,B-factorial: speed + level-set,29.436290755840098,5.944104677154904,15.0,8.0,7.0,7.0
speed_only,B-factorial: speed only,29.578276619692105,5.999594864391145,16.0,10.0,6.0,6.0
uv,Candidate UV (vector-only control),29.612120109960603,6.011865703832536,18.0,12.0,6.0,6.0
uv_crit,UV + critical-maxima proxy,29.114333402447333,5.689883058979397,14.0,6.0,8.0,8.0
uv_e2,UV + repaired E2,25.072073820293586,5.593966117927006,12.0,1.0,11.0,11.0
