method_id,pd_mean_rank,mt_mean_rank,on_topology_only_deterministic_front,topology_only_bootstrap_rate_iid,topology_only_bootstrap_rate_block6,topology_only_bootstrap_rate_block12,topology_only_bootstrap_rate_block24,note
b_e2,8.642857142857142,6.392857142857143,False,0.1681,0.1979,0.196,0.1648,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
c_e2,10.06547619047619,6.065476190476191,False,0.3205,0.304,0.327,0.3509,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
candidate_b,5.5773809523809526,12.071428571428571,False,0.0,0.0007,0.0014,0.0019,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
candidate_c,5.005952380952381,11.160714285714286,False,0.0002,0.0006,0.0007,0.0003,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
cnn,13.06547619047619,7.898809523809524,False,0.0,0.0,0.0,0.0,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
f1_grad_e2,8.0,5.958333333333333,True,0.719,0.7254,0.7599,0.8099,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
f2_grad_levelset_e2,7.130952380952381,6.0773809523809526,True,1.0,0.9995,0.9967,0.9915,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
f3_grad_crit,3.1964285714285716,10.148809523809524,True,1.0,0.9997,0.9967,0.9861,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
gan,1.9880952380952381,16.541666666666668,True,1.0,1.0,1.0,1.0,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
grad_levelset,5.089285714285714,12.702380952380953,False,0.0,0.0001,0.0007,0.0016,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
grad_only,5.613095238095238,10.208333333333334,False,0.0531,0.1748,0.2177,0.2543,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
levelset_only,16.970238095238095,10.613095238095237,False,0.0,0.0,0.0,0.0,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
speed_grad,6.273809523809524,13.511904761904763,False,0.0,0.0,0.0,0.0,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
speed_levelset,14.928571428571429,9.202380952380953,False,0.0,0.0,0.0,0.0,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
speed_only,16.535714285714285,10.672619047619047,False,0.0,0.0,0.0,0.0,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
uv,17.285714285714285,10.738095238095237,False,0.0,0.0,0.0,0.0,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
uv_crit,13.976190476190476,5.898809523809524,False,0.0069,0.0561,0.0605,0.0601,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
uv_e2,11.654761904761905,5.136904761904762,True,0.9862,0.9691,0.9607,0.9662,Not a ranked leaderboard; Pareto front membership depends on the chosen objective set.
