metric_a,metric_b,family_a,family_b,n_common_methods,n_samples,n_cells,oriented_residual_pearson,oriented_residual_spearman,max_abs_method_margin_mean_a,max_abs_sample_margin_mean_a,max_abs_method_margin_mean_b,max_abs_sample_margin_mean_b,interpretation_level
psnruv,speed_mae,vector_uv,scalar_speed,19,168,3192,0.2635423896540999,0.3753822427841951,6.724779463443805e-15,1.495879443705474e-14,1.367953369627425e-16,2.162013258480568e-16,two_way_centered_residual
psnruv,speed_rmse,vector_uv,scalar_speed,19,168,3192,0.36132594349818403,0.4678034168102987,6.724779463443805e-15,1.495879443705474e-14,1.7115938296304497e-16,3.622833027724195e-16,two_way_centered_residual
psnruv,wpd_mae,vector_uv,wind_power_distribution,19,168,3192,0.12292959008422627,0.332459536744417,6.724779463443805e-15,1.495879443705474e-14,6.07344862233038e-14,1.2415799382755434e-13,two_way_centered_residual
psnruv,wpd_w1,vector_uv,wind_power_distribution,19,168,3192,0.06492738008660186,0.08272786543680537,6.724779463443805e-15,1.495879443705474e-14,1.2180732613030288e-14,2.2251206725118928e-14,two_way_centered_residual
psnruv,wpd_bias_abs,vector_uv,wind_power_distribution,19,168,3192,0.023695231188242138,0.0828521412586815,6.724779463443805e-15,1.495879443705474e-14,8.628018934229787e-15,1.6828643741686582e-14,two_way_centered_residual
psnruv,grad_mae,vector_uv,gradient_distribution,19,168,3192,0.231044074019316,0.1536644681831245,6.724779463443805e-15,1.495879443705474e-14,7.467571534681113e-17,1.4316033738587545e-16,two_way_centered_residual
psnruv,grad_w1,vector_uv,gradient_distribution,19,168,3192,0.14152694687310938,-0.032893722078660675,6.724779463443805e-15,1.495879443705474e-14,7.41800800679606e-17,1.241696803857083e-16,two_way_centered_residual
psnruv,grad_kurtosis_abs_delta,vector_uv,gradient_distribution,19,168,3192,0.12129681234450396,0.09972586506381814,6.724779463443805e-15,1.495879443705474e-14,8.881784197001252e-16,2.150326700326619e-15,two_way_centered_residual
psnruv,psd_log_l2,vector_uv,frequency_domain,19,168,3192,0.05560481390003267,-0.029098541110247577,6.724779463443805e-15,1.495879443705474e-14,2.7160813281008296e-16,3.3306690738754696e-16,two_way_centered_residual
psnruv,psd_slope_abs_delta,vector_uv,frequency_domain,19,168,3192,-0.1866387452186972,-0.1349453714566227,6.724779463443805e-15,1.495879443705474e-14,3.621441770801106e-16,6.77820372929043e-16,two_way_centered_residual
