metric,psnruv,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
psnruv,1.0,0.2635423896540999,0.36132594349818403,0.12292959008422627,0.06492738008660186,0.023695231188242138,0.231044074019316,0.14152694687310938,0.12129681234450396,0.05560481390003267,-0.1866387452186972,0.12941246121834094,0.01749827494155074,0.005926295873091359,-0.15374468233452038,0.18030245568951522,0.05875174720902386,0.07785799942191411,0.11547166017391779,0.00695140234122161,0.11614483263057454
speed_mae,0.2635423896540999,1.0,0.9328407303086702,0.8392721163001394,0.5222967704809575,0.5174624353581653,0.3638212397420859,-0.34972418358789853,-0.01507742454627056,-0.2810148588739894,-0.23770264277363196,-0.1156011009631866,0.44902198107338837,0.41934942592742436,0.14956488456928366,0.07147893903247897,0.20637718363085938,-0.06574897179402919,-0.0992935540167836,-0.17720795917113066,0.20909026679942347
speed_rmse,0.36132594349818403,0.9328407303086702,1.0,0.8190048624615598,0.49680666612709684,0.4875217706748247,0.28505074497463395,-0.40953512124712116,0.010372409751102034,-0.29711573166728167,-0.19805049194852473,-0.1388939571135034,0.4287032620216347,0.38883584246831937,0.03255241372864833,0.056139879876757774,0.20633653166343918,-0.05475477048274807,-0.12233101693708466,-0.16970876663830087,0.2901275739778767
wpd_mae,0.12292959008422627,0.8392721163001394,0.8190048624615598,1.0,0.5960062779039806,0.5596219196395326,0.33996633468949317,-0.26347306913772617,-0.0625754467039571,-0.16485163889807164,-0.06353876672461342,-0.16933647136783875,0.47395119597615404,0.4999851122854863,0.09003118809436154,0.3066707712563358,0.35132988190808284,-0.031662726014008304,0.021642358677584513,-0.15640762454169385,0.3233009063054191
wpd_w1,0.06492738008660186,0.5222967704809575,0.49680666612709684,0.5960062779039806,1.0,0.9492767533478859,0.46610796023131296,0.09249013369916206,-0.07044406740692809,-0.09507335400245388,-0.11057492945788075,0.18984472824337575,0.6138446721637987,0.8687016803656964,0.5603292262059789,0.2908554694928639,0.08936098669839893,-0.08720976821449819,0.1574304171420898,0.037671471734142536,0.3405140413015614
wpd_bias_abs,0.023695231188242138,0.5174624353581653,0.4875217706748247,0.5596219196395326,0.9492767533478859,1.0,0.3586893540621342,-0.010236372321905895,-0.03710546314731153,-0.17302162603848414,-0.1714863693191801,0.09884353196050465,0.6336449084691942,0.8147043902899914,0.5678039551605284,0.1987517783697735,0.11546603023034249,-0.06476197697926332,0.051843466837153594,-0.031630916312635746,0.3482285716490496
grad_mae,0.231044074019316,0.3638212397420859,0.28505074497463395,0.33996633468949317,0.46610796023131296,0.3586893540621342,1.0,0.6086746080538589,-0.11707435229003926,0.1940453778990288,0.020811001364096193,0.37767354607309883,0.10622923555700993,0.4482080996478746,0.4000267431912921,0.4943624422050798,0.005153302762817703,0.13092321115144354,0.3929307670138625,0.2398332395425237,0.19017016823571306
grad_w1,0.14152694687310938,-0.34972418358789853,-0.40953512124712116,-0.26347306913772617,0.09249013369916206,-0.010236372321905895,0.6086746080538589,1.0,-0.0772724241734818,0.5071307636467602,0.2086659810286973,0.46406571615959047,-0.2504951469053383,0.1513516629705103,0.24682883400271868,0.4548065820408818,-0.15374257813475517,0.21683225746521104,0.5002140346756728,0.37865245032983547,0.017878357889782186
grad_kurtosis_abs_delta,0.12129681234450396,-0.01507742454627056,0.010372409751102034,-0.0625754467039571,-0.07044406740692809,-0.03710546314731153,-0.11707435229003926,-0.0772724241734818,1.0,0.009023410833719221,-0.008410476193775263,-0.10655413060693156,-0.0437143427379543,-0.06766612160793575,-0.07535651326266829,-0.02259895259118499,0.01372027527795014,-0.00799516651802564,-0.0027584228891665064,-0.1536252773892512,0.04072600529972824
psd_log_l2,0.05560481390003267,-0.2810148588739894,-0.29711573166728167,-0.16485163889807164,-0.09507335400245388,-0.17302162603848414,0.1940453778990288,0.5071307636467602,0.009023410833719221,1.0,0.5449396549857314,0.17749716105457203,-0.25647130460382467,-0.04580492738320215,-0.040159901462100654,0.37319337407905373,-0.07049470659495155,-0.046854606507586875,0.5017325133065054,0.2417265698703633,-0.13691010456682942
